trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,text.started,key_resp.started,key_resp.keys,key_resp.rt,text_2.started,text_2.stopped,CloseEyes.started,ModulatedTone.started,OpenEyes.started,CloseEyes.stopped,ModulatedTone.stopped,OpenEyes.stopped,text_4.started,key_resp_2.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,16.34788190003019,16.34788190003019,space,120.53160139999818,,,,,,,,,,,049892,001,2023-11-10_13h40.13.013,ASSR3,2022.2.5,60.09214531168733,
0,0,0,0,,,,,136.89592749997973,141.9582456999924,141.9582456999924,171.89844150003046,171.8976893000072,171.96394319995306,,,,,049892,001,2023-11-10_13h40.13.013,ASSR3,2022.2.5,60.09214531168733,
1,0,1,0,,,,,,,201.98829250002746,231.89140369999222,231.89071199996397,231.99017779994756,261.97917860001326,261.97917860001326,,,049892,001,2023-11-10_13h40.13.013,ASSR3,2022.2.5,60.09214531168733,
2,0,2,0,,,,,,,261.97917860001326,291.8851256999187,291.88424419995863,291.9860275000101,321.9893999999622,321.9893999999622,,,049892,001,2023-11-10_13h40.13.013,ASSR3,2022.2.5,60.09214531168733,
3,0,3,0,,,,,,,321.9893999999622,351.89505549997557,351.89504440000746,351.9957865999313,,,,,049892,001,2023-11-10_13h40.13.013,ASSR3,2022.2.5,60.09214531168733,
4,0,4,0,,,,,,,381.9856419999851,411.88916929997504,411.88871129998006,411.9899377999827,441.97726349998266,441.97726349998266,,,049892,001,2023-11-10_13h40.13.013,ASSR3,2022.2.5,60.09214531168733,
5,0,5,0,,,,,,,441.97726349998266,471.883659599931,471.8828448000131,471.9833956999937,501.988071699976,501.988071699976,,,049892,001,2023-11-10_13h40.13.013,ASSR3,2022.2.5,60.09214531168733,
6,0,6,0,,,,,,,501.988071699976,531.8975676000118,531.8934455999406,531.9938318999484,561.9981666000094,561.9981666000094,,,049892,001,2023-11-10_13h40.13.013,ASSR3,2022.2.5,60.09214531168733,
7,0,7,0,,,,,,,561.9981666000094,591.8893865999999,591.8872944000177,592.0039197999286,621.975583899999,621.975583899999,,,049892,001,2023-11-10_13h40.13.013,ASSR3,2022.2.5,60.09214531168733,
8,0,8,0,,,,,,,621.975583899999,651.8983907999936,651.8984007999534,651.9810625999235,,,,,049892,001,2023-11-10_13h40.13.013,ASSR3,2022.2.5,60.09214531168733,
9,0,9,0,,,,,,,682.0041230999632,711.8929442999652,711.8945011999458,712.0111889999826,741.9149828000227,741.9149828000227,,,049892,001,2023-11-10_13h40.13.013,ASSR3,2022.2.5,60.09214531168733,
,,,,,,,,,,,,,,,,741.9149828000227,741.9149828000227,,,,,,,
