trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,text.started,key_resp.started,key_resp.keys,key_resp.rt,text_2.started,Cross.started,Rest.started,ModulatedTone.started,Rest.stopped,ModulatedTone.stopped,text_4.started,key_resp_2.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,13.676144299999578,13.676144299999578,space,23.32234210000024,,,,,,,,,065670,001,2023-10-31_10h28.55.486,ASSR3,2022.2.5,59.93292307107111,
0,0,0,0,0,0,0,0,,,,,37.02988740000001,42.08893870000611,42.08893870000611,52.015985169993655,52.09922600000573,,,,065670,001,2023-10-31_10h28.55.486,ASSR3,2022.2.5,59.93292307107111,
0,0,0,0,1,0,1,0,,,,,,112.09201870000106,112.09201870000106,122.01681316999748,122.10049110000546,182.0277955000056,,,065670,001,2023-10-31_10h28.55.486,ASSR3,2022.2.5,59.93292307107111,
0,0,0,0,2,0,2,0,,,,,,182.108215500004,182.108215500004,192.01783926999633,192.11884490000375,,,,065670,001,2023-10-31_10h28.55.486,ASSR3,2022.2.5,59.93292307107111,
0,0,0,0,3,0,3,0,,,,,,252.10960029999842,252.10960029999842,262.01890956999705,262.11964910000097,,,,065670,001,2023-10-31_10h28.55.486,ASSR3,2022.2.5,59.93292307107111,
0,0,0,0,4,0,4,0,,,,,,322.0941257999948,322.0941257999948,332.0210881699968,332.104250999997,,,,065670,001,2023-10-31_10h28.55.486,ASSR3,2022.2.5,59.93292307107111,
0,0,0,0,,,,,,,,,,,,,,,,,065670,001,2023-10-31_10h28.55.486,ASSR3,2022.2.5,59.93292307107111,
1,0,1,0,0,0,0,0,,,,,392.03213150000374,397.10747220000485,397.10747220000485,407.0179300700038,407.12867269999697,467.0277732999966,,,065670,001,2023-10-31_10h28.55.486,ASSR3,2022.2.5,59.93292307107111,
1,0,1,0,1,0,1,0,,,,,,467.09207110000716,467.09207110000716,477.01894887000526,477.1022118999972,,,,065670,001,2023-10-31_10h28.55.486,ASSR3,2022.2.5,59.93292307107111,
1,0,1,0,2,0,2,0,,,,,,537.3436355000013,537.3436355000013,547.0205713700052,547.3538229999976,,,,065670,001,2023-10-31_10h28.55.486,ASSR3,2022.2.5,59.93292307107111,
1,0,1,0,3,0,3,0,,,,,,607.1113351999957,607.1113351999957,617.0210444699987,617.1214825000061,,,,065670,001,2023-10-31_10h28.55.486,ASSR3,2022.2.5,59.93292307107111,
1,0,1,0,4,0,4,0,,,,,,677.0960932000016,677.0960932000016,687.0235916699967,687.1067343000032,,,,065670,001,2023-10-31_10h28.55.486,ASSR3,2022.2.5,59.93292307107111,
1,0,1,0,,,,,,,,,,,,,,,,,065670,001,2023-10-31_10h28.55.486,ASSR3,2022.2.5,59.93292307107111,
2,0,2,0,0,0,0,0,,,,,747.0331167999975,752.0927547000028,752.0927547000028,762.0197975700066,762.1031596999965,,,,065670,001,2023-10-31_10h28.55.486,ASSR3,2022.2.5,59.93292307107111,
2,0,2,0,1,0,1,0,,,,,,822.5304686000018,822.5304686000018,832.0210441699965,832.5364280000067,,,,065670,001,2023-10-31_10h28.55.486,ASSR3,2022.2.5,59.93292307107111,
2,0,2,0,2,0,2,0,,,,,,892.0952949000057,892.0952949000057,902.0220163700069,902.1059893000056,,,,065670,001,2023-10-31_10h28.55.486,ASSR3,2022.2.5,59.93292307107111,
2,0,2,0,3,0,3,0,,,,,,962.0966526999982,962.0966526999982,972.0226607699951,972.1061869999976,,,,065670,001,2023-10-31_10h28.55.486,ASSR3,2022.2.5,59.93292307107111,
2,0,2,0,4,0,4,0,,,,,,1032.098086500002,1032.098086500002,1042.0240951700034,1042.1077671999956,,,,065670,001,2023-10-31_10h28.55.486,ASSR3,2022.2.5,59.93292307107111,
2,0,2,0,,,,,,,,,,,,,,,,,065670,001,2023-10-31_10h28.55.486,ASSR3,2022.2.5,59.93292307107111,
,,,,,,,,,,,,,,,,,,1102.0351416000049,1102.0351416000049,,,,,,,
