trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,text.started,key_resp.started,key_resp.keys,key_resp.rt,text_2.started,Cross.started,Rest.started,ModulatedTone.started,Rest.stopped,text_4.started,key_resp_2.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,16.509854599949904,16.509854599949904,space,1358.048210500041,,,,,,,,395936,001,2023-10-27_16h00.57.794,ASSR3,2022.2.5,59.344187393243075,
0,0,0,0,0,0,0,0,,,,,1374.5816302000312,1379.675680699991,1379.675680699991,1389.5677217199468,1389.68515819998,,,395936,001,2023-10-27_16h00.57.794,ASSR3,2022.2.5,59.344187393243075,
0,0,0,0,1,0,1,0,,,,,,1449.6780674000038,1449.6780674000038,1459.5687556200196,1459.685796799953,,,395936,001,2023-10-27_16h00.57.794,ASSR3,2022.2.5,59.344187393243075,
0,0,0,0,2,0,2,0,,,,,,1519.6787445000373,1519.6787445000373,1529.5698302199366,1529.686568300007,,,395936,001,2023-10-27_16h00.57.794,ASSR3,2022.2.5,59.344187393243075,
0,0,0,0,3,0,3,0,,,,,,1589.663311899989,1589.663311899989,1599.5719595199685,1599.6827394999564,,,395936,001,2023-10-27_16h00.57.794,ASSR3,2022.2.5,59.344187393243075,
0,0,0,0,4,0,4,0,,,,,,1659.6648481000448,1659.6648481000448,1669.5736483200221,1669.6730170999654,,,395936,001,2023-10-27_16h00.57.794,ASSR3,2022.2.5,59.344187393243075,
0,0,0,0,,,,,,,,,,,,,,,,395936,001,2023-10-27_16h00.57.794,ASSR3,2022.2.5,59.344187393243075,
1,0,1,0,0,0,0,0,,,,,1729.583394599962,1734.6613183999434,1734.6613183999434,1744.569492420042,1744.669934000005,,,395936,001,2023-10-27_16h00.57.794,ASSR3,2022.2.5,59.344187393243075,
1,0,1,0,1,0,1,0,,,,,,1804.662458900013,1804.662458900013,1814.5707281200216,1814.6707675999496,,,395936,001,2023-10-27_16h00.57.794,ASSR3,2022.2.5,59.344187393243075,
1,0,1,0,2,0,2,0,,,,,,1874.6642595999874,1874.6642595999874,1884.5724270200358,1884.6719766999595,,,395936,001,2023-10-27_16h00.57.794,ASSR3,2022.2.5,59.344187393243075,
1,0,1,0,3,0,3,0,,,,,,1945.1059140999569,1945.1059140999569,1954.5849981199485,1955.124654400046,,,395936,001,2023-10-27_16h00.57.794,ASSR3,2022.2.5,59.344187393243075,
1,0,1,0,4,0,4,0,,,,,,2014.6830830000108,2014.6830830000108,2024.574493819941,2024.6913850000128,,,395936,001,2023-10-27_16h00.57.794,ASSR3,2022.2.5,59.344187393243075,
1,0,1,0,,,,,,,,,,,,,,,,395936,001,2023-10-27_16h00.57.794,ASSR3,2022.2.5,59.344187393243075,
,,,,,,,,,,,,,,,,,2084.6024944999954,2084.6024944999954,,,,,,,
