trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,text.started,key_resp.started,key_resp.keys,key_resp.rt,Cross.started,text_3.started,ModulatedTone.started,text_3.stopped,text_2.started,text_4.started,key_resp_2.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,14.323350200000277,14.323350200000277,space,39.531218900003296,,,,,,,,424022,001,2023-10-13_13h28.17.102,ASSR3,2022.2.5,59.86762071703447,
0,0,0,0,0,0,0,0,,,,,53.9468951999952,53.9468951999952,63.8720649299983,63.9558293999944,,,,424022,001,2023-10-13_13h28.17.102,ASSR3,2022.2.5,59.86762071703447,
0,0,0,0,1,0,1,0,,,,,123.97102099999756,123.97102099999756,133.8720664299952,133.97788229999423,,,,424022,001,2023-10-13_13h28.17.102,ASSR3,2022.2.5,59.86762071703447,
0,0,0,0,2,0,2,0,,,,,193.96844349999446,193.96844349999446,203.87780772999832,203.97566129999905,,,,424022,001,2023-10-13_13h28.17.102,ASSR3,2022.2.5,59.86762071703447,
0,0,0,0,3,0,3,0,,,,,263.9687883000006,263.9687883000006,273.8791714299994,273.9811277999979,,,,424022,001,2023-10-13_13h28.17.102,ASSR3,2022.2.5,59.86762071703447,
0,0,0,0,4,0,4,0,,,,,333.984706999996,333.984706999996,343.8761072299938,343.99447679999867,,,,424022,001,2023-10-13_13h28.17.102,ASSR3,2022.2.5,59.86762071703447,
0,0,0,0,5,0,5,0,,,,,403.98796779999975,403.98796779999975,413.8664256300006,413.9934917999999,,,,424022,001,2023-10-13_13h28.17.102,ASSR3,2022.2.5,59.86762071703447,
0,0,0,0,6,0,6,0,,,,,473.9701971999966,473.9701971999966,483.86701142999374,483.9828770999957,,,,424022,001,2023-10-13_13h28.17.102,ASSR3,2022.2.5,59.86762071703447,
0,0,0,0,7,0,7,0,,,,,543.9716521999944,543.9716521999944,553.8794859300003,553.9823393999977,,,,424022,001,2023-10-13_13h28.17.102,ASSR3,2022.2.5,59.86762071703447,
0,0,0,0,8,0,8,0,,,,,613.9736759999942,613.9736759999942,623.8641585299963,623.9842395999949,,,,424022,001,2023-10-13_13h28.17.102,ASSR3,2022.2.5,59.86762071703447,
0,0,0,0,9,0,9,0,,,,,683.9580055999977,683.9580055999977,693.8693780299989,693.9644479999988,,,,424022,001,2023-10-13_13h28.17.102,ASSR3,2022.2.5,59.86762071703447,
0,0,0,0,,,,,,,,,,,,,753.9083580999941,,,424022,001,2023-10-13_13h28.17.102,ASSR3,2022.2.5,59.86762071703447,
,,,,,,,,,,,,,,,,,758.8895277999982,758.8895277999982,,,,,,,
