trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,text.started,key_resp.started,key_resp.keys,key_resp.rt,Cross.started,text_3.started,ModulatedTone.started,text_3.stopped,text_2.started,ModulatedTone.stopped,text_4.started,key_resp_2.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,31.120610199999646,31.120610199999646,space,76.41477730000042,,,,,,,,,460762,001,2023-10-12_13h27.02.406,ASSR3,2022.2.5,None,
0,0,0,0,0,0,0,0,,,,,107.57369709999966,107.57369709999966,109.55337236666607,109.56986169999982,,,,,460762,001,2023-10-12_13h27.02.406,ASSR3,2022.2.5,None,
0,0,0,0,1,0,1,0,,,,,114.58374169999934,114.58374169999934,116.54977566666663,116.59859479999977,,,,,460762,001,2023-10-12_13h27.02.406,ASSR3,2022.2.5,None,
0,0,0,0,2,0,2,0,,,,,121.59404229999927,121.59404229999927,123.55998516666592,123.60870459999933,,,,,460762,001,2023-10-12_13h27.02.406,ASSR3,2022.2.5,None,
0,0,0,0,3,0,3,0,,,,,128.6040893999998,128.6040893999998,130.55213096666674,130.61857509999936,,,,,460762,001,2023-10-12_13h27.02.406,ASSR3,2022.2.5,None,
0,0,0,0,4,0,4,0,,,,,135.58148110000002,135.58148110000002,137.54556916666596,137.59569519999968,,,,,460762,001,2023-10-12_13h27.02.406,ASSR3,2022.2.5,None,
0,0,0,0,5,0,5,0,,,,,142.58804280000004,142.58804280000004,144.5547211666665,144.58681949999936,,,,,460762,001,2023-10-12_13h27.02.406,ASSR3,2022.2.5,None,
0,0,0,0,6,0,6,0,,,,,149.59783679999964,149.59783679999964,151.54758666666592,151.59768039999926,,,,,460762,001,2023-10-12_13h27.02.406,ASSR3,2022.2.5,None,
0,0,0,0,7,0,7,0,,,,,156.5748838999998,156.5748838999998,158.5440847666662,158.57408320000013,,,,,460762,001,2023-10-12_13h27.02.406,ASSR3,2022.2.5,None,
0,0,0,0,8,0,8,0,,,,,163.5724534000001,163.5724534000001,165.55124636666667,165.58774339999945,,,,,460762,001,2023-10-12_13h27.02.406,ASSR3,2022.2.5,None,
0,0,0,0,9,0,9,0,,,,,170.58055650000006,170.58055650000006,172.54413786666672,172.5933371000001,,,,,460762,001,2023-10-12_13h27.02.406,ASSR3,2022.2.5,None,
0,0,0,0,,,,,,,,,,,,,177.57317599999988,,,,460762,001,2023-10-12_13h27.02.406,ASSR3,2022.2.5,None,
1,0,1,0,0,0,0,0,,,,,182.5847844,182.5847844,184.54971486666662,184.58504670000002,,,,,460762,001,2023-10-12_13h27.02.406,ASSR3,2022.2.5,None,
1,0,1,0,1,0,1,0,,,,,189.57967329999974,189.57967329999974,191.54730236666663,191.57633759999953,,,,,460762,001,2023-10-12_13h27.02.406,ASSR3,2022.2.5,None,
1,0,1,0,2,0,2,0,,,,,196.5716814999996,196.5716814999996,198.55338256666644,198.5711849999998,,,,,460762,001,2023-10-12_13h27.02.406,ASSR3,2022.2.5,None,
1,0,1,0,3,0,3,0,,,,,203.58497679999982,203.58497679999982,205.54875516666678,205.59682780000003,,,,,460762,001,2023-10-12_13h27.02.406,ASSR3,2022.2.5,None,
1,0,1,0,4,0,4,0,,,,,210.59410949999983,210.59410949999983,212.5585325666664,212.5916045999993,,,,,460762,001,2023-10-12_13h27.02.406,ASSR3,2022.2.5,None,
1,0,1,0,5,0,5,0,,,,,217.60842709999997,217.60842709999997,219.5504841666664,219.61869669999942,,,,,460762,001,2023-10-12_13h27.02.406,ASSR3,2022.2.5,None,
1,0,1,0,6,0,6,0,,,,,224.57834120000007,224.57834120000007,226.54625966666597,226.59280039999976,,,,,460762,001,2023-10-12_13h27.02.406,ASSR3,2022.2.5,None,
