trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,text.started,key_resp.started,key_resp.keys,key_resp.rt,text_2.started,text_2.stopped,Cross.started,Rest.started,ModulatedTone.started,Rest.stopped,ModulatedTone.stopped,text_4.started,key_resp_2.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,23.965739600011148,23.965739600011148,space,37.919303499977104,,,,,,,,,,493936,001,2023-11-03_12h01.57.911,ASSR3,2022.2.5,None,
0,0,0,0,0,0,0,0,,,,,61.90610079999897,66.96751300001051,66.96751300001051,66.96751300001051,96.90689086667068,96.97648139999365,,,,493936,001,2023-11-03_12h01.57.911,ASSR3,2022.2.5,None,
0,0,0,0,1,0,1,0,,,,,,,127.01201080001192,127.01201080001192,156.9069050666624,157.01818670000648,186.9223353000125,,,493936,001,2023-11-03_12h01.57.911,ASSR3,2022.2.5,None,
0,0,0,0,2,0,2,0,,,,,,,187.00553059999947,187.00553059999947,216.89591096667962,217.01211730000796,246.9341063000029,,,493936,001,2023-11-03_12h01.57.911,ASSR3,2022.2.5,None,
0,0,0,0,3,0,3,0,,,,,,,247.03547750000143,247.03547750000143,276.9060819666813,277.0403259000159,,,,493936,001,2023-11-03_12h01.57.911,ASSR3,2022.2.5,None,
0,0,0,0,4,0,4,0,,,,,,,306.9969408000179,306.9969408000179,336.90139346666206,337.0001244000159,366.921354399994,,,493936,001,2023-11-03_12h01.57.911,ASSR3,2022.2.5,None,
0,0,0,0,,,,,,,,,,,,,,,,,,493936,001,2023-11-03_12h01.57.911,ASSR3,2022.2.5,None,
1,0,1,0,0,0,0,0,,,,,366.939761799993,,371.9841321000131,371.9841321000131,401.9057847666593,401.98917630000506,,,,493936,001,2023-11-03_12h01.57.911,ASSR3,2022.2.5,None,
1,0,1,0,1,0,1,0,,,,,,,432.0096889999986,432.0096889999986,461.90019556667926,462.01656740001636,491.9210204000119,,,493936,001,2023-11-03_12h01.57.911,ASSR3,2022.2.5,None,
1,0,1,0,2,0,2,0,,,,,,,492.00413089999347,492.00413089999347,521.8936646666591,522.0125957000128,551.914864499995,,,493936,001,2023-11-03_12h01.57.911,ASSR3,2022.2.5,None,
1,0,1,0,3,0,3,0,,,,,,,551.9979321999999,551.9979321999999,581.9054586666791,582.0043434000108,611.9253177999926,,,493936,001,2023-11-03_12h01.57.911,ASSR3,2022.2.5,None,
1,0,1,0,4,0,4,0,,,,,,,612.0267084999941,612.0267084999941,641.8981964666784,642.0312208000105,671.9194597000023,,,493936,001,2023-11-03_12h01.57.911,ASSR3,2022.2.5,None,
1,0,1,0,,,,,,,,,,,,,,,,,,493936,001,2023-11-03_12h01.57.911,ASSR3,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,671.936707899993,671.936707899993,,,,,,,
