trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,text.started,key_resp.started,key_resp.keys,key_resp.rt,text_2.started,Cross.started,CloseEyes.started,ModulatedTone.started,OpenEyes.started,CloseEyes.stopped,ModulatedTone.stopped,OpenEyes.stopped,text_4.started,key_resp_2.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,20.72072900000012,20.72072900000012,space,60.103670200000124,,,,,,,,,,,501243,001,2023-11-03_15h50.53.091,ASSR3,2022.2.5,60.09153142058177,
0,0,0,0,,,,,80.84267510000018,85.92064550000032,85.92064550000032,115.84398392000007,115.84341330000007,115.92716740000014,,,,,501243,001,2023-11-03_15h50.53.091,ASSR3,2022.2.5,60.09153142058177,
1,0,1,0,,,,,,145.94782120000036,145.94782120000036,175.83711412000008,175.83767030000035,175.9548463000001,205.85985849999997,205.85985849999997,,,501243,001,2023-11-03_15h50.53.091,ASSR3,2022.2.5,60.09153142058177,
2,0,2,0,,,,,,205.94171080000024,205.94171080000024,235.83179472000035,235.83187980000002,235.9476155000002,265.8690826000002,265.8690826000002,,,501243,001,2023-11-03_15h50.53.091,ASSR3,2022.2.5,60.09153142058177,
3,0,3,0,,,,,,265.9531240000001,265.9531240000001,295.84195252000023,295.84120040000016,295.95890940000027,,,,,501243,001,2023-11-03_15h50.53.091,ASSR3,2022.2.5,60.09153142058177,
4,0,4,0,,,,,,325.94847210000034,325.94847210000034,355.8360815200004,355.8377541,355.9530426000001,385.8574628000001,385.8574628000001,,,501243,001,2023-11-03_15h50.53.091,ASSR3,2022.2.5,60.09153142058177,
5,0,5,0,,,,,,385.94073640000033,385.94073640000033,415.8303870200003,415.8301802000001,415.9469623,445.85065269999996,445.85065269999996,,,501243,001,2023-11-03_15h50.53.091,ASSR3,2022.2.5,60.09153142058177,
6,0,6,0,,,,,,445.9340156000003,445.9340156000003,475.83855162000015,475.8414974000002,475.94230930000003,,,,,501243,001,2023-11-03_15h50.53.091,ASSR3,2022.2.5,60.09153142058177,
7,0,7,0,,,,,,505.9795408,505.9795408,535.83568792,535.8339325000002,535.9843908000003,565.8555249000001,565.8555249000001,,,501243,001,2023-11-03_15h50.53.091,ASSR3,2022.2.5,60.09153142058177,
8,0,8,0,,,,,,565.9721920000002,565.9721920000002,595.8285511200002,595.8291083000004,595.9775764000001,625.8667052999999,625.8667052999999,,,501243,001,2023-11-03_15h50.53.091,ASSR3,2022.2.5,60.09153142058177,
9,0,9,0,,,,,,625.9996262,625.9996262,655.83838272,655.8411449,656.0053978999999,,,,,501243,001,2023-11-03_15h50.53.091,ASSR3,2022.2.5,60.09153142058177,
,,,,,,,,,,,,,,,,685.8765363000002,685.8765363000002,,,,,,,
