trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,text.started,key_resp.started,key_resp.keys,key_resp.rt,Cross.started,text_3.started,ModulatedTone.started,text_3.stopped,text_2.started,text_4.started,key_resp_2.started,key_resp_2.keys,key_resp_2.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,15.529068499999994,15.529068499999994,space,9.38917919999949,,,,,,,,,,529649,001,2023-10-13_14h54.47.874,ASSR3,2022.2.5,59.71108195808583,
0,0,0,0,0,0,0,0,,,,,25.03159980000055,25.03159980000055,34.937305320006274,35.037064900003315,,,,,,529649,001,2023-10-13_14h54.47.874,ASSR3,2022.2.5,59.71108195808583,
0,0,0,0,1,0,1,0,,,,,95.03206320000027,95.03206320000027,104.93805112000264,105.03810290000547,,,,,,529649,001,2023-10-13_14h54.47.874,ASSR3,2022.2.5,59.71108195808583,
0,0,0,0,2,0,2,0,,,,,165.03428340000391,165.03428340000391,174.9413350200004,175.04128250000213,,,,,,529649,001,2023-10-13_14h54.47.874,ASSR3,2022.2.5,59.71108195808583,
0,0,0,0,3,0,3,0,,,,,235.03259640000033,235.03259640000033,244.94054062000504,245.04037470000185,,,,,,529649,001,2023-10-13_14h54.47.874,ASSR3,2022.2.5,59.71108195808583,
0,0,0,0,4,0,4,0,,,,,305.034038400001,305.034038400001,314.94293612000473,315.0417041000037,,,,,,529649,001,2023-10-13_14h54.47.874,ASSR3,2022.2.5,59.71108195808583,
0,0,0,0,5,0,5,0,,,,,375.05104300000676,375.05104300000676,384.94243182000645,385.0605580000047,,,,,,529649,001,2023-10-13_14h54.47.874,ASSR3,2022.2.5,59.71108195808583,
0,0,0,0,6,0,6,0,,,,,445.0358241000067,445.0358241000067,454.9381977200057,455.0539798000027,,,,,,529649,001,2023-10-13_14h54.47.874,ASSR3,2022.2.5,59.71108195808583,
0,0,0,0,7,0,7,0,,,,,515.0372578000024,515.0372578000024,524.9483925200068,525.0451971000002,,,,,,529649,001,2023-10-13_14h54.47.874,ASSR3,2022.2.5,59.71108195808583,
0,0,0,0,8,0,8,0,,,,,585.0215898000024,585.0215898000024,594.946545920003,595.028976200003,,,,,,529649,001,2023-10-13_14h54.47.874,ASSR3,2022.2.5,59.71108195808583,
0,0,0,0,9,0,9,0,,,,,655.0395115000065,655.0395115000065,664.9320788200014,665.0473065000042,,,,,,529649,001,2023-10-13_14h54.47.874,ASSR3,2022.2.5,59.71108195808583,
0,0,0,0,,,,,,,,,,,,,724.9576043000052,,,,,529649,001,2023-10-13_14h54.47.874,ASSR3,2022.2.5,59.71108195808583,
,,,,,,,,,,,,,,,,,729.9532104000027,729.9532104000027,space,28.94631600000139,529649,001,2023-10-13_14h54.47.874,ASSR3,2022.2.5,59.71108195808583,
