trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,text.started,key_resp.started,key_resp.keys,key_resp.rt,text_2.started,text_2.stopped,Rest.started,ModulatedTone.started,Cross.started,Rest.stopped,ModulatedTone.stopped,Cross.stopped,text_4.started,key_resp_2.started,text_4.stopped,key_resp_2.keys,key_resp_2.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,21.407981899999868,21.407981899999868,space,8.96540769999774,,,,,,,,,,,,,,541763,001,2023-11-07_15h33.23.323,ASSR3,2022.2.5,61.3832092371564,
0,0,0,0,0,0,0,0,,,,,30.389318000001367,35.48835289999988,35.48835289999988,65.38715076000153,65.38795620000019,65.48761780000132,,,,,,,,541763,001,2023-11-07_15h33.23.323,ASSR3,2022.2.5,61.3832092371564,
0,0,0,0,1,0,1,0,,,,,,,95.50466840000081,125.384153160001,125.38473390000217,125.51920470000186,,,,,,,,541763,001,2023-11-07_15h33.23.323,ASSR3,2022.2.5,61.3832092371564,
0,0,0,0,2,0,2,0,,,,,,,155.48218660000202,185.38486556000134,185.38156720000188,185.48189840000123,,,,,,,,541763,001,2023-11-07_15h33.23.323,ASSR3,2022.2.5,61.3832092371564,
0,0,0,0,3,0,3,0,,,,,,,215.5120319000016,245.38019415999952,245.38160870000138,245.51182400000107,,,,,,,,541763,001,2023-11-07_15h33.23.323,ASSR3,2022.2.5,61.3832092371564,
0,0,0,0,4,0,4,0,,,,,,,275.49251920000097,305.3771839600013,305.37934360000145,305.4913277000014,335.4061937000006,335.4061937000006,,,,,,541763,001,2023-11-07_15h33.23.323,ASSR3,2022.2.5,61.3832092371564,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,541763,001,2023-11-07_15h33.23.323,ASSR3,2022.2.5,61.3832092371564,
1,0,1,0,0,0,0,0,,,,,335.4061937000006,,340.4884066000013,370.3888576600002,370.38800080000146,370.4881310000019,,400.3878186000002,,,,,,541763,001,2023-11-07_15h33.23.323,ASSR3,2022.2.5,61.3832092371564,
1,0,1,0,1,0,1,0,,,,,,,400.5024426000018,430.38490456,430.3855239000004,430.5017762999996,,,,,,,,541763,001,2023-11-07_15h33.23.323,ASSR3,2022.2.5,61.3832092371564,
1,0,1,0,2,0,2,0,,,,,,,460.5018670000027,490.3831002600018,490.3817147000009,490.5153453000021,,,,,,,,541763,001,2023-11-07_15h33.23.323,ASSR3,2022.2.5,61.3832092371564,
1,0,1,0,3,0,3,0,,,,,,,520.513025100001,550.378975560001,550.380328700001,550.5123120999997,,,,,,,,541763,001,2023-11-07_15h33.23.323,ASSR3,2022.2.5,61.3832092371564,
1,0,1,0,4,0,4,0,,,,,,,580.4926110000015,610.3750721600009,610.3759738000008,610.4931652000014,640.4058029000007,640.4058029000007,,,,,,541763,001,2023-11-07_15h33.23.323,ASSR3,2022.2.5,61.3832092371564,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,541763,001,2023-11-07_15h33.23.323,ASSR3,2022.2.5,61.3832092371564,
2,0,2,0,0,0,0,0,,,,,640.4058029000007,,645.5061898999993,675.3886944600017,675.3908059000023,675.5059653999997,705.4031171999995,,,,,,,541763,001,2023-11-07_15h33.23.323,ASSR3,2022.2.5,61.3832092371564,
2,0,2,0,1,0,1,0,,,,,,,705.502952400002,735.3855708600022,735.3855696000028,735.5025706000015,765.4999874000023,765.4999874000023,,,,,,541763,001,2023-11-07_15h33.23.323,ASSR3,2022.2.5,61.3832092371564,
2,0,2,0,2,0,2,0,,,,,,,765.4999874000023,795.38242876,795.3826268000012,795.5164785000015,,,,,,,,541763,001,2023-11-07_15h33.23.323,ASSR3,2022.2.5,61.3832092371564,
2,0,2,0,3,0,3,0,,,,,,,825.4988478000014,855.3793252600008,855.3800182000014,855.4975806000002,,,,,,,,541763,001,2023-11-07_15h33.23.323,ASSR3,2022.2.5,61.3832092371564,
2,0,2,0,4,0,4,0,,,,,,,885.5103550999993,915.3796035600026,915.3770070000028,915.5266599000024,,,,,,,,541763,001,2023-11-07_15h33.23.323,ASSR3,2022.2.5,61.3832092371564,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,541763,001,2023-11-07_15h33.23.323,ASSR3,2022.2.5,61.3832092371564,
,,,,,,,,,,,,,,,,,,,,945.4066982000004,945.4066982000004,1945.4217908000028,space,1468.922896299995,541763,001,2023-11-07_15h33.23.323,ASSR3,2022.2.5,61.3832092371564,
