trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,text.started,key_resp.started,key_resp.keys,key_resp.rt,text_2.started,text_2.stopped,Rest.started,ModulatedTone.started,Cross.started,Rest.stopped,ModulatedTone.stopped,Cross.stopped,text_4.started,key_resp_2.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,13.217990600009216,13.217990600009216,space,200.7065389000054,,,,,,,,,,,587896,001,2023-11-06_16h25.03.592,ASSR3,2022.2.5,59.544756521469246,
0,0,0,0,0,0,0,0,,,,,213.95414769998752,219.0188693999953,219.0188693999953,248.9385597200133,248.95203879999463,249.0200640000112,278.9657109999971,,,,587896,001,2023-11-06_16h25.03.592,ASSR3,2022.2.5,59.544756521469246,
0,0,0,0,1,0,1,0,,,,,,,279.0324937000114,308.9492058199947,308.9515268999967,309.0345212999964,,,,,587896,001,2023-11-06_16h25.03.592,ASSR3,2022.2.5,59.544756521469246,
0,0,0,0,2,0,2,0,,,,,,,339.0473347000079,368.9453593200131,368.9455409999937,369.0475133,399.02662150000106,399.02662150000106,,,587896,001,2023-11-06_16h25.03.592,ASSR3,2022.2.5,59.544756521469246,
0,0,0,0,3,0,3,0,,,,,,,399.02662150000106,428.9439772199956,428.9422468999983,429.02786060000653,,,,,587896,001,2023-11-06_16h25.03.592,ASSR3,2022.2.5,59.544756521469246,
0,0,0,0,4,0,4,0,,,,,,,459.0396042999928,488.940123219986,488.93876789999194,489.04138760000933,,518.9393097999855,,,587896,001,2023-11-06_16h25.03.592,ASSR3,2022.2.5,59.544756521469246,
0,0,0,0,,,,,,,,,,,,,,,,,,,587896,001,2023-11-06_16h25.03.592,ASSR3,2022.2.5,59.544756521469246,
1,0,1,0,0,0,0,0,,,,,518.98697920001,,524.0363039000076,553.9541886199847,553.9524672999978,554.0378065000114,,,,,587896,001,2023-11-06_16h25.03.592,ASSR3,2022.2.5,59.544756521469246,
1,0,1,0,1,0,1,0,,,,,,,584.0494190999889,613.9514685199945,613.9487986000022,614.050559299998,,643.9471055000031,,,587896,001,2023-11-06_16h25.03.592,ASSR3,2022.2.5,59.544756521469246,
1,0,1,0,2,0,2,0,,,,,,,644.029795200011,673.9461085200135,673.9458360999997,674.0289192000055,,,,,587896,001,2023-11-06_16h25.03.592,ASSR3,2022.2.5,59.544756521469246,
1,0,1,0,3,0,3,0,,,,,,,704.0267585999973,733.9455084200133,733.9420349999855,734.025848499994,,763.9423250000109,,,587896,001,2023-11-06_16h25.03.592,ASSR3,2022.2.5,59.544756521469246,
1,0,1,0,4,0,4,0,,,,,,,764.0227663000114,793.939425219997,793.9409456999856,794.0235837000073,,,,,587896,001,2023-11-06_16h25.03.592,ASSR3,2022.2.5,59.544756521469246,
1,0,1,0,,,,,,,,,,,,,,,,,,,587896,001,2023-11-06_16h25.03.592,ASSR3,2022.2.5,59.544756521469246,
,,,,,,,,,,,,,,,,,,,,823.9863157999935,823.9863157999935,,,,,,,
