trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,text.started,key_resp.started,key_resp.keys,key_resp.rt,text_2.started,Cross.started,CloseEyes.started,ModulatedTone.started,CloseEyes.stopped,ModulatedTone.stopped,Cross_2.started,CloseEyes_2.started,ModulatedTone_2.started,CloseEyes_2.stopped,ModulatedTone_2.stopped,Cross_3.started,CloseEyes_3.started,ModulatedTone_3.started,CloseEyes_3.stopped,ModulatedTone_3.stopped,text_4.started,key_resp_2.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,90.78822550000041,90.78822550000041,space,244.67486969998572,,,,,,,,,,,,,,,,,,,825817,001,2023-11-03_14h02.00.831,ASSR3,2022.2.5,None,
0,0,0,0,,,,,,,,,,,,,335.52163509998354,341.00498349999543,341.00498349999543,370.4857803666421,371.04433209999115,,,,,,,,,,,,,,825817,001,2023-11-03_14h02.00.831,ASSR3,2022.2.5,None,
1,0,1,0,,,,,,,,,,,,,,401.0032994999783,401.0032994999783,430.4811729666583,431.0176051000017,460.51058329999796,,,,,,,,,,,,,825817,001,2023-11-03_14h02.00.831,ASSR3,2022.2.5,None,
2,0,2,0,,,,,,,,,,,,,,461.00563099997817,461.00563099997817,490.5114500666425,491.04088819999015,,,,,,,,,,,,,,825817,001,2023-11-03_14h02.00.831,ASSR3,2022.2.5,None,
3,0,3,0,,,,,,,,,,,,,,521.0455834000022,521.0455834000022,550.5049814666602,551.0840429999807,,,,,,,,,,,,,,825817,001,2023-11-03_14h02.00.831,ASSR3,2022.2.5,None,
4,0,4,0,,,,,,,,,,,,,,581.0115609999921,581.0115609999921,610.4825558666528,611.0339456999791,,,,,,,,,,,,,,825817,001,2023-11-03_14h02.00.831,ASSR3,2022.2.5,None,
,,,,0,0,0,0,,,,,,,,,640.5375544999843,,,,,,646.1966398999793,646.1966398999793,675.5007898666411,676.2196479999984,,,,,,,,,825817,001,2023-11-03_14h02.00.831,ASSR3,2022.2.5,None,
,,,,1,0,1,0,,,,,,,,,,,,,,,706.0566985999758,706.0566985999758,735.4820785666564,736.0645612999797,765.5207212999812,,,,,,,,825817,001,2023-11-03_14h02.00.831,ASSR3,2022.2.5,None,
,,,,2,0,2,0,,,,,,,,,,,,,,,766.0673055999796,766.0673055999796,795.4886547666431,796.0772749999887,,,,,,,,,825817,001,2023-11-03_14h02.00.831,ASSR3,2022.2.5,None,
,,,,3,0,3,0,,,,,,,,,,,,,,,826.0135126999812,826.0135126999812,855.4885711666468,856.0328801999858,,,,,,,,,825817,001,2023-11-03_14h02.00.831,ASSR3,2022.2.5,None,
,,,,4,0,4,0,,,,,,,,,,,,,,,886.0545434999804,886.0545434999804,915.482157866649,916.0809364999877,,,,,,,,,825817,001,2023-11-03_14h02.00.831,ASSR3,2022.2.5,None,
,,,,,,,,0,0,0,0,,,,,945.5404404999863,,,,,,,,,,,951.1043875999749,951.1043875999749,980.4840200666551,981.1325734999846,1010.5116487999912,,,825817,001,2023-11-03_14h02.00.831,ASSR3,2022.2.5,None,
,,,,,,,,1,0,1,0,,,,,,,,,,,,,,,,1011.0187602999795,1011.0187602999795,1040.4850346666683,1041.0625019999861,,,,825817,001,2023-11-03_14h02.00.831,ASSR3,2022.2.5,None,
,,,,,,,,2,0,2,0,,,,,,,,,,,,,,,,1071.0510982999986,1071.0510982999986,1100.4885443666465,1101.0920591999893,,,,825817,001,2023-11-03_14h02.00.831,ASSR3,2022.2.5,None,
,,,,,,,,3,0,3,0,,,,,,,,,,,,,,,,1131.0126051999978,1131.0126051999978,1160.4912988666658,1161.047783099988,1190.5198359999922,,,825817,001,2023-11-03_14h02.00.831,ASSR3,2022.2.5,None,
,,,,,,,,4,0,4,0,,,,,,,,,,,,,,,,1191.0720115999866,1191.0720115999866,1220.4980507666517,1221.1083956999937,,,,825817,001,2023-11-03_14h02.00.831,ASSR3,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1250.5334846999904,1250.5334846999904,,,,,,,
