trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,text.started,key_resp.started,key_resp.keys,key_resp.rt,Cross.started,text_3.started,ModulatedTone.started,text_3.stopped,text_2.started,text_4.started,key_resp_2.started,text_4.stopped,key_resp_2.keys,key_resp_2.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,35.51772730000084,35.51772730000084,space,51.23993149999296,,,,,,,,,,,911088,001,2023-10-18_11h38.15.686,ASSR3,2022.2.5,59.792162444330486,
0,0,0,0,0,0,0,0,,,,,86.83135510000284,86.83135510000284,96.77288045000459,96.83971689999453,,,,,,,911088,001,2023-10-18_11h38.15.686,ASSR3,2022.2.5,59.792162444330486,
0,0,0,0,1,0,1,0,,,,,156.89953409999725,156.89953409999725,166.77408154998267,166.90766789999907,,,,,,,911088,001,2023-10-18_11h38.15.686,ASSR3,2022.2.5,59.792162444330486,
0,0,0,0,2,0,2,0,,,,,226.8332819000061,226.8332819000061,236.77469704998367,236.84194700000808,,,,,,,911088,001,2023-10-18_11h38.15.686,ASSR3,2022.2.5,59.792162444330486,
0,0,0,0,3,0,3,0,,,,,296.85206040000776,296.85206040000776,306.77657934999735,306.8600543999928,,,,,,,911088,001,2023-10-18_11h38.15.686,ASSR3,2022.2.5,59.792162444330486,
0,0,0,0,4,0,4,0,,,,,366.8524007999804,366.8524007999804,376.7781527499872,376.86149539999315,,,,,,,911088,001,2023-10-18_11h38.15.686,ASSR3,2022.2.5,59.792162444330486,
0,0,0,0,,,,,,,,,,,,,436.7876636000001,,,,,,911088,001,2023-10-18_11h38.15.686,ASSR3,2022.2.5,59.792162444330486,
1,0,1,0,0,0,0,0,,,,,441.84889279998606,441.84889279998606,451.77454394998205,451.85763799998676,,,,,,,911088,001,2023-10-18_11h38.15.686,ASSR3,2022.2.5,59.792162444330486,
1,0,1,0,1,0,1,0,,,,,511.85059210000327,511.85059210000327,521.775625749983,521.8590753999888,,,,,,,911088,001,2023-10-18_11h38.15.686,ASSR3,2022.2.5,59.792162444330486,
1,0,1,0,2,0,2,0,,,,,581.8359773999837,581.8359773999837,591.7772896499926,591.844396600005,,,,,,,911088,001,2023-10-18_11h38.15.686,ASSR3,2022.2.5,59.792162444330486,
1,0,1,0,3,0,3,0,,,,,651.8534245000046,651.8534245000046,661.7777987499983,661.8613291999791,,,,,,,911088,001,2023-10-18_11h38.15.686,ASSR3,2022.2.5,59.792162444330486,
1,0,1,0,4,0,4,0,,,,,721.8538375000062,721.8538375000062,731.7793345499929,731.862535399996,,,,,,,911088,001,2023-10-18_11h38.15.686,ASSR3,2022.2.5,59.792162444330486,
1,0,1,0,,,,,,,,,,,,,791.7900265000062,,,,,,911088,001,2023-10-18_11h38.15.686,ASSR3,2022.2.5,59.792162444330486,
2,0,2,0,0,0,0,0,,,,,796.8338261999888,796.8338261999888,806.7759590499888,806.8426028999966,,,,,,,911088,001,2023-10-18_11h38.15.686,ASSR3,2022.2.5,59.792162444330486,
2,0,2,0,1,0,1,0,,,,,866.8516331999854,866.8516331999854,876.7766696499864,876.8610114000039,,,,,,,911088,001,2023-10-18_11h38.15.686,ASSR3,2022.2.5,59.792162444330486,
2,0,2,0,2,0,2,0,,,,,936.8539485000074,936.8539485000074,946.7785318499925,946.8616494000016,,,,,,,911088,001,2023-10-18_11h38.15.686,ASSR3,2022.2.5,59.792162444330486,
2,0,2,0,3,0,3,0,,,,,1006.8551001999876,1006.8551001999876,1016.7800273500004,1016.8623579999839,,,,,,,911088,001,2023-10-18_11h38.15.686,ASSR3,2022.2.5,59.792162444330486,
2,0,2,0,4,0,4,0,,,,,1076.856318999984,1076.856318999984,1086.7803588499926,1086.8645245999796,,,,,,,911088,001,2023-10-18_11h38.15.686,ASSR3,2022.2.5,59.792162444330486,
2,0,2,0,,,,,,,,,,,,,1146.791318100004,,,,,,911088,001,2023-10-18_11h38.15.686,ASSR3,2022.2.5,59.792162444330486,
,,,,,,,,,,,,,,,,,1151.7875759000017,1151.7875759000017,4642.244399699994,space,3998.677309999999,911088,001,2023-10-18_11h38.15.686,ASSR3,2022.2.5,59.792162444330486,
