trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,text.started,key_resp.started,key_resp.keys,key_resp.rt,text_2.started,CloseEyes.started,ModulatedTone.started,OpenEyes.started,CloseEyes.stopped,ModulatedTone.stopped,OpenEyes.stopped,text_4.started,key_resp_2.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,34.922903200029396,34.922903200029396,space,38.23897909995867,,,,,,,,,,953137,001,2023-11-07_13h16.40.986,ASSR3,2022.2.5,59.55206131225207,
0,0,0,0,,,,,73.17817969998578,78.27272720000474,108.1633057900297,108.16342550003901,108.27836709999247,138.26720510004088,138.26720510004088,,,953137,001,2023-11-07_13h16.40.986,ASSR3,2022.2.5,59.55206131225207,
1,0,1,0,,,,,,138.26720510004088,168.17238689002698,168.17233440000564,168.27347120002378,198.27774380001938,198.27774380001938,,,953137,001,2023-11-07_13h16.40.986,ASSR3,2022.2.5,59.55206131225207,
2,0,2,0,,,,,,198.27774380001938,228.16708929002635,228.16702679998707,228.28253660001792,258.25517910002964,258.25517910002964,,,953137,001,2023-11-07_13h16.40.986,ASSR3,2022.2.5,59.55206131225207,
3,0,3,0,,,,,,258.25517910002964,288.17686609002413,288.17784650000976,288.26147780002793,,,,,953137,001,2023-11-07_13h16.40.986,ASSR3,2022.2.5,59.55206131225207,
4,0,4,0,,,,,,318.2651656999951,348.172235190036,348.170586000022,348.271429800021,378.25968940003077,378.25968940003077,,,953137,001,2023-11-07_13h16.40.986,ASSR3,2022.2.5,59.55206131225207,
5,0,5,0,,,,,,378.25968940003077,408.1657072900387,408.1657894999953,408.26463660004083,438.252422199992,438.252422199992,,,953137,001,2023-11-07_13h16.40.986,ASSR3,2022.2.5,59.55206131225207,
6,0,6,0,,,,,,438.252422199992,468.1763668900065,468.17694999999367,468.25836550001986,,,,,953137,001,2023-11-07_13h16.40.986,ASSR3,2022.2.5,59.55206131225207,
7,0,7,0,,,,,,498.27933009999106,528.1711422900378,528.1716379999998,528.2878903000383,558.2575750999968,558.2575750999968,,,953137,001,2023-11-07_13h16.40.986,ASSR3,2022.2.5,59.55206131225207,
8,0,8,0,,,,,,558.2575750999968,588.1642751900188,588.1653294999851,588.2627291000099,618.2519893000135,618.2519893000135,,,953137,001,2023-11-07_13h16.40.986,ASSR3,2022.2.5,59.55206131225207,
9,0,9,0,,,,,,618.2519893000135,648.1731702899967,648.173866200028,648.2584348000237,,,,,953137,001,2023-11-07_13h16.40.986,ASSR3,2022.2.5,59.55206131225207,
10,0,10,0,,,,,,678.2786863000365,708.1685484900197,708.1686592000187,708.2858792000334,738.2558201000211,738.2558201000211,,,953137,001,2023-11-07_13h16.40.986,ASSR3,2022.2.5,59.55206131225207,
11,0,11,0,,,,,,738.2558201000211,768.1779581900162,768.1777990999981,768.263771100028,,,,,953137,001,2023-11-07_13h16.40.986,ASSR3,2022.2.5,59.55206131225207,
12,0,12,0,,,,,,798.2656286000274,828.1731008899922,828.1730715000303,828.272167099989,858.2605898000184,858.2605898000184,,,953137,001,2023-11-07_13h16.40.986,ASSR3,2022.2.5,59.55206131225207,
13,0,13,0,,,,,,858.2605898000184,888.1671435900323,888.1671819000039,888.2669154999894,918.2546989000402,918.2546989000402,,,953137,001,2023-11-07_13h16.40.986,ASSR3,2022.2.5,59.55206131225207,
14,0,14,0,,,,,,918.2546989000402,948.1775283900031,948.1786118000164,948.2608904000372,,,,,953137,001,2023-11-07_13h16.40.986,ASSR3,2022.2.5,59.55206131225207,
,,,,,,,,,,,,,,,978.198657400033,978.198657400033,,,,,,,
