trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,text.started,key_resp.started,key_resp.keys,key_resp.rt,Cross.started,text_3.started,ModulatedTone.started,text_3.stopped,ModulatedTone.stopped,text_2.started,text_4.started,key_resp_2.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,17.908725600000253,17.908725600000253,space,12.387933400001202,,,,,,,,,963254,001,2023-10-12_14h46.21.186,ASSR3,2022.2.5,None,
0,0,0,0,0,0,0,0,,,,,30.33760970000003,30.33760970000003,32.32050716666551,32.340108299998974,,,,,963254,001,2023-10-12_14h46.21.186,ASSR3,2022.2.5,None,
0,0,0,0,1,0,1,0,,,,,37.36448949999976,37.36448949999976,39.31327746666672,39.36317969999982,,,,,963254,001,2023-10-12_14h46.21.186,ASSR3,2022.2.5,None,
0,0,0,0,2,0,2,0,,,,,44.34588090000034,44.34588090000034,46.31032526666628,46.35781289999977,,,,,963254,001,2023-10-12_14h46.21.186,ASSR3,2022.2.5,None,
0,0,0,0,3,0,3,0,,,,,51.35342339999988,51.35342339999988,53.316814966665575,53.36677669999881,,,,,963254,001,2023-10-12_14h46.21.186,ASSR3,2022.2.5,None,
0,0,0,0,4,0,4,0,,,,,58.34478940000008,58.34478940000008,60.31049136666685,60.34707999999955,,,,,963254,001,2023-10-12_14h46.21.186,ASSR3,2022.2.5,None,
0,0,0,0,5,0,5,0,,,,,65.34030639999946,65.34030639999946,67.30788626666642,67.33756549999998,,,,,963254,001,2023-10-12_14h46.21.186,ASSR3,2022.2.5,None,
0,0,0,0,6,0,6,0,,,,,72.35445330000039,72.35445330000039,74.31394256666705,74.36379039999883,,,,,963254,001,2023-10-12_14h46.21.186,ASSR3,2022.2.5,None,
0,0,0,0,7,0,7,0,,,,,79.34297089999927,79.34297089999927,81.31211356666633,81.36118510000051,,,,,963254,001,2023-10-12_14h46.21.186,ASSR3,2022.2.5,None,
0,0,0,0,8,0,8,0,,,,,86.33690070000011,86.33690070000011,88.31769276666661,88.3341464999994,,,,,963254,001,2023-10-12_14h46.21.186,ASSR3,2022.2.5,None,
0,0,0,0,9,0,9,0,,,,,93.35206239999934,93.35206239999934,95.31096936666678,95.36464650000016,100.32352629999878,,,,963254,001,2023-10-12_14h46.21.186,ASSR3,2022.2.5,None,
0,0,0,0,,,,,,,,,,,,,,100.34218949999922,,,963254,001,2023-10-12_14h46.21.186,ASSR3,2022.2.5,None,
1,0,1,0,0,0,0,0,,,,,105.35181659999944,105.35181659999944,107.30820756666641,107.35816530000011,,,,,963254,001,2023-10-12_14h46.21.186,ASSR3,2022.2.5,None,
1,0,1,0,1,0,1,0,,,,,112.34506299999885,112.34506299999885,114.3144987666658,114.34357520000049,,,,,963254,001,2023-10-12_14h46.21.186,ASSR3,2022.2.5,None,
1,0,1,0,2,0,2,0,,,,,119.35939940000026,119.35939940000026,121.32379186666573,121.36966910000046,,,,,963254,001,2023-10-12_14h46.21.186,ASSR3,2022.2.5,None,
1,0,1,0,3,0,3,0,,,,,126.35140909999973,126.35140909999973,128.31896136666572,128.34682229999999,,,,,963254,001,2023-10-12_14h46.21.186,ASSR3,2022.2.5,None,
1,0,1,0,4,0,4,0,,,,,133.3453043999998,133.3453043999998,135.31101116666676,135.34071349999977,,,,,963254,001,2023-10-12_14h46.21.186,ASSR3,2022.2.5,None,
1,0,1,0,5,0,5,0,,,,,140.35234649999984,140.35234649999984,142.30621786666623,142.3674157000005,,,,,963254,001,2023-10-12_14h46.21.186,ASSR3,2022.2.5,None,
1,0,1,0,6,0,6,0,,,,,147.35173360000044,147.35173360000044,149.31033096666604,149.36564429999999,,,,,963254,001,2023-10-12_14h46.21.186,ASSR3,2022.2.5,None,
1,0,1,0,7,0,7,0,,,,,154.33812149999903,154.33812149999903,156.30785716666676,156.3418187999996,,,,,963254,001,2023-10-12_14h46.21.186,ASSR3,2022.2.5,None,
1,0,1,0,8,0,8,0,,,,,161.34894469999927,161.34894469999927,163.31734686666667,163.34783289999905,,,,,963254,001,2023-10-12_14h46.21.186,ASSR3,2022.2.5,None,
1,0,1,0,9,0,9,0,,,,,168.34175229999892,168.34175229999892,170.312307866667,170.3453085000001,,,,,963254,001,2023-10-12_14h46.21.186,ASSR3,2022.2.5,None,
1,0,1,0,,,,,,,,,,,,,,175.33583720000024,,,963254,001,2023-10-12_14h46.21.186,ASSR3,2022.2.5,None,
,,,,,,,,,,,,,,,,,,180.3317136000005,180.3317136000005,,,,,,,
