trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,text.started,key_resp.started,key_resp.keys,key_resp.rt,Cross.started,text_3.started,ModulatedTone.started,text_3.stopped,text_2.started,text_4.started,key_resp_2.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,24.186171500001365,24.186171500001365,space,33.95287769999777,,,,,,,,LarsShield1016,001,2023-10-16_15h22.40.753,ASSR3,2022.2.5,59.825930471838184,
0,0,0,0,0,0,0,0,,,,,58.23013410000203,58.23013410000203,68.16330700000108,68.23092000000179,,,,LarsShield1016,001,2023-10-16_15h22.40.753,ASSR3,2022.2.5,59.825930471838184,
0,0,0,0,1,0,1,0,,,,,128.27610520000235,128.27610520000235,138.16023980000173,138.27662630000123,,,,LarsShield1016,001,2023-10-16_15h22.40.753,ASSR3,2022.2.5,59.825930471838184,
0,0,0,0,2,0,2,0,,,,,198.2538908000024,198.2538908000024,208.15550440000007,208.25601870000173,,,,LarsShield1016,001,2023-10-16_15h22.40.753,ASSR3,2022.2.5,59.825930471838184,
0,0,0,0,3,0,3,0,,,,,268.36867920000077,268.36867920000077,278.152098500001,278.3840366000004,,,,LarsShield1016,001,2023-10-16_15h22.40.753,ASSR3,2022.2.5,59.825930471838184,
0,0,0,0,4,0,4,0,,,,,338.23031120000087,338.23031120000087,348.16393280000045,348.2306918000031,,,,LarsShield1016,001,2023-10-16_15h22.40.753,ASSR3,2022.2.5,59.825930471838184,
0,0,0,0,,,,,,,,,,,,,408.19215560000157,,,LarsShield1016,001,2023-10-16_15h22.40.753,ASSR3,2022.2.5,59.825930471838184,
1,0,1,0,0,0,0,0,,,,,413.22557900000174,413.22557900000174,423.1581237000013,423.22579570000016,,,,LarsShield1016,001,2023-10-16_15h22.40.753,ASSR3,2022.2.5,59.825930471838184,
1,0,1,0,1,0,1,0,,,,,483.4431119000001,483.4431119000001,493.1549290000024,493.45536210000137,,,,LarsShield1016,001,2023-10-16_15h22.40.753,ASSR3,2022.2.5,59.825930471838184,
1,0,1,0,2,0,2,0,,,,,553.2501411000012,553.2501411000012,563.1513205000032,563.2513437000016,,,,LarsShield1016,001,2023-10-16_15h22.40.753,ASSR3,2022.2.5,59.825930471838184,
1,0,1,0,3,0,3,0,,,,,623.2294298000015,623.2294298000015,633.1639436999998,633.2297806000024,,,,LarsShield1016,001,2023-10-16_15h22.40.753,ASSR3,2022.2.5,59.825930471838184,
1,0,1,0,4,0,4,0,,,,,693.2247469000031,693.2247469000031,703.1626728000032,703.2305288000025,,,,LarsShield1016,001,2023-10-16_15h22.40.753,ASSR3,2022.2.5,59.825930471838184,
1,0,1,0,,,,,,,,,,,,,763.2064583000029,,,LarsShield1016,001,2023-10-16_15h22.40.753,ASSR3,2022.2.5,59.825930471838184,
2,0,2,0,0,0,0,0,,,,,768.2368349000026,768.2368349000026,778.1540489000021,778.2379361000021,,,,LarsShield1016,001,2023-10-16_15h22.40.753,ASSR3,2022.2.5,59.825930471838184,
2,0,2,0,1,0,1,0,,,,,838.2498472000007,838.2498472000007,848.1504623000022,848.2504887000032,,,,LarsShield1016,001,2023-10-16_15h22.40.753,ASSR3,2022.2.5,59.825930471838184,
2,0,2,0,2,0,2,0,,,,,908.246059000001,908.246059000001,918.1649321000026,918.2464371000024,,,,LarsShield1016,001,2023-10-16_15h22.40.753,ASSR3,2022.2.5,59.825930471838184,
2,0,2,0,3,0,3,0,,,,,978.2579196000006,978.2579196000006,988.1579409000027,988.2585168000005,,,,LarsShield1016,001,2023-10-16_15h22.40.753,ASSR3,2022.2.5,59.825930471838184,
2,0,2,0,4,0,4,0,,,,,1048.2373850000004,1048.2373850000004,1058.154335400001,1058.2382045000013,,,,LarsShield1016,001,2023-10-16_15h22.40.753,ASSR3,2022.2.5,59.825930471838184,
2,0,2,0,,,,,,,,,,,,,1118.1908399000022,,,LarsShield1016,001,2023-10-16_15h22.40.753,ASSR3,2022.2.5,59.825930471838184,
,,,,,,,,,,,,,,,,,1123.1687566,1123.1687566,,,,,,,
