trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,text.started,key_resp.started,key_resp.keys,key_resp.rt,Cross.started,text_3.started,ModulatedTone.started,text_3.stopped,ModulatedTone.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,221.15872839989606,221.15872839989606,space,20.91251149994787,,,,,,LeviShieldHugin,001,2023-10-06_17h05.59.452,ASSR2,2022.2.5,None,
0,0,0,0,0,0,0,0,,,,,242.1839222999988,242.1839222999988,244.59690535996342,244.6956024999963,,LeviShieldHugin,001,2023-10-06_17h05.59.452,ASSR2,2022.2.5,None,
0,0,0,0,1,0,1,0,,,,,254.70229139993899,254.70229139993899,257.085141759913,257.20072159997653,267.1089674999239,LeviShieldHugin,001,2023-10-06_17h05.59.452,ASSR2,2022.2.5,None,
0,0,0,0,2,0,2,0,,,,,267.2085017999634,267.2085017999634,269.59275795993165,269.7233749999432,279.59756889997516,LeviShieldHugin,001,2023-10-06_17h05.59.452,ASSR2,2022.2.5,None,
0,0,0,0,3,0,3,0,,,,,279.6970127999084,279.6970127999084,282.0945970599656,282.19394779996946,,LeviShieldHugin,001,2023-10-06_17h05.59.452,ASSR2,2022.2.5,None,
0,0,0,0,4,0,4,0,,,,,292.7721802999731,292.7721802999731,294.5990577599383,295.28241639991757,,LeviShieldHugin,001,2023-10-06_17h05.59.452,ASSR2,2022.2.5,None,
0,0,0,0,5,0,5,0,,,,,304.7064374999609,304.7064374999609,307.088830659946,307.2445638999343,317.1105503999861,LeviShieldHugin,001,2023-10-06_17h05.59.452,ASSR2,2022.2.5,None,
0,0,0,0,6,0,6,0,,,,,317.2115668999031,317.2115668999031,319.5954654599424,319.7255666999845,,LeviShieldHugin,001,2023-10-06_17h05.59.452,ASSR2,2022.2.5,None,
0,0,0,0,7,0,7,0,,,,,329.71662469999865,329.71662469999865,332.09763545993485,332.23048799997196,,LeviShieldHugin,001,2023-10-06_17h05.59.452,ASSR2,2022.2.5,None,
0,0,0,0,8,0,8,0,,,,,342.20390649989713,342.20390649989713,344.58924025992167,344.70514519989956,354.6100015999982,LeviShieldHugin,001,2023-10-06_17h05.59.452,ASSR2,2022.2.5,None,
0,0,0,0,9,0,9,0,,,,,354.70979819993954,354.70979819993954,357.09247955990725,357.2069996999344,367.11646599997766,LeviShieldHugin,001,2023-10-06_17h05.59.452,ASSR2,2022.2.5,None,
0,0,0,0,10,0,10,0,,,,,367.2139409999363,367.2139409999363,369.5961614600034,369.72917810000945,,LeviShieldHugin,001,2023-10-06_17h05.59.452,ASSR2,2022.2.5,None,
0,0,0,0,11,0,11,0,,,,,379.70268809993286,379.70268809993286,382.0844423599425,382.2186309999088,392.10947419994045,LeviShieldHugin,001,2023-10-06_17h05.59.452,ASSR2,2022.2.5,None,
0,0,0,0,12,0,12,0,,,,,392.1901549999602,392.1901549999602,394.59515995994445,394.70614829997066,404.6127368999878,LeviShieldHugin,001,2023-10-06_17h05.59.452,ASSR2,2022.2.5,None,
,,,,,,,,,,,,404.69646209990606,404.69646209990606,,,,,,,,,,
