trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,text.started,key_resp.started,key_resp.keys,key_resp.rt,Cross.started,text_3.started,ModulatedTone.started,text_3.stopped,ModulatedTone.stopped,key_resp_3.started,text_2.started,key_resp_3.keys,key_resp_3.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,489.9728624999989,489.9728624999989,space,130.47959340002853,,,,,,,,,,LeviShieldd,001,2023-10-06_15h29.49.177,ASSR2,2022.2.5,60.33957908389284,
0,0,0,0,0,0,0,0,,,,,620.5573914999841,620.5573914999841,622.976833050081,623.0726987000089,,,,,,LeviShieldd,001,2023-10-06_15h29.49.177,ASSR2,2022.2.5,60.33957908389284,
0,0,0,0,1,0,1,0,,,,,633.0625093000708,633.0625093000708,635.4622929500765,635.5773787000217,645.4848834000295,,,,,LeviShieldd,001,2023-10-06_15h29.49.177,ASSR2,2022.2.5,60.33957908389284,
0,0,0,0,2,0,2,0,,,,,645.5723290999886,645.5723290999886,647.9673967500567,648.0838811000576,657.9903824999928,,,,,LeviShieldd,001,2023-10-06_15h29.49.177,ASSR2,2022.2.5,60.33957908389284,
0,0,0,0,3,0,3,0,,,,,658.0894766000565,658.0894766000565,660.4701408499968,660.605473499978,,,,,,LeviShieldd,001,2023-10-06_15h29.49.177,ASSR2,2022.2.5,60.33957908389284,
0,0,0,0,4,0,4,0,,,,,670.5613295000512,670.5613295000512,672.976590849983,673.0751060000621,,,,,,LeviShieldd,001,2023-10-06_15h29.49.177,ASSR2,2022.2.5,60.33957908389284,
0,0,0,0,5,0,5,0,,,,,683.082477799966,683.082477799966,685.4666654500761,685.5818195000757,695.4874447999755,,,,,LeviShieldd,001,2023-10-06_15h29.49.177,ASSR2,2022.2.5,60.33957908389284,
0,0,0,0,6,0,6,0,,,,,695.5712017000187,695.5712017000187,697.9687055500108,698.0869831000455,707.9929358999943,,,,,LeviShieldd,001,2023-10-06_15h29.49.177,ASSR2,2022.2.5,60.33957908389284,
0,0,0,0,7,0,7,0,,,,,708.075473700068,708.075473700068,710.474310550082,710.5773534000618,,,,,,LeviShieldd,001,2023-10-06_15h29.49.177,ASSR2,2022.2.5,60.33957908389284,
0,0,0,0,8,0,8,0,,,,,720.581532399985,720.581532399985,722.9619302499923,723.0962888000067,732.9878684000578,,,,,LeviShieldd,001,2023-10-06_15h29.49.177,ASSR2,2022.2.5,60.33957908389284,
0,0,0,0,9,0,9,0,,,,,733.0706178999972,733.0706178999972,735.4673040500493,735.5840910000261,745.4943340000464,,,,,LeviShieldd,001,2023-10-06_15h29.49.177,ASSR2,2022.2.5,60.33957908389284,
0,0,0,0,10,0,10,0,,,,,745.5745089000557,745.5745089000557,747.9734799500438,748.0898717000382,,,,,,LeviShieldd,001,2023-10-06_15h29.49.177,ASSR2,2022.2.5,60.33957908389284,
0,0,0,0,11,0,11,0,,,,,758.0791748000775,758.0791748000775,760.4602418500581,760.5790971000679,770.4839955000207,,,,,LeviShieldd,001,2023-10-06_15h29.49.177,ASSR2,2022.2.5,60.33957908389284,
0,0,0,0,12,0,12,0,,,,,770.5679657000583,770.5679657000583,772.9664130500169,773.082270200015,782.9894567000447,,,,,LeviShieldd,001,2023-10-06_15h29.49.177,ASSR2,2022.2.5,60.33957908389284,
0,0,0,0,13,0,13,0,,,,,783.0723171000136,783.0723171000136,785.4711034499924,785.5712112999754,,,,,,LeviShieldd,001,2023-10-06_15h29.49.177,ASSR2,2022.2.5,60.33957908389284,
0,0,0,0,14,0,14,0,,,,,795.5799299000064,795.5799299000064,797.9755308500607,798.0916281000245,,,,,,LeviShieldd,001,2023-10-06_15h29.49.177,ASSR2,2022.2.5,60.33957908389284,
0,0,0,0,15,0,15,0,,,,,808.0858759999974,808.0858759999974,810.4805476500769,810.5972736000549,,,,,,LeviShieldd,001,2023-10-06_15h29.49.177,ASSR2,2022.2.5,60.33957908389284,
