trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,text.started,key_resp.started,key_resp.keys,key_resp.rt,Cross.started,text_3.started,ModulatedTone.started,text_3.stopped,ModulatedTone.stopped,key_resp_3.started,text_2.started,key_resp_3.keys,key_resp_3.rt,text_4.started,key_resp_2.started,key_resp_2.keys,key_resp_2.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,24.30226260004565,24.30226260004565,space,6.945289599942043,,,,,,,,,,,,,,Levi,002,2023-10-10_15h47.00.916,ASSR3,2022.2.5,60.86934817740039,
0,0,0,0,0,0,0,0,,,,,31.356020299950615,31.356020299950615,33.270395009941424,33.3703793999739,,,,,,,,,,Levi,002,2023-10-10_15h47.00.916,ASSR3,2022.2.5,60.86934817740039,
0,0,0,0,1,0,1,0,,,,,38.382603199919686,38.382603199919686,40.26418720993679,40.39691859995946,,,,,,,,,,Levi,002,2023-10-10_15h47.00.916,ASSR3,2022.2.5,60.86934817740039,
0,0,0,0,2,0,2,0,,,,,45.39219480007887,45.39219480007887,47.25769650998991,47.3914854999166,52.28508449997753,,,,,,,,,Levi,002,2023-10-10_15h47.00.916,ASSR3,2022.2.5,60.86934817740039,
0,0,0,0,3,0,3,0,,,,,52.40263359993696,52.40263359993696,54.26781710998621,54.41897129989229,,,,,,,,,,Levi,002,2023-10-10_15h47.00.916,ASSR3,2022.2.5,60.86934817740039,
0,0,0,0,4,0,4,0,,,,,59.3786660998594,59.3786660998594,61.26075580988545,61.3781896000728,,,,,,,,,,Levi,002,2023-10-10_15h47.00.916,ASSR3,2022.2.5,60.86934817740039,
0,0,0,0,5,0,5,0,,,,,66.37244339985773,66.37244339985773,68.27082191004884,68.37082609999925,,,,,,,,,,Levi,002,2023-10-10_15h47.00.916,ASSR3,2022.2.5,60.86934817740039,
0,0,0,0,6,0,6,0,,,,,73.36864920007065,73.36864920007065,75.26483460997697,75.38086410006508,,,,,,,,,,Levi,002,2023-10-10_15h47.00.916,ASSR3,2022.2.5,60.86934817740039,
0,0,0,0,7,0,7,0,,,,,80.37685330002569,80.37685330002569,82.25873660987709,82.39244109997526,87.28578529995866,,,,,,,,,Levi,002,2023-10-10_15h47.00.916,ASSR3,2022.2.5,60.86934817740039,
0,0,0,0,8,0,8,0,,,,,87.36943540000357,87.36943540000357,89.27004770997446,89.38415649998933,,,,,,,,,,Levi,002,2023-10-10_15h47.00.916,ASSR3,2022.2.5,60.86934817740039,
0,0,0,0,9,0,9,0,,,,,94.38062279997393,94.38062279997393,96.26098841002677,96.39432680001482,,,,,,,,,,Levi,002,2023-10-10_15h47.00.916,ASSR3,2022.2.5,60.86934817740039,
0,0,0,0,,,,,,,,,,,,,,101.29225399997085,101.29225399997085,space,9.732264900114387,,,,,Levi,002,2023-10-10_15h47.00.916,ASSR3,2022.2.5,60.86934817740039,
