trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,text.started,key_resp.started,key_resp.keys,key_resp.rt,text_2.started,Cross.started,Rest.started,ModulatedTone.started,Rest.stopped,ModulatedTone.stopped,text_4.started,key_resp_2.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,46.87775069999043,46.87775069999043,space,206.310169400007,,,,,,,,,alex_27_10_23_shielded_hugin,001,2023-10-27_15h22.37.998,ASSR3,2022.2.5,59.90165346612832,
0,0,0,0,0,0,0,0,,,,,253.21573680000438,258.6399827999994,258.6399827999994,268.2130327499952,268.6468387999921,,,,alex_27_10_23_shielded_hugin,001,2023-10-27_15h22.37.998,ASSR3,2022.2.5,59.90165346612832,
0,0,0,0,1,0,1,0,,,,,,328.3229292000033,328.3229292000033,338.20024344999257,338.33436660000007,,,,alex_27_10_23_shielded_hugin,001,2023-10-27_15h22.37.998,ASSR3,2022.2.5,59.90165346612832,
0,0,0,0,2,0,2,0,,,,,,398.3946225999971,398.3946225999971,408.22536664999353,408.40733879999607,,,,alex_27_10_23_shielded_hugin,001,2023-10-27_15h22.37.998,ASSR3,2022.2.5,59.90165346612832,
0,0,0,0,3,0,3,0,,,,,,468.3135743000021,468.3135743000021,478.20723574998993,478.32409310000367,,,,alex_27_10_23_shielded_hugin,001,2023-10-27_15h22.37.998,ASSR3,2022.2.5,59.90165346612832,
0,0,0,0,4,0,4,0,,,,,,538.2838325000048,538.2838325000048,548.2120277499969,548.294913699996,,,,alex_27_10_23_shielded_hugin,001,2023-10-27_15h22.37.998,ASSR3,2022.2.5,59.90165346612832,
0,0,0,0,,,,,,,,,,,,,,,,,alex_27_10_23_shielded_hugin,001,2023-10-27_15h22.37.998,ASSR3,2022.2.5,59.90165346612832,
1,0,1,0,0,0,0,0,,,,,608.2407903999992,613.2756397000048,613.2756397000048,623.2032383499943,623.2862414999981,,,,alex_27_10_23_shielded_hugin,001,2023-10-27_15h22.37.998,ASSR3,2022.2.5,59.90165346612832,
1,0,1,0,1,0,1,0,,,,,,683.2793249999959,683.2793249999959,693.2076634500015,693.2907050999929,,,,alex_27_10_23_shielded_hugin,001,2023-10-27_15h22.37.998,ASSR3,2022.2.5,59.90165346612832,
1,0,1,0,2,0,2,0,,,,,,753.3343744000013,753.3343744000013,763.2101191500012,763.3436820999923,,,,alex_27_10_23_shielded_hugin,001,2023-10-27_15h22.37.998,ASSR3,2022.2.5,59.90165346612832,
1,0,1,0,3,0,3,0,,,,,,823.3207036999956,823.3207036999956,833.2139300500028,833.3310860999918,,,,alex_27_10_23_shielded_hugin,001,2023-10-27_15h22.37.998,ASSR3,2022.2.5,59.90165346612832,
1,0,1,0,4,0,4,0,,,,,,893.2904705999972,893.2904705999972,903.2017618500001,903.3012061000045,963.2314060999925,,,alex_27_10_23_shielded_hugin,001,2023-10-27_15h22.37.998,ASSR3,2022.2.5,59.90165346612832,
1,0,1,0,,,,,,,,,,,,,,,,,alex_27_10_23_shielded_hugin,001,2023-10-27_15h22.37.998,ASSR3,2022.2.5,59.90165346612832,
,,,,,,,,,,,,,,,,,,963.265063400002,963.265063400002,,,,,,,
