trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,text.started,key_resp.started,key_resp.keys,key_resp.rt,text_2.started,Cross.started,Rest.started,ModulatedTone.started,Rest.stopped,text_4.started,key_resp_2.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,38.34108549999655,38.34108549999655,space,25.684010700002545,,,,,,,,elpida_27_10_23_shielded_hugin04_dots,001,2023-10-27_13h57.54.457,ASSR3,2022.2.5,59.69016031396714,
0,0,0,0,0,0,0,0,,,,,64.05433189999894,69.12194710000767,69.12194710000767,79.05380980000336,79.1219992999977,,,elpida_27_10_23_shielded_hugin04_dots,001,2023-10-27_13h57.54.457,ASSR3,2022.2.5,59.69016031396714,
0,0,0,0,1,0,1,0,,,,,,139.1333752000064,139.1333752000064,149.05025900000328,149.13361499999883,,,elpida_27_10_23_shielded_hugin04_dots,001,2023-10-27_13h57.54.457,ASSR3,2022.2.5,59.69016031396714,
0,0,0,0,2,0,2,0,,,,,,209.13026099999843,209.13026099999843,219.04633089999697,219.12970810000843,,,elpida_27_10_23_shielded_hugin04_dots,001,2023-10-27_13h57.54.457,ASSR3,2022.2.5,59.69016031396714,
0,0,0,0,3,0,3,0,,,,,,279.1256139000034,279.1256139000034,289.0439344999977,289.1264056000073,,,elpida_27_10_23_shielded_hugin04_dots,001,2023-10-27_13h57.54.457,ASSR3,2022.2.5,59.69016031396714,
0,0,0,0,4,0,4,0,,,,,,349.1226663999987,349.1226663999987,359.0387705999965,359.12233710000874,,,elpida_27_10_23_shielded_hugin04_dots,001,2023-10-27_13h57.54.457,ASSR3,2022.2.5,59.69016031396714,
0,0,0,0,,,,,,,,,,,,,,,,elpida_27_10_23_shielded_hugin04_dots,001,2023-10-27_13h57.54.457,ASSR3,2022.2.5,59.69016031396714,
1,0,1,0,0,0,0,0,,,,,419.06907300000603,424.11817169999995,424.11817169999995,434.0515826999981,434.11856329999864,,,elpida_27_10_23_shielded_hugin04_dots,001,2023-10-27_13h57.54.457,ASSR3,2022.2.5,59.69016031396714,
1,0,1,0,1,0,1,0,,,,,,494.1480173000018,494.1480173000018,504.0482206000088,504.14804290000757,,,elpida_27_10_23_shielded_hugin04_dots,001,2023-10-27_13h57.54.457,ASSR3,2022.2.5,59.69016031396714,
1,0,1,0,2,0,2,0,,,,,,564.1463766000088,564.1463766000088,574.0439501000001,574.1611427000025,,,elpida_27_10_23_shielded_hugin04_dots,001,2023-10-27_13h57.54.457,ASSR3,2022.2.5,59.69016031396714,
1,0,1,0,3,0,3,0,,,,,,634.123960900004,634.123960900004,644.0398847999968,644.1239396000019,,,elpida_27_10_23_shielded_hugin04_dots,001,2023-10-27_13h57.54.457,ASSR3,2022.2.5,59.69016031396714,
1,0,1,0,4,0,4,0,,,,,,704.119565800007,704.119565800007,714.0381852000064,714.120261300006,,,elpida_27_10_23_shielded_hugin04_dots,001,2023-10-27_13h57.54.457,ASSR3,2022.2.5,59.69016031396714,
1,0,1,0,,,,,,,,,,,,,,,,elpida_27_10_23_shielded_hugin04_dots,001,2023-10-27_13h57.54.457,ASSR3,2022.2.5,59.69016031396714,
,,,,,,,,,,,,,,,,,774.0845524000033,774.0845524000033,,,,,,,
