trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,text.started,key_resp.started,key_resp.keys,key_resp.rt,Cross.started,text_3.started,ModulatedTone.started,text_3.stopped,key_resp_3.started,text_2.started,key_resp_3.keys,key_resp_3.rt,text_4.started,key_resp_2.started,key_resp_2.keys,key_resp_2.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,20.88016570000036,20.88016570000036,space,11.758718400007638,,,,,,,,,,,,,elpida,test1,2023-10-11_14h26.03.192,ASSR2,2022.2.5,60.09694839726772,
0,0,0,0,0,0,0,0,,,,,32.67571139999927,32.67571139999927,35.14494456999746,35.176775299994915,,,,,,,,,elpida,test1,2023-10-11_14h26.03.192,ASSR2,2022.2.5,60.09694839726772,
0,0,0,0,1,0,1,0,,,,,45.1766484999971,45.1766484999971,47.659671269996764,47.67589700000099,,,,,,,,,elpida,test1,2023-10-11_14h26.03.192,ASSR2,2022.2.5,60.09694839726772,
0,0,0,0,2,0,2,0,,,,,57.67594829999871,57.67594829999871,60.16046577000016,60.17568290000054,,,,,,,,,elpida,test1,2023-10-11_14h26.03.192,ASSR2,2022.2.5,60.09694839726772,
0,0,0,0,3,0,3,0,,,,,70.17571379999572,70.17571379999572,72.65869176999622,72.67501269999775,,,,,,,,,elpida,test1,2023-10-11_14h26.03.192,ASSR2,2022.2.5,60.09694839726772,
0,0,0,0,4,0,4,0,,,,,82.69025590000092,82.69025590000092,85.1571105699979,85.19086999999854,,,,,,,,,elpida,test1,2023-10-11_14h26.03.192,ASSR2,2022.2.5,60.09694839726772,
0,0,0,0,5,0,5,0,,,,,95.17370889999438,95.17370889999438,97.65675996999853,97.67494949999673,,,,,,,,,elpida,test1,2023-10-11_14h26.03.192,ASSR2,2022.2.5,60.09694839726772,
0,0,0,0,6,0,6,0,,,,,107.68850479999674,107.68850479999674,110.15534327000132,110.18897509999806,,,,,,,,,elpida,test1,2023-10-11_14h26.03.192,ASSR2,2022.2.5,60.09694839726772,
0,0,0,0,7,0,7,0,,,,,120.17275819999486,120.17275819999486,122.65534736999616,122.67203509999672,,,,,,,,,elpida,test1,2023-10-11_14h26.03.192,ASSR2,2022.2.5,60.09694839726772,
0,0,0,0,8,0,8,0,,,,,132.6717256999982,132.6717256999982,135.15531536999987,135.17153549999784,,,,,,,,,elpida,test1,2023-10-11_14h26.03.192,ASSR2,2022.2.5,60.09694839726772,
0,0,0,0,9,0,9,0,,,,,145.17122099999688,145.17122099999688,147.65391036999716,147.67225429999962,,,,,,,,,elpida,test1,2023-10-11_14h26.03.192,ASSR2,2022.2.5,60.09694839726772,
0,0,0,0,,,,,,,,,,,,,157.67019419999997,157.67019419999997,space,11.980002200005401,,,,,elpida,test1,2023-10-11_14h26.03.192,ASSR2,2022.2.5,60.09694839726772,
1,0,1,0,0,0,0,0,,,,,169.6848944999947,169.6848944999947,172.1692999699946,172.18553709999833,,,,,,,,,elpida,test1,2023-10-11_14h26.03.192,ASSR2,2022.2.5,60.09694839726772,
