trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,text.started,key_resp.started,key_resp.keys,key_resp.rt,Cross.started,text_3.started,ModulatedTone.started,text_3.stopped,ModulatedTone.stopped,text_2.started,text_4.started,key_resp_2.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,26.959435300001132,26.959435300001132,space,129.28139099999862,,,,,,,,,julia181023,001,2023-10-18_15h27.50.730,ASSR3,2022.2.5,59.967281851028325,
0,0,0,0,0,0,0,0,,,,,156.32420080000156,156.32420080000156,166.2589415500006,166.32484490000024,,,,,julia181023,001,2023-10-18_15h27.50.730,ASSR3,2022.2.5,59.967281851028325,
0,0,0,0,1,0,1,0,,,,,226.34111960000155,226.34111960000155,236.24169395000172,236.34209980000014,,,,,julia181023,001,2023-10-18_15h27.50.730,ASSR3,2022.2.5,59.967281851028325,
0,0,0,0,2,0,2,0,,,,,296.3245448000016,296.3245448000016,306.24232695000137,306.3257575000007,366.25837480000155,,,,julia181023,001,2023-10-18_15h27.50.730,ASSR3,2022.2.5,59.967281851028325,
0,0,0,0,3,0,3,0,,,,,366.3247039000016,366.3247039000016,376.24237214999994,376.3260809000003,436.2589418000007,,,,julia181023,001,2023-10-18_15h27.50.730,ASSR3,2022.2.5,59.967281851028325,
0,0,0,0,4,0,4,0,,,,,436.3254940000006,436.3254940000006,446.2422924500006,446.3256764000016,,,,,julia181023,001,2023-10-18_15h27.50.730,ASSR3,2022.2.5,59.967281851028325,
0,0,0,0,,,,,,,,,,,,,,506.27581330000066,,,julia181023,001,2023-10-18_15h27.50.730,ASSR3,2022.2.5,59.967281851028325,
1,0,1,0,0,0,0,0,,,,,511.30953210000007,511.30953210000007,521.2420933500016,521.3090568000007,,,,,julia181023,001,2023-10-18_15h27.50.730,ASSR3,2022.2.5,59.967281851028325,
1,0,1,0,1,0,1,0,,,,,581.325646700001,581.325646700001,591.2424373500016,591.3261129000002,651.2589715000013,,,,julia181023,001,2023-10-18_15h27.50.730,ASSR3,2022.2.5,59.967281851028325,
1,0,1,0,2,0,2,0,,,,,651.3261887000008,651.3261887000008,661.2426119500014,661.3265199000016,,,,,julia181023,001,2023-10-18_15h27.50.730,ASSR3,2022.2.5,59.967281851028325,
1,0,1,0,3,0,3,0,,,,,721.3259656999999,721.3259656999999,731.2430469500014,731.3265164000004,,,,,julia181023,001,2023-10-18_15h27.50.730,ASSR3,2022.2.5,59.967281851028325,
1,0,1,0,4,0,4,0,,,,,791.3265581000014,791.3265581000014,801.2433305500017,801.3281869000002,861.2443908000005,,,,julia181023,001,2023-10-18_15h27.50.730,ASSR3,2022.2.5,59.967281851028325,
1,0,1,0,,,,,,,,,,,,,,861.2615804000015,,,julia181023,001,2023-10-18_15h27.50.730,ASSR3,2022.2.5,59.967281851028325,
2,0,2,0,0,0,0,0,,,,,866.3101211000012,866.3101211000012,876.2450406500011,876.3110636000001,,,,,julia181023,001,2023-10-18_15h27.50.730,ASSR3,2022.2.5,59.967281851028325,
2,0,2,0,1,0,1,0,,,,,936.3270806,936.3270806,946.2451831500002,946.3288159000003,,,,,julia181023,001,2023-10-18_15h27.50.730,ASSR3,2022.2.5,59.967281851028325,
2,0,2,0,2,0,2,0,,,,,1006.3281476000011,1006.3281476000011,1016.2453170500012,1016.3282976999999,,,,,julia181023,001,2023-10-18_15h27.50.730,ASSR3,2022.2.5,59.967281851028325,
2,0,2,0,3,0,3,0,,,,,1076.3275054000005,1076.3275054000005,1086.24592725,1086.329511,,,,,julia181023,001,2023-10-18_15h27.50.730,ASSR3,2022.2.5,59.967281851028325,
2,0,2,0,4,0,4,0,,,,,1146.3282119000014,1146.3282119000014,1156.2455651500004,1156.3286688000007,,,,,julia181023,001,2023-10-18_15h27.50.730,ASSR3,2022.2.5,59.967281851028325,
2,0,2,0,,,,,,,,,,,,,,1216.2797210000008,,,julia181023,001,2023-10-18_15h27.50.730,ASSR3,2022.2.5,59.967281851028325,
,,,,,,,,,,,,,,,,,,1221.263318700001,1221.263318700001,,,,,,,
