trial,file,corrAns,tone,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,instructions.started,key_resp_1.started,key_resp_1.keys,key_resp_1.rt,fixation.started,response.started,sound_1.started,response.keys,response.corr,feedback_text.started,response.stopped,response.rt,instructions_2.started,key_resp_2.started,key_resp_2.keys,key_resp_2.rt,thank_you.started,exit_exp.started,thank_you.stopped,exit_exp.keys,exit_exp.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,56.00442909999401,56.00442909999401,space,19.301509099983377,,,,,,,,,,,,,,,,,,elpida_250-440,12_10_23,2023-10-12_11h57.12.972,Oddball_task,2022.2.5,60.03006305037853,
target,soundFiles/440Hz_44100Hz_16bit_05sec.wav',t,1200,0,0,0,3,,,,,,,,,75.3651050000044,76.33305310001015,76.33329540999839,None,0,78.83592209999915,,,,,,,,,,,,elpida_250-440,12_10_23,2023-10-12_11h57.12.972,Oddball_task,2022.2.5,60.03006305037853,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,1000,0,1,1,2,,,,,,,,,79.8361506999936,80.82154179998906,80.82047261000261,t,0,83.33895609999308,83.32232480001403,1.6093257000029553,,,,,,,,,,elpida_250-440,12_10_23,2023-10-12_11h57.12.972,Oddball_task,2022.2.5,60.03006305037853,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,1000,0,2,2,1,,,,,,,,,84.34010579998721,85.32402800000273,85.32412711000651,None,1,87.8589181000134,87.82622250000713,,,,,,,,,,,elpida_250-440,12_10_23,2023-10-12_11h57.12.972,Oddball_task,2022.2.5,60.03006305037853,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,1000,0,3,3,0,,,,,,,,,88.84442000000854,89.82842629999504,89.82848990999045,None,1,92.3470391999872,92.32985219999682,,,,,,,,,,,elpida_250-440,12_10_23,2023-10-12_11h57.12.972,Oddball_task,2022.2.5,60.03006305037853,
,,,,,,,,,,,,,,,,,,,,,,,,93.34775389998686,93.34775389998686,space,4.021142400015378,,,,,,elpida_250-440,12_10_23,2023-10-12_11h57.12.972,Oddball_task,2022.2.5,60.03006305037853,
target,soundFiles/440Hz_44100Hz_16bit_05sec.wav',t,1200,,,,,0,0,0,3,,,,,97.41755559999729,98.40166319999844,98.40183060999843,t,1,,,1.2002117999945767,,,,,,,,,,elpida_250-440,12_10_23,2023-10-12_11h57.12.972,Oddball_task,2022.2.5,60.03006305037853,
target,soundFiles/440Hz_44100Hz_16bit_05sec.wav',t,1200,,,,,0,1,1,3,,,,,100.90383799999836,101.88830419999431,101.88796640998916,t,1,,104.39019889998599,1.5317372000135947,,,,,,,,,,elpida_250-440,12_10_23,2023-10-12_11h57.12.972,Oddball_task,2022.2.5,60.03006305037853,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,1000,,,,,0,2,2,2,,,,,104.40675460000057,105.39095050000469,105.39076130999601,None,1,,107.89324780000607,,,,,,,,,,,elpida_250-440,12_10_23,2023-10-12_11h57.12.972,Oddball_task,2022.2.5,60.03006305037853,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,1000,,,,,0,3,3,0,,,,,107.91020680000656,108.8947002000059,108.89413970999303,None,1,,111.39599389999057,,,,,,,,,,,elpida_250-440,12_10_23,2023-10-12_11h57.12.972,Oddball_task,2022.2.5,60.03006305037853,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,1000,,,,,1,0,4,0,,,,,111.412654499989,112.39670469998964,112.39671290999976,None,1,,114.89980740001192,,,,,,,,,,,elpida_250-440,12_10_23,2023-10-12_11h57.12.972,Oddball_task,2022.2.5,60.03006305037853,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,1000,,,,,1,1,5,2,,,,,114.91698270000052,115.90055429999484,115.90038261000299,None,1,,,,,,,,,,,,,elpida_250-440,12_10_23,2023-10-12_11h57.12.972,Oddball_task,2022.2.5,60.03006305037853,
target,soundFiles/440Hz_44100Hz_16bit_05sec.wav',t,1200,,,,,1,2,6,3,,,,,118.4033621000126,119.38956969999708,119.39059771000174,t,1,,121.88963049999438,1.0255492000142112,,,,,,,,,,elpida_250-440,12_10_23,2023-10-12_11h57.12.972,Oddball_task,2022.2.5,60.03006305037853,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,1000,,,,,1,3,7,1,,,,,121.90629700000864,122.89006780000636,122.89016241000499,None,1,,125.39247170000453,,,,,,,,,,,elpida_250-440,12_10_23,2023-10-12_11h57.12.972,Oddball_task,2022.2.5,60.03006305037853,
