trial,file,corrAns,tone,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,instructions.started,key_resp_1.started,key_resp_1.keys,key_resp_1.rt,fixation.started,response.started,sound_1.started,response.keys,response.corr,response.rt,feedback_text.started,response.stopped,instructions_2.started,key_resp_2.started,key_resp_2.keys,key_resp_2.rt,sound_1.stopped,thank_you.started,exit_exp.started,thank_you.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,30.812416600005236,30.812416600005236,space,26.185182599991094,,,,,,,,,,,,,,,,,la,001,2023-09-22_16h40.01.970,Oddball_task,2022.2.5,59.801602204543045,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',s,1000,0,0,0,2,,,,,,,,,57.0306098999572,58.01659919996746,58.01353736996534,s,1,1.9162975000217557,61.042606099974364,,,,,,,,,,la,001,2023-09-22_16h40.01.970,Oddball_task,2022.2.5,59.801602204543045,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',s,1000,0,1,1,0,,,,,,,,,62.02842279995093,63.011273799987976,63.01016216999269,s,1,1.8825518999947235,66.02373879996594,,,,,,,,,,la,001,2023-09-22_16h40.01.970,Oddball_task,2022.2.5,59.801602204543045,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,1200,0,2,2,3,,,,,,,,,67.02401329996064,68.0079265999957,68.00520926999744,t,1,2.0075571999768727,71.020769499999,,,,,,,,,,la,001,2023-09-22_16h40.01.970,Oddball_task,2022.2.5,59.801602204543045,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',s,1000,0,3,3,1,,,,,,,,,72.01881899998989,72.99974859994836,73.00100356998738,None,0,,76.03225089999614,76.01570589997573,,,,,,,,,la,001,2023-09-22_16h40.01.970,Oddball_task,2022.2.5,59.801602204543045,
,,,,,,,,,,,,,,,,,,,,,,,,77.03029099997366,77.03029099997366,space,2.8444800000288524,,,,,la,001,2023-09-22_16h40.01.970,Oddball_task,2022.2.5,59.801602204543045,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',s,1000,,,,,0,0,0,1,,,,,79.9077078999835,80.89438699994935,80.89348776999978,s,1,0.8512412000563927,,,,,,,,,,,la,001,2023-09-22_16h40.01.970,Oddball_task,2022.2.5,59.801602204543045,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',s,1000,,,,,0,1,1,2,,,,,83.90532889997121,84.89154109999072,84.89215586998617,s,1,0.8137291999883018,,,,,,,,,,,la,001,2023-09-22_16h40.01.970,Oddball_task,2022.2.5,59.801602204543045,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',s,1000,,,,,0,2,2,1,,,,,87.90466000000015,88.88686349999625,88.88595406996902,s,1,0.801458099973388,,91.9003284999635,,,,,,,,,la,001,2023-09-22_16h40.01.970,Oddball_task,2022.2.5,59.801602204543045,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',s,1000,,,,,0,3,3,1,,,,,91.9151982999756,92.89823910000268,92.90158966999152,s,1,0.7848606999614276,,,,,,,,,,,la,001,2023-09-22_16h40.01.970,Oddball_task,2022.2.5,59.801602204543045,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',s,1000,,,,,1,0,4,2,,,,,95.91358789999504,96.89650779997464,96.89525106998045,s,1,0.7262573000043631,,,,,,,,,,,la,001,2023-09-22_16h40.01.970,Oddball_task,2022.2.5,59.801602204543045,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,1200,,,,,1,1,5,3,,,,,99.910175899975,100.89160099998116,100.89115266997251,t,1,0.6056287999963388,,,,,,,,,,,la,001,2023-09-22_16h40.01.970,Oddball_task,2022.2.5,59.801602204543045,
