trial,file,corrAns,tone,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,instructions.started,key_resp_1.started,key_resp_1.keys,key_resp_1.rt,fixation.started,response.started,sound_1.started,response.keys,response.corr,feedback_text.started,response.rt,response.stopped,instructions_2.started,key_resp_2.started,key_resp_2.keys,key_resp_2.rt,fixation.stopped,thank_you.started,exit_exp.started,thank_you.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,20.12473320000572,20.12473320000572,space,55.8750401000143,,,,,,,,,,,,,,,,,m,001,2023-09-22_16h46.01.865,Oddball_task,2022.2.5,60.181398773252816,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,1200,0,0,0,3,,,,,,,,,76.0364609999815,77.01789399998961,77.01951566001517,None,0,80.02901569998357,,,,,,,,,,,m,001,2023-09-22_16h46.01.865,Oddball_task,2022.2.5,60.181398773252816,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',s,1000,0,1,1,2,,,,,,,,,81.02884909999557,82.01342650002334,82.01146785996971,None,0,85.02820000000065,,,,,,,,,,,m,001,2023-09-22_16h46.01.865,Oddball_task,2022.2.5,60.181398773252816,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',s,1000,0,2,2,1,,,,,,,,,86.02496349997818,87.00693219999084,87.00822685997119,s,1,90.03853229997912,0.7649922000127845,,,,,,,,,,m,001,2023-09-22_16h46.01.865,Oddball_task,2022.2.5,60.181398773252816,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',s,1000,0,3,3,0,,,,,,,,,91.02029469999252,92.00327659997856,92.00131336000632,s,1,95.0351120000123,0.8423497999901883,95.01713669998571,,,,,,,,,m,001,2023-09-22_16h46.01.865,Oddball_task,2022.2.5,60.181398773252816,
,,,,,,,,,,,,,,,,,,,,,,,,96.0333725999808,96.0333725999808,space,1.680511699989438,,,,,m,001,2023-09-22_16h46.01.865,Oddball_task,2022.2.5,60.181398773252816,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',s,1000,,,,,0,0,0,1,,,,,97.74985189997824,98.72866219998104,98.73083175998764,s,1,,1.4468992999754846,,,,,,,,,,m,001,2023-09-22_16h46.01.865,Oddball_task,2022.2.5,60.181398773252816,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',s,1000,,,,,0,1,1,2,,,,,101.74366789998021,102.72613670001738,102.72890475998284,s,1,,0.6447139999945648,,,,,,,,,,m,001,2023-09-22_16h46.01.865,Oddball_task,2022.2.5,60.181398773252816,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,1200,,,,,0,2,2,3,,,,,105.73902500001714,106.72271770000225,106.72372865997605,t,1,,0.9478066999581642,,,,,,,,,,m,001,2023-09-22_16h46.01.865,Oddball_task,2022.2.5,60.181398773252816,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',s,1000,,,,,0,3,3,0,,,,,109.7376584999729,110.71796129998984,110.71865066001774,s,1,,0.9376712000230327,113.73534830001881,,,,,,,,,m,001,2023-09-22_16h46.01.865,Oddball_task,2022.2.5,60.181398773252816,
