trial,file,corrAns,tone,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,instructions.started,key_resp_1.started,key_resp_1.keys,key_resp_1.rt,fixation.started,response.started,sound_1.started,response.keys,response.corr,response.rt,feedback_text.started,instructions_2.started,key_resp_2.started,key_resp_2.keys,key_resp_2.rt,thank_you.started,thank_you.stopped,exit_exp.started,exit_exp.keys,exit_exp.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,21.426737599998887,21.426737599998887,space,17.0613486000002,,,,,,,,,,,,,,,,,levi,001,2023-09-20_15h52.15.970,Oddball_task,2022.2.5,None,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',s,1000,0,0,0,2,,,,,,,,,38.52338349999991,39.48977500000001,39.49400656666536,s,1,1.4785711000022275,41.004458699999304,,,,,,,,,,levi,001,2023-09-20_15h52.15.970,Oddball_task,2022.2.5,None,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',s,1000,0,1,1,1,,,,,,,,,42.00779289999991,42.989394999998694,42.99255096666663,s,1,0.6424833000000945,43.656295699998736,,,,,,,,,,levi,001,2023-09-20_15h52.15.970,Oddball_task,2022.2.5,None,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',s,1000,0,2,2,0,,,,,,,,,44.689092899998286,45.63830719999896,45.642567066665165,s,1,0.9136803000001237,46.5761980999996,,,,,,,,,,levi,001,2023-09-20_15h52.15.970,Oddball_task,2022.2.5,None,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,1200,0,3,3,3,,,,,,,,,47.60374039999988,48.57443499999863,48.57447186666492,t,1,0.7299939000004088,49.336773099999846,,,,,,,,,,levi,001,2023-09-20_15h52.15.970,Oddball_task,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,50.34312069999942,50.34312069999942,space,14.208630999999514,,,,,,levi,001,2023-09-20_15h52.15.970,Oddball_task,2022.2.5,None,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',s,1000,,,,,0,0,0,0,,,,,64.58815199999844,65.55589239999972,65.55739036666661,s,1,0.6845121999995172,,,,,,,,,,,levi,001,2023-09-20_15h52.15.970,Oddball_task,2022.2.5,None,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',s,1000,,,,,0,1,1,1,,,,,66.27387069999895,67.25930199999857,67.26089806666666,s,1,0.452960600001461,,,,,,,,,,,levi,001,2023-09-20_15h52.15.970,Oddball_task,2022.2.5,None,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',s,1000,,,,,0,2,2,1,,,,,67.73801959999946,68.74014049999823,68.73935716666553,s,1,0.585809899999731,,,,,,,,,,,levi,001,2023-09-20_15h52.15.970,Oddball_task,2022.2.5,None,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',s,1000,,,,,0,3,3,1,,,,,69.35463739999977,70.34180249999918,70.34064346666516,s,1,0.554434500001662,,,,,,,,,,,levi,001,2023-09-20_15h52.15.970,Oddball_task,2022.2.5,None,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',s,1000,,,,,1,0,4,2,,,,,70.93776609999986,71.92078749999928,71.92227746666528,s,1,0.5358135000005859,,,,,,,,,,,levi,001,2023-09-20_15h52.15.970,Oddball_task,2022.2.5,None,
