trial,file,corrAns,tone,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,instructions.started,key_resp_1.started,key_resp_1.keys,key_resp_1.rt,fixation.started,response.started,sound_1.started,response.keys,response.corr,response.rt,feedback_text.started,feedback_text.stopped,instructions_2.started,key_resp_2.started,key_resp_2.keys,key_resp_2.rt,thank_you.started,exit_exp.started,thank_you.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,20.133986700035166,20.133986700035166,space,8.018506499996874,,,,,,,,,,,,,,,,lk,001,2023-09-22_14h27.34.592,Oddball_task,2022.2.5,60.132905759263075,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',s,1000,0,0,0,0,,,,,,,,,28.173356299987063,29.17327500000829,29.17347515001311,s,1,1.5900443999562413,30.787956000014674,31.78674160002265,,,,,,,,lk,001,2023-09-22_14h27.34.592,Oddball_task,2022.2.5,60.132905759263075,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',s,1000,0,1,1,1,,,,,,,,,31.78674160002265,32.78597249998711,32.78639534999966,s,1,0.6922021000063978,33.50236240000231,,,,,,,,,lk,001,2023-09-22_14h27.34.592,Oddball_task,2022.2.5,60.132905759263075,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,1200,0,2,2,3,,,,,,,,,34.51757929997984,35.50065970001742,35.50039054999943,t,1,0.5558845000341535,36.09944750001887,37.099057000014,,,,,,,,lk,001,2023-09-22_14h27.34.592,Oddball_task,2022.2.5,60.132905759263075,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',s,1000,0,3,3,2,,,,,,,,,37.099057000014,38.09791320003569,38.09803485002485,s,1,0.18251429998781532,38.31372139998712,39.31469989998732,,,,,,,,lk,001,2023-09-22_14h27.34.592,Oddball_task,2022.2.5,60.132905759263075,
,,,,,,,,,,,,,,,,,,,,,,,,39.31469989998732,39.31469989998732,space,2.374339400033932,,,,lk,001,2023-09-22_14h27.34.592,Oddball_task,2022.2.5,60.132905759263075,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',s,1000,,,,,0,0,0,1,,,,,41.71039510000264,42.70942790003028,42.70954905001563,s,1,0.24023210001178086,,,,,,,,,,lk,001,2023-09-22_14h27.34.592,Oddball_task,2022.2.5,60.132905759263075,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',s,1000,,,,,0,1,1,2,,,,,42.992588000022806,43.9925316000008,43.99298964999034,s,1,0.24762809998355806,,,,,,,,,,lk,001,2023-09-22_14h27.34.592,Oddball_task,2022.2.5,60.132905759263075,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',s,1000,,,,,0,2,2,1,,,,,44.27503070002422,45.25793760002125,45.25797244998976,s,1,0.17121090000728145,,,,,,,,,,lk,001,2023-09-22_14h27.34.592,Oddball_task,2022.2.5,60.132905759263075,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',s,1000,,,,,0,3,3,0,,,,,45.474033100006636,46.45693849999225,46.456720150011826,s,1,0.26002469996456057,,,,,,,,,,lk,001,2023-09-22_14h27.34.592,Oddball_task,2022.2.5,60.132905759263075,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,1200,,,,,1,0,4,3,,,,,46.75644189998275,47.73851380002452,47.739039050001885,s,0,0.14152810000814497,,,,,,,,,,lk,001,2023-09-22_14h27.34.592,Oddball_task,2022.2.5,60.132905759263075,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',s,1000,,,,,1,1,5,2,,,,,47.92190549999941,48.920629300002474,48.92114525002544,s,1,0.19730770000023767,,,,,,,,,,lk,001,2023-09-22_14h27.34.592,Oddball_task,2022.2.5,60.132905759263075,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',s,1000,,,,,1,2,6,0,,,,,49.15394129999913,50.13672549999319,50.136599550017856,s,1,0.05719350004801527,,,,,,,,,,lk,001,2023-09-22_14h27.34.592,Oddball_task,2022.2.5,60.132905759263075,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',s,1000,,,,,1,3,7,1,,,,,50.23677309998311,51.21827220002888,51.21826134999865,t,0,0.039280999975744635,,,,,,,,,,lk,001,2023-09-22_14h27.34.592,Oddball_task,2022.2.5,60.132905759263075,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',s,1000,,,,,2,0,8,1,,,,,51.318225499999244,52.30046910000965,52.30053005000227,s,1,0.695446300029289,,,,,,,,,,lk,001,2023-09-22_14h27.34.592,Oddball_task,2022.2.5,60.132905759263075,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',s,1000,,,,,2,1,9,0,,,,,53.033207900007255,54.03223950002575,54.032229450001616,s,1,0.1964053999981843,,,,,,,,,,lk,001,2023-09-22_14h27.34.592,Oddball_task,2022.2.5,60.132905759263075,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,1200,,,,,2,2,10,3,,,,,54.26537089998601,55.24815180001315,55.24817284999299,t,1,0.352759400033392,,,,,,,,,,lk,001,2023-09-22_14h27.34.592,Oddball_task,2022.2.5,60.132905759263075,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',s,1000,,,,,2,3,11,0,,,,,55.6481969000306,56.64689889998408,56.64686575001688,s,1,0.034622700011823326,,,,,,,,,,lk,001,2023-09-22_14h27.34.592,Oddball_task,2022.2.5,60.132905759263075,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',s,1000,,,,,3,0,12,1,,,,,56.73075260000769,57.729676500021014,57.72943065000582,s,1,0.1823137000319548,,,,,,,,,,lk,001,2023-09-22_14h27.34.592,Oddball_task,2022.2.5,60.132905759263075,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,1200,,,,,3,1,13,3,,,,,57.94627810001839,58.92813840002054,58.92803415003582,s,0,0.1886860000086017,,,,,,,,,,lk,001,2023-09-22_14h27.34.592,Oddball_task,2022.2.5,60.132905759263075,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',s,1000,,,,,3,2,14,0,,,,,59.16196250001667,60.160415299993474,60.16088055003784,s,1,0.2080329000018537,,,,,,,,,,lk,001,2023-09-22_14h27.34.592,Oddball_task,2022.2.5,60.132905759263075,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',s,1000,,,,,3,3,15,2,,,,,60.41029400000116,61.409831000026315,61.409690950001824,s,1,0.20226350001757964,,,,,,,,,,lk,001,2023-09-22_14h27.34.592,Oddball_task,2022.2.5,60.132905759263075,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,1200,,,,,4,0,16,3,,,,,61.659251200035214,62.658109300013166,62.658332850021544,t,1,0.18705760000739247,,,,,,,,,,lk,001,2023-09-22_14h27.34.592,Oddball_task,2022.2.5,60.132905759263075,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',s,1000,,,,,4,1,17,1,,,,,62.89151420001872,63.89028380002128,63.89073535001953,s,1,0.4968830000143498,,,,,,,,,,lk,001,2023-09-22_14h27.34.592,Oddball_task,2022.2.5,60.132905759263075,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',s,1000,,,,,4,2,18,1,,,,,64.42305670003407,65.42255240003578,65.42233095003175,s,1,0.1357368000317365,,,,,,,,,,lk,001,2023-09-22_14h27.34.592,Oddball_task,2022.2.5,60.132905759263075,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,1200,,,,,4,3,19,3,,,,,65.60577179997927,66.58791090000886,66.58810904999845,t,1,0.15901939995819703,,,,,,,,,,lk,001,2023-09-22_14h27.34.592,Oddball_task,2022.2.5,60.132905759263075,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,1200,,,,,5,0,20,3,,,,,66.78787220001686,67.77042020001682,67.7700892499939,s,0,0.04372810001950711,,,,,,,,,,lk,001,2023-09-22_14h27.34.592,Oddball_task,2022.2.5,60.132905759263075,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,1200,,,,,5,1,21,3,,,,,67.85378429997945,68.85254759999225,68.85230895003187,s,0,0.14855779998470098,,,,,,,,,,lk,001,2023-09-22_14h27.34.592,Oddball_task,2022.2.5,60.132905759263075,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',s,1000,,,,,5,2,22,2,,,,,69.03587130003143,70.01782880001701,70.01831845001433,s,1,0.1742009000154212,,,,,,,,,,lk,001,2023-09-22_14h27.34.592,Oddball_task,2022.2.5,60.132905759263075,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',s,1000,,,,,5,3,23,2,,,,,70.2347005000338,71.21705410000868,71.21680004998925,s,1,0.10224610002478585,,,,,,,,,,lk,001,2023-09-22_14h27.34.592,Oddball_task,2022.2.5,60.132905759263075,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',s,1000,,,,,6,0,24,0,,,,,71.36660130001837,72.34941309998976,72.34917804999859,s,1,0.20642950001638383,,,,,,,,,,lk,001,2023-09-22_14h27.34.592,Oddball_task,2022.2.5,60.132905759263075,
