trial,file,corrAns,tone,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,instructions.started,key_resp_1.started,key_resp_1.keys,key_resp_1.rt,fixation.started,sound_1.started,response.started,sound_1.stopped,response.keys,response.corr,response.rt,feedback_text.started,feedback_text.stopped,instructions_2.started,key_resp_2.started,key_resp_2.keys,key_resp_2.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,29.25087300001178,29.25087300001178,space,1.2106773999985307,,,,,,,,,,,,,,lkjh,001,2023-09-22_15h44.43.439,Oddball_task,2022.2.5,60.146758079880726,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,1200,0,0,0,3,,,,,,,,,30.479821799963247,31.47903632997186,31.97834510001121,31.97834510001121,t,1,0.2739459999720566,32.27849090000382,33.277633899997454,,,,,lkjh,001,2023-09-22_15h44.43.439,Oddball_task,2022.2.5,60.146758079880726,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',s,1000,0,1,1,2,,,,,,,,,33.277633899997454,34.27644182999502,34.792354799981695,34.792354799981695,s,1,0.9489863999770023,35.75867479998851,,,,,,lkjh,001,2023-09-22_15h44.43.439,Oddball_task,2022.2.5,60.146758079880726,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',s,1000,0,2,2,0,,,,,,,,,36.774677599954884,37.756783030013324,38.27233060001163,38.27233060001163,s,1,0.5270956999738701,38.82258549996186,,,,,,lkjh,001,2023-09-22_15h44.43.439,Oddball_task,2022.2.5,60.146758079880726,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',s,1000,0,3,3,1,,,,,,,,,39.83802809996996,40.82060782997287,41.31980499997735,41.31980499997735,s,1,0.18339130003005266,41.51988919998985,,,,,,lkjh,001,2023-09-22_15h44.43.439,Oddball_task,2022.2.5,60.146758079880726,
,,,,,,,,,,,,,,,,,,,,,,,,,42.535654600011185,42.535654600011185,space,1.4735733999987133,lkjh,001,2023-09-22_15h44.43.439,Oddball_task,2022.2.5,60.146758079880726,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',s,1000,,,,,0,0,0,2,,,,,44.03398569999263,45.03290892999503,45.54909079999197,,s,1,0.24492960004135966,,,,,,,lkjh,001,2023-09-22_15h44.43.439,Oddball_task,2022.2.5,60.146758079880726,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',s,1000,,,,,0,1,1,1,,,,,45.816382899996825,46.81467042998993,47.331209799973294,,s,1,0.29529869998805225,,,,,,,lkjh,001,2023-09-22_15h44.43.439,Oddball_task,2022.2.5,60.146758079880726,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',s,1000,,,,,0,2,2,2,,,,,47.64786169998115,48.64626033000532,49.162764699955005,49.162764699955005,s,1,0.15581020002719015,,,,,,,lkjh,001,2023-09-22_15h44.43.439,Oddball_task,2022.2.5,60.146758079880726,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,1200,,,,,0,3,3,3,,,,,49.34604219999164,50.345085429976464,50.860669899964705,,t,1,0.20647979999193922,,,,,,,lkjh,001,2023-09-22_15h44.43.439,Oddball_task,2022.2.5,60.146758079880726,
