trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,text_2.started,key_resp.started,key_resp.keys,key_resp.rt,text_5.started,slider.started,slider.response,slider.rt,text_4.started,text_4.stopped,InstructionsText.started,InstrucKey.started,InstrucKey.keys,InstrucKey.rt,ISI,ISI_text.started,dontrespond.started,dontrespond.stopped,ISI_text.stopped,dontrespond.keys,Targetstim.started,Response.started,Accuracy,RTms,Response.keys,Response.rt,Feedback_text.started,Feedback_text.stopped,text_6.started,key_resp_2.started,key_resp_2.keys,key_resp_2.rt,key_resp_4.started,text_7.started,MathsFailCounter,key_resp_4.keys,key_resp_4.rt,text_3.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.257526700035669,15.257526700035669,space,0.5638555999612436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,058933,001,2023-12-11_13h28.39.795,game,2022.2.5,59.49912446614108,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.888667099992745,15.888667099992745,5.0,2.996710699982941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,058933,001,2023-12-11_13h28.39.795,game,2022.2.5,59.49912446614108,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.907588200061582,18.907588200061582,5.0,0.6765290999319404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,058933,001,2023-12-11_13h28.39.795,game,2022.2.5,59.49912446614108,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.59195859997999,20.592106600059196,20.592106600059196,20.592106600059196,space,0.9381863999878988,,,,,,,,,,,,,,,,,,,,,,,,,058933,001,2023-12-11_13h28.39.795,game,2022.2.5,59.49912446614108,
,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,21.55954470008146,21.55954470008146,24.562188000069,25.563034999999218,None,25.563034999999218,25.563034999999218,1,208.77330005168915,space,0.20877330005168915,25.79628320003394,26.29677310003899,,,,,,,,,,,058933,001,2023-12-11_13h28.39.795,game,2022.2.5,59.49912446614108,
,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,26.29677310003899,26.29677310003899,26.29677310003899,27.29788109997753,None,27.29788109997753,27.29788109997753,1,325.3889000043273,space,0.3253889000043273,27.64812340005301,28.148587299976498,,,,,,,,,,,058933,001,2023-12-11_13h28.39.795,game,2022.2.5,59.49912446614108,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.148587299976498,28.148587299976498,space,1.0763148000696674,,,,,,,058933,001,2023-12-11_13h28.39.795,game,2022.2.5,59.49912446614108,
,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.249311099993065,29.249311099993065,1,5,3.29525119997561,,058933,001,2023-12-11_13h28.39.795,game,2022.2.5,59.49912446614108,
,,,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.21220279997215,44.21220279997215,0,None,,,058933,001,2023-12-11_13h28.39.795,game,2022.2.5,59.49912446614108,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.21220279997215,44.21220279997215,space,4.449785599950701,,,,,,,,,,,,,,,,,,,,,,,,,058933,001,2023-12-11_13h28.39.795,game,2022.2.5,59.49912446614108,
