trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,text_2.started,key_resp.started,key_resp.keys,key_resp.rt,text_5.started,slider.started,slider.response,slider.rt,text_4.started,text_4.stopped,InstructionsText.started,InstrucKey.started,InstrucKey.keys,InstrucKey.rt,ISI,ISI_text.started,dontrespond.started,dontrespond.stopped,ISI_text.stopped,dontrespond.keys,Targetstim.started,Response.started,Accuracy,RTms,Response.keys,Response.rt,Feedback_text.started,Feedback_text.stopped,text_6.started,key_resp_2.started,key_resp_2.keys,key_resp_2.rt,key_resp_4.started,text_7.started,MathsFailCounter,key_resp_4.keys,key_resp_4.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,44.59555240010377,44.59555240010377,space,2.6104546999558806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,070316,001,2023-12-11_13h24.36.956,game,2022.2.5,59.71732208684409,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,47.514916700078174,47.514916700078174,5.0,7.650448500062339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,070316,001,2023-12-11_13h24.36.956,game,2022.2.5,59.71732208684409,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,54.95342570007779,54.95342570007779,6.0,6.28011749999132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,070316,001,2023-12-11_13h24.36.956,game,2022.2.5,59.71732208684409,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.242392100044526,62.24269660003483,62.24269660003483,62.24269660003483,space,10.79017290007323,,,,,,,,,,,,,,,,,,,,,,,,070316,001,2023-12-11_13h24.36.956,game,2022.2.5,59.71732208684409,
,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,3,73.05189940007403,73.05189940007403,75.05310240003746,76.05443200003356,None,76.05443200003356,76.05443200003356,1,315.52609999198467,space,0.31552609999198467,76.38767910003662,76.88840720010921,,,,,,,,,,070316,001,2023-12-11_13h24.36.956,game,2022.2.5,59.71732208684409,
,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,3,76.88840720010921,76.88840720010921,78.88978970004246,79.89072220004164,None,79.89072220004164,79.89072220004164,1,320.72770001832396,space,0.32072770001832396,80.24101720005274,80.74160200008191,,,,,,,,,,070316,001,2023-12-11_13h24.36.956,game,2022.2.5,59.71732208684409,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.74160200008191,80.74160200008191,space,4.579928099992685,,,,,,070316,001,2023-12-11_13h24.36.956,game,2022.2.5,59.71732208684409,
,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.36179920006543,85.36179920006543,0,1,2.669798700022511,070316,001,2023-12-11_13h24.36.956,game,2022.2.5,59.71732208684409,
,,,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.48118950007483,88.48118950007483,0,None,,070316,001,2023-12-11_13h24.36.956,game,2022.2.5,59.71732208684409,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137.50528830010444,137.50528830010444,space,9.62157139996998,,,,,,,,,,,,,,,,,,,,,,,,070316,001,2023-12-11_13h24.36.956,game,2022.2.5,59.71732208684409,
,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,2,147.14713800000027,147.14713800000027,148.14823869999964,149.1662666000193,None,149.1662666000193,149.1662666000193,1,640.627000015229,space,0.640627000015229,149.83448360010516,150.34947870008182,,,,,,,,,,070316,001,2023-12-11_13h24.36.956,game,2022.2.5,59.71732208684409,
,,,,,,,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,2,150.34947870008182,150.34947870008182,151.35002430004533,152.35156580002513,None,152.35156580002513,152.35156580002513,1,418.3382000774145,space,0.4183382000774145,152.78848010010552,153.30243250005879,,,,,,,,,,070316,001,2023-12-11_13h24.36.956,game,2022.2.5,59.71732208684409,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153.30243250005879,153.30243250005879,space,2.7868172000162303,,,,,,070316,001,2023-12-11_13h24.36.956,game,2022.2.5,59.71732208684409,
,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,156.12079500011168,156.12079500011168,1,5,4.196457899990492,070316,001,2023-12-11_13h24.36.956,game,2022.2.5,59.71732208684409,
,,,,,,,,,,,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,None,,070316,001,2023-12-11_13h24.36.956,game,2022.2.5,59.71732208684409,
