trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,text_2.started,key_resp.started,key_resp.keys,key_resp.rt,text_4.started,InstructionsText.started,InstrucKey.started,InstrucKey.keys,InstrucKey.rt,ISI,ISI_text.started,dontrespond.started,dontrespond.stopped,ISI_text.stopped,dontrespond.keys,Targetstim.started,Response.started,Accuracy,RTms,Response.keys,Response.rt,Feedback_text.started,Feedback_text.stopped,text_6.started,key_resp_2.started,key_resp_2.keys,key_resp_2.rt,key_resp_4.started,text_7.started,MathsFailCounter,key_resp_4.keys,key_resp_4.rt,text_3.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,7.971346499999527,7.971346499999527,space,154.8261594000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106432,001,2023-12-11_16h29.07.923,game,2022.2.5,60.57841482059214,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.735161300000073,10.752197299999352,10.752197299999352,space,154.21085390000007,,,,,,,,,,,,,,,,,,,,,,,,,106432,001,2023-12-11_16h29.07.923,game,2022.2.5,60.57841482059214,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,11.900136700000076,11.900136700000076,14.913261299999249,15.911010099999658,None,15.911010099999658,15.911010099999658,1,156080.07199999975,space,156.08007199999975,18.926170199999433,19.426593399999547,,,,,,,,,,,106432,001,2023-12-11_16h29.07.923,game,2022.2.5,60.57841482059214,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.426593399999547,19.426593399999547,space,155.67253880000044,,,,,,,106432,001,2023-12-11_16h29.07.923,game,2022.2.5,60.57841482059214,
,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.03926709999996,22.03926709999996,0,8,157.08880930000032,,106432,001,2023-12-11_16h29.07.923,game,2022.2.5,60.57841482059214,
,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.618392200000017,26.618392200000017,,8,153.27143710000018,,106432,001,2023-12-11_16h29.07.923,game,2022.2.5,60.57841482059214,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.23527289999947,63.23527289999947,space,158.21990879999976,,,,,,,,,,,,,,,,,,,,,,,,,106432,001,2023-12-11_16h29.07.923,game,2022.2.5,60.57841482059214,
,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,1,68.3971947,68.3971947,68.3971947,69.4111129999992,None,69.4111129999992,69.4111129999992,1,153764.9398000003,space,153.76493980000032,70.11050329999944,70.61099859999922,,,,,,,,,,,106432,001,2023-12-11_16h29.07.923,game,2022.2.5,60.57841482059214,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.61099859999922,70.61099859999922,space,157.43126530000063,,,,,,,106432,001,2023-12-11_16h29.07.923,game,2022.2.5,60.57841482059214,
,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.99062289999983,74.99062289999983,,None,,,106432,001,2023-12-11_16h29.07.923,game,2022.2.5,60.57841482059214,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.84518429999935,86.84518429999935,space,186.86266380000052,,,,,,,,,,,,,,,,,,,,,,,,,106432,001,2023-12-11_16h29.07.923,game,2022.2.5,60.57841482059214,
,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,1,120.64749819999997,120.64749819999997,120.64749819999997,121.64740889999939,None,121.64740889999939,121.64740889999939,1,156661.69460000037,space,156.66169460000037,125.24391389999982,125.7438702999998,,,,,,,,,,,106432,001,2023-12-11_16h29.07.923,game,2022.2.5,60.57841482059214,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125.7438702999998,125.7438702999998,space,153.97213610000017,,,,,,,106432,001,2023-12-11_16h29.07.923,game,2022.2.5,60.57841482059214,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,126.65962119999949,126.65962119999949,,None,,,106432,001,2023-12-11_16h29.07.923,game,2022.2.5,60.57841482059214,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131.67148980000002,,,,,,,
