trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,text_2.started,key_resp.started,key_resp.keys,key_resp.rt,text_8.started,text_8.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,10.632032399997115,10.632032399997115,space,1.3972319000167772,,,322808,001,2023-12-07_09h36.07.579,game,2022.2.5,59.660460372301955,
0,0,0,0,,,,,12.060912599903531,12.560905099962838,322808,001,2023-12-07_09h36.07.579,game,2022.2.5,59.660460372301955,
1,0,1,0,,,,,12.560905099962838,13.060432699974626,322808,001,2023-12-07_09h36.07.579,game,2022.2.5,59.660460372301955,
2,0,2,0,,,,,13.060432699974626,13.560183799942024,322808,001,2023-12-07_09h36.07.579,game,2022.2.5,59.660460372301955,
3,0,3,0,,,,,13.560183799942024,14.059580400004052,322808,001,2023-12-07_09h36.07.579,game,2022.2.5,59.660460372301955,
4,0,4,0,,,,,14.059580400004052,14.559049699921161,322808,001,2023-12-07_09h36.07.579,game,2022.2.5,59.660460372301955,
5,0,5,0,,,,,14.559049699921161,15.058542499900796,322808,001,2023-12-07_09h36.07.579,game,2022.2.5,59.660460372301955,
6,0,6,0,,,,,15.058542499900796,15.558428699965589,322808,001,2023-12-07_09h36.07.579,game,2022.2.5,59.660460372301955,
7,0,7,0,,,,,15.558428699965589,16.057371699949726,322808,001,2023-12-07_09h36.07.579,game,2022.2.5,59.660460372301955,
8,0,8,0,,,,,16.057371699949726,16.557270099991,322808,001,2023-12-07_09h36.07.579,game,2022.2.5,59.660460372301955,
9,0,9,0,,,,,16.557270099991,17.056663899915293,322808,001,2023-12-07_09h36.07.579,game,2022.2.5,59.660460372301955,
10,0,10,0,,,,,17.056663899915293,17.55654699995648,322808,001,2023-12-07_09h36.07.579,game,2022.2.5,59.660460372301955,
,,,,,,,,17.55654699995648,,,,,,,,
