trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,text_2.started,key_resp.started,key_resp.keys,key_resp.rt,text_8.started,text_8.stopped,text.started,text_5.started,text_4.started,InstructionsText.started,InstrucKey.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,10.032346999971196,10.032346999971196,space,1.300145999994129,,,,,,,,397234,001,2023-12-07_09h38.50.727,game,2022.2.5,59.74404456274752,
0,0,0,0,,,,,11.361666199984029,11.861538700060919,,,,,,397234,001,2023-12-07_09h38.50.727,game,2022.2.5,59.74404456274752,
1,0,1,0,,,,,11.861538700060919,12.360936500015669,,,,,,397234,001,2023-12-07_09h38.50.727,game,2022.2.5,59.74404456274752,
2,0,2,0,,,,,12.360936500015669,12.8607627999736,,,,,,397234,001,2023-12-07_09h38.50.727,game,2022.2.5,59.74404456274752,
3,0,3,0,,,,,12.8607627999736,13.359900200041011,,,,,,397234,001,2023-12-07_09h38.50.727,game,2022.2.5,59.74404456274752,
4,0,4,0,,,,,13.359900200041011,13.85979470005259,,,,,,397234,001,2023-12-07_09h38.50.727,game,2022.2.5,59.74404456274752,
5,0,5,0,,,,,13.85979470005259,14.359580400050618,,,,,,397234,001,2023-12-07_09h38.50.727,game,2022.2.5,59.74404456274752,
6,0,6,0,,,,,14.359580400050618,14.859082599985413,,,,,,397234,001,2023-12-07_09h38.50.727,game,2022.2.5,59.74404456274752,
7,0,7,0,,,,,14.859082599985413,15.358680100063793,,,,,,397234,001,2023-12-07_09h38.50.727,game,2022.2.5,59.74404456274752,
8,0,8,0,,,,,15.358680100063793,15.85745480004698,,,,,,397234,001,2023-12-07_09h38.50.727,game,2022.2.5,59.74404456274752,
9,0,9,0,,,,,15.85745480004698,16.357128100004047,,,,,,397234,001,2023-12-07_09h38.50.727,game,2022.2.5,59.74404456274752,
10,0,10,0,,,,,16.357128100004047,16.85712960001547,,,,,,397234,001,2023-12-07_09h38.50.727,game,2022.2.5,59.74404456274752,
11,0,11,0,,,,,16.85712960001547,,,,,,,397234,001,2023-12-07_09h38.50.727,game,2022.2.5,59.74404456274752,
12,0,12,0,,,,,17.37337440007832,17.872640800080262,,,,,,397234,001,2023-12-07_09h38.50.727,game,2022.2.5,59.74404456274752,
13,0,13,0,,,,,17.872640800080262,18.372204200015403,,,,,,397234,001,2023-12-07_09h38.50.727,game,2022.2.5,59.74404456274752,
14,0,14,0,,,,,18.372204200015403,18.871816000086255,,,,,,397234,001,2023-12-07_09h38.50.727,game,2022.2.5,59.74404456274752,
15,0,15,0,,,,,18.871816000086255,19.371171300066635,,,,,,397234,001,2023-12-07_09h38.50.727,game,2022.2.5,59.74404456274752,
16,0,16,0,,,,,19.371171300066635,19.870521700009704,,,,,,397234,001,2023-12-07_09h38.50.727,game,2022.2.5,59.74404456274752,
17,0,17,0,,,,,19.870521700009704,20.370166099979542,,,,,,397234,001,2023-12-07_09h38.50.727,game,2022.2.5,59.74404456274752,
18,0,18,0,,,,,20.370166099979542,20.870224500074983,,,,,,397234,001,2023-12-07_09h38.50.727,game,2022.2.5,59.74404456274752,
19,0,19,0,,,,,20.870224500074983,21.369740699999966,,,,,,397234,001,2023-12-07_09h38.50.727,game,2022.2.5,59.74404456274752,
20,0,20,0,,,,,21.369740699999966,21.868691600044258,,,,,,397234,001,2023-12-07_09h38.50.727,game,2022.2.5,59.74404456274752,
21,0,21,0,,,,,21.868691600044258,22.368638699990697,,,,,,397234,001,2023-12-07_09h38.50.727,game,2022.2.5,59.74404456274752,
22,0,22,0,,,,,22.368638699990697,22.86783350002952,,,,,,397234,001,2023-12-07_09h38.50.727,game,2022.2.5,59.74404456274752,
23,0,23,0,,,,,22.86783350002952,23.367366400081664,,,,,,397234,001,2023-12-07_09h38.50.727,game,2022.2.5,59.74404456274752,
24,0,24,0,,,,,23.367366400081664,23.867241500061937,,,,,,397234,001,2023-12-07_09h38.50.727,game,2022.2.5,59.74404456274752,
25,0,25,0,,,,,23.867241500061937,24.366686400026083,,,,,,397234,001,2023-12-07_09h38.50.727,game,2022.2.5,59.74404456274752,
26,0,26,0,,,,,24.366686400026083,24.86640390008688,,,,,,397234,001,2023-12-07_09h38.50.727,game,2022.2.5,59.74404456274752,
27,0,27,0,,,,,24.86640390008688,25.36599890002981,,,,,,397234,001,2023-12-07_09h38.50.727,game,2022.2.5,59.74404456274752,
28,0,28,0,,,,,25.36599890002981,,,,,,,397234,001,2023-12-07_09h38.50.727,game,2022.2.5,59.74404456274752,
29,0,29,0,,,,,25.881768900086172,26.381326899980195,,,,,,397234,001,2023-12-07_09h38.50.727,game,2022.2.5,59.74404456274752,
30,0,30,0,,,,,26.381326899980195,26.88114040007349,,,,,,397234,001,2023-12-07_09h38.50.727,game,2022.2.5,59.74404456274752,
31,0,31,0,,,,,26.88114040007349,27.3806775000412,,,,,,397234,001,2023-12-07_09h38.50.727,game,2022.2.5,59.74404456274752,
32,0,32,0,,,,,27.3806775000412,27.880347899976186,,,,,,397234,001,2023-12-07_09h38.50.727,game,2022.2.5,59.74404456274752,
33,0,33,0,,,,,27.880347899976186,28.379456000053324,,,,,,397234,001,2023-12-07_09h38.50.727,game,2022.2.5,59.74404456274752,
34,0,34,0,,,,,28.379456000053324,28.878874400048517,,,,,,397234,001,2023-12-07_09h38.50.727,game,2022.2.5,59.74404456274752,
35,0,35,0,,,,,28.878874400048517,29.378647500067018,,,,,,397234,001,2023-12-07_09h38.50.727,game,2022.2.5,59.74404456274752,
36,0,36,0,,,,,29.378647500067018,29.877938500023447,,,,,,397234,001,2023-12-07_09h38.50.727,game,2022.2.5,59.74404456274752,
37,0,37,0,,,,,29.877938500023447,30.377668700064532,,,,,,397234,001,2023-12-07_09h38.50.727,game,2022.2.5,59.74404456274752,
38,0,38,0,,,,,30.377668700064532,30.87736520008184,,,,,,397234,001,2023-12-07_09h38.50.727,game,2022.2.5,59.74404456274752,
39,0,39,0,,,,,30.87736520008184,31.376542099984363,,,,,,397234,001,2023-12-07_09h38.50.727,game,2022.2.5,59.74404456274752,
40,0,40,0,,,,,31.376542099984363,31.87618800008204,,,,,,397234,001,2023-12-07_09h38.50.727,game,2022.2.5,59.74404456274752,
41,0,41,0,,,,,31.87618800008204,32.375968700041994,,,,,,397234,001,2023-12-07_09h38.50.727,game,2022.2.5,59.74404456274752,
42,0,42,0,,,,,32.375968700041994,32.87564720003866,,,,,,397234,001,2023-12-07_09h38.50.727,game,2022.2.5,59.74404456274752,
43,0,43,0,,,,,32.87564720003866,33.37490599998273,,,,,,397234,001,2023-12-07_09h38.50.727,game,2022.2.5,59.74404456274752,
44,0,44,0,,,,,33.37490599998273,33.87430580006912,,,,,,397234,001,2023-12-07_09h38.50.727,game,2022.2.5,59.74404456274752,
45,0,45,0,,,,,33.87430580006912,34.37396430002991,,,,,,397234,001,2023-12-07_09h38.50.727,game,2022.2.5,59.74404456274752,
46,0,46,0,,,,,34.37396430002991,34.87349789997097,,,,,,397234,001,2023-12-07_09h38.50.727,game,2022.2.5,59.74404456274752,
47,0,47,0,,,,,34.87349789997097,35.37312900007237,,,,,,397234,001,2023-12-07_09h38.50.727,game,2022.2.5,59.74404456274752,
48,0,48,0,,,,,35.37312900007237,35.872810999979265,,,,,,397234,001,2023-12-07_09h38.50.727,game,2022.2.5,59.74404456274752,
49,0,49,0,,,,,35.872810999979265,36.3723376999842,,,,,,397234,001,2023-12-07_09h38.50.727,game,2022.2.5,59.74404456274752,
,,,,,,,,,,36.3723376999842,37.38781340001151,38.387017800007015,39.386386200087145,39.386386200087145,,,,,,,
