trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,text_2.started,key_resp.started,key_resp.keys,key_resp.rt,text_4.started,text_4.stopped,InstructionsText.started,InstrucKey.started,InstrucKey.keys,InstrucKey.rt,ISI,ISI_text.started,dontrespond.started,dontrespond.stopped,ISI_text.stopped,dontrespond.keys,Targetstim.started,Response.started,Accuracy,RTms,Response.keys,Response.rt,Feedback_text.started,Feedback_text.stopped,text_6.started,key_resp_2.started,key_resp_2.keys,key_resp_2.rt,key_resp_4.started,text_7.started,MathsFailCounter,key_resp_4.keys,key_resp_4.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,16.553106899998966,16.553106899998966,space,0.7290497000067262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,445116,001,2023-12-12_14h48.04.756,game,2022.2.5,59.93525793505032,
,,,,,,,,,,,,,,,,17.299840899999253,18.298819699994056,18.298819699994056,18.298819699994056,space,0.26942589999816846,,,,,,,,,,,,,,,,,,,,,,,,445116,001,2023-12-12_14h48.04.756,game,2022.2.5,59.93525793505032,
0,0,0,0,,,,,,,,,,,,,,,,,,,2,18.598336199996993,18.598336199996993,19.61354009999195,20.6126637999987,None,20.6126637999987,20.6126637999987,1,281.87120000075083,space,0.28187120000075083,20.91297219999251,21.411886799993226,,,,,,,,,,445116,001,2023-12-12_14h48.04.756,game,2022.2.5,59.93525793505032,
1,0,1,0,,,,,,,,,,,,,,,,,,,3,21.411886799993226,21.411886799993226,23.426739299990004,24.426212299993495,None,24.426212299993495,24.426212299993495,1,291.174800004228,space,0.291174800004228,24.742127199991955,25.24192219998804,,,,,,,,,,445116,001,2023-12-12_14h48.04.756,game,2022.2.5,59.93525793505032,
2,0,2,0,,,,,,,,,,,,,,,,,,,3,25.24192219998804,25.24192219998804,27.25656499998877,28.25599279999733,None,28.25599279999733,28.25599279999733,1,260.67990000592545,space,0.26067990000592545,28.53889949999575,29.038549899996724,,,,,,,,,,445116,001,2023-12-12_14h48.04.756,game,2022.2.5,59.93525793505032,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.038549899996724,29.038549899996724,space,0.7391015999892261,,,,,,445116,001,2023-12-12_14h48.04.756,game,2022.2.5,59.93525793505032,
,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.80430059999344,29.80430059999344,1,2,4.4171634999947855,445116,001,2023-12-12_14h48.04.756,game,2022.2.5,59.93525793505032,
,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.59913959998812,34.59913959998812,,None,,445116,001,2023-12-12_14h48.04.756,game,2022.2.5,59.93525793505032,
,,,,,,,,,,,,,,,,,,54.831038499993156,54.831038499993156,space,8.756217699992703,,,,,,,,,,,,,,,,,,,,,,,,445116,001,2023-12-12_14h48.04.756,game,2022.2.5,59.93525793505032,
,,,,,,,,0,0,0,0,,,,,,,,,,,4,63.606062899998506,63.606062899998506,66.6202168000018,67.61890809999022,None,67.61890809999022,67.61890809999022,1,334.4299000018509,space,0.3344299000018509,67.96844899999269,68.46869379999407,,,,,,,,,,445116,001,2023-12-12_14h48.04.756,game,2022.2.5,59.93525793505032,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.46869379999407,68.46869379999407,,,,,,,,,,,,,,
