trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,text_2.started,key_resp.started,key_resp.keys,key_resp.rt,text_4.started,InstructionsText.started,InstrucKey.started,InstrucKey.keys,InstrucKey.rt,ISI,ISI_text.started,dontrespond.started,dontrespond.stopped,ISI_text.stopped,dontrespond.keys,Targetstim.started,Response.started,RTms,Accuracy,Response.keys,Feedback_text.started,Feedback_text.stopped,text_6.started,key_resp_2.started,key_resp_2.keys,key_resp_2.rt,key_resp_4.started,text_7.started,key_resp_4.keys,Response.rt,MathsFailCounter,key_resp_4.rt,text_3.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,17.23341120000987,17.23341120000987,space,9.829102900010184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,462053,001,2023-12-12_14h34.25.285,game,2022.2.5,60.23526690527221,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.08508210000582,28.100856900011422,28.100856900011422,space,1.099946700007422,,,,,,,,,,,,,,,,,,,,,,,,,462053,001,2023-12-12_14h34.25.285,game,2022.2.5,60.23526690527221,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,29.232331600011094,29.232331600011094,29.232331600011094,30.231147400001646,None,30.231147400001646,30.231147400001646,nan,0,None,35.2437351999979,35.74338620000344,,,,,,,,,,,,462053,001,2023-12-12_14h34.25.285,game,2022.2.5,60.23526690527221,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,35.74338620000344,35.74338620000344,35.74338620000344,36.742209400006686,None,36.742209400006686,36.742209400006686,nan,0,None,41.754532200007816,42.25436970000737,,,,,,,,,,,,462053,001,2023-12-12_14h34.25.285,game,2022.2.5,60.23526690527221,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.25436970000737,42.25436970000737,space,2.338171199997305,,,,,,,,462053,001,2023-12-12_14h34.25.285,game,2022.2.5,60.23526690527221,
,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.6182717000047,44.6182717000047,None,,,,,462053,001,2023-12-12_14h34.25.285,game,2022.2.5,60.23526690527221,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.67600590000802,89.67600590000802,space,10.122044299991103,,,,,,,,,,,,,,,,,,,,,,,,,462053,001,2023-12-12_14h34.25.285,game,2022.2.5,60.23526690527221,
,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,3,99.81667179999931,99.81667179999931,101.83116470000823,102.83043500001077,None,102.83043500001077,102.83043500001077,416.7656000063289,1,space,103.26349270000355,103.76316960000258,,,,,,,,0.4167656000063289,,,,462053,001,2023-12-12_14h34.25.285,game,2022.2.5,60.23526690527221,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.76316960000258,103.76316960000258,space,12.935642800002825,,,,,,,,462053,001,2023-12-12_14h34.25.285,game,2022.2.5,60.23526690527221,
,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116.71744890000264,116.71744890000264,3,,0,9.127991300003487,,462053,001,2023-12-12_14h34.25.285,game,2022.2.5,60.23526690527221,
,,,,,,,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126.22505700000329,126.22505700000329,None,,,,,462053,001,2023-12-12_14h34.25.285,game,2022.2.5,60.23526690527221,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171.19982400001027,171.19982400001027,space,3.2757870000059484,,,,,,,,,,,,,,,,,,,,,,,,,462053,001,2023-12-12_14h34.25.285,game,2022.2.5,60.23526690527221,
,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,2,174.49692220000725,174.49692220000725,175.49642239999957,,None,,,nan,0,None,180.5081169000041,181.0074866000068,,,,,,,,,,,,462053,001,2023-12-12_14h34.25.285,game,2022.2.5,60.23526690527221,
,,,,,,,,,,,,,,,,1,0,1,0,,,,,,,,,,,,,,3,181.0074866000068,181.0074866000068,183.0226479000121,184.02154190000147,None,184.02154190000147,184.02154190000147,722.150599991437,1,space,184.77087760000722,185.27082470001187,,,,,,,,0.722150599991437,,,,462053,001,2023-12-12_14h34.25.285,game,2022.2.5,60.23526690527221,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,185.27082470001187,185.27082470001187,space,6.565858600006322,,,,,,,,462053,001,2023-12-12_14h34.25.285,game,2022.2.5,60.23526690527221,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,191.86441860000195,191.86441860000195,None,,,,,462053,001,2023-12-12_14h34.25.285,game,2022.2.5,60.23526690527221,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201.8714694000082,,,,,,,
