trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,text_2.started,key_resp.started,key_resp.keys,key_resp.rt,text_4.started,text_4.stopped,InstructionsText.started,InstrucKey.started,InstrucKey.keys,InstrucKey.rt,ISI,ISI_text.started,dontrespond.started,dontrespond.stopped,ISI_text.stopped,dontrespond.keys,Targetstim.started,Response.started,Accuracy,RTms,Response.keys,Response.rt,Feedback_text.started,Feedback_text.stopped,text_6.started,key_resp_2.started,key_resp_2.keys,key_resp_2.rt,key_resp_4.started,text_7.started,MathsFailCounter,key_resp_4.keys,key_resp_4.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,11.205796199967153,11.205796199967153,space,5.609922399977222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,517555,001,2023-12-13_13h58.13.895,game,2022.2.5,60.027252356463904,
,,,,,,,,,,,,16.84409350005444,46.85302369995043,46.85302369995043,46.85302369995043,space,24.86972760001663,,,,,,,,,,,,,,,,,,,,,,,,517555,001,2023-12-13_13h58.13.895,game,2022.2.5,60.027252356463904,
0,0,0,0,,,,,,,,,,,,,,,4,71.73937900003511,71.73937900003511,74.7418940999778,75.74274959997274,None,75.74274959997274,75.74274959997274,1,324.3448999710381,space,0.3243448999710381,76.09429349994753,76.59449609997682,,,,,,,,,,517555,001,2023-12-13_13h58.13.895,game,2022.2.5,60.027252356463904,
1,0,1,0,,,,,,,,,,,,,,,3,76.59449609997682,76.59449609997682,78.59512770001311,79.59592640004121,None,79.59592640004121,79.59592640004121,1,343.47550000529736,space,0.34347550000529736,79.9629310000455,80.46330740000121,,,,,,,,,,517555,001,2023-12-13_13h58.13.895,game,2022.2.5,60.027252356463904,
2,0,2,0,,,,,,,,,,,,,,,4,80.46330740000121,80.46330740000121,83.4658489000285,84.46671229996718,None,84.46671229996718,84.46671229996718,1,306.4359000418335,space,0.3064359000418335,84.80024360003881,85.30061419995036,,,,,,,,,,517555,001,2023-12-13_13h58.13.895,game,2022.2.5,60.027252356463904,
3,0,3,0,,,,,,,,,,,,,,,3,85.30061419995036,85.30061419995036,87.30240709998179,88.30325320002157,None,88.30325320002157,88.30325320002157,1,311.1044999677688,space,0.3111044999677688,88.6367515999591,89.13727740000468,,,,,,,,,,517555,001,2023-12-13_13h58.13.895,game,2022.2.5,60.027252356463904,
4,0,4,0,,,,,,,,,,,,,,,2,89.13727740000468,89.13727740000468,90.13830920006149,91.13889239996206,None,91.13889239996206,91.13889239996206,1,326.30010007414967,space,0.32630010007414967,91.48923940001987,91.9895564999897,,,,,,,,,,517555,001,2023-12-13_13h58.13.895,game,2022.2.5,60.027252356463904,
5,0,5,0,,,,,,,,,,,,,,,2,91.9895564999897,91.9895564999897,92.99084400001448,93.9917508000508,None,93.9917508000508,93.9917508000508,1,321.96150009986013,space,0.32196150009986013,94.34179860004224,94.84208850003779,,,,,,,,,,517555,001,2023-12-13_13h58.13.895,game,2022.2.5,60.027252356463904,
6,0,6,0,,,,,,,,,,,,,,,4,94.84208850003779,94.84208850003779,97.84439270000439,,None,,,0,nan,None,,103.01532480004244,103.51575699995738,,,,,,,,,,517555,001,2023-12-13_13h58.13.895,game,2022.2.5,60.027252356463904,
7,0,7,0,,,,,,,,,,,,,,,4,103.51575699995738,103.51575699995738,,,None,,,0,nan,None,,108.53656429995317,109.03697829996236,,,,,,,,,,517555,001,2023-12-13_13h58.13.895,game,2022.2.5,60.027252356463904,
