trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text_2.started,key_resp.started,key_resp.keys,key_resp.rt,text_4.started,InstructionsText.started,InstrucKey.started,InstrucKey.keys,InstrucKey.rt,ISI,ISI_text.started,dontrespond.started,dontrespond.stopped,ISI_text.stopped,dontrespond.keys,Targetstim.started,Response.started,Accuracy,RTms,Response.keys,Response.rt,Feedback_text.started,Feedback_text.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,12.08662540000023,12.08662540000023,space,1.2094716000001426,,,,,,,,,,,,,,,,,,,,594008,001,2023-12-11_16h06.40.967,game,2022.2.5,60.31228494877195,
,,,,,,,,13.317172400000345,14.33284360000016,14.33284360000016,space,2.1332793999990827,,,,,,,,,,,,,,,594008,001,2023-12-11_16h06.40.967,game,2022.2.5,60.31228494877195,
0,0,0,0,,,,,,,,,,1,16.497380599999815,16.497380599999815,16.497380599999815,17.5124636999999,None,17.5124636999999,17.5124636999999,1,424.8557000000801,space,0.4248557000000801,17.96256330000051,18.46213700000044,594008,001,2023-12-11_16h06.40.967,game,2022.2.5,60.31228494877195,
1,0,1,0,,,,,,,,,,3,18.46213700000044,18.46213700000044,20.4766838000005,21.475874499999918,None,21.475874499999918,21.475874499999918,1,322.3616999994192,space,0.3223616999994192,21.825493500000448,22.325278199999957,594008,001,2023-12-11_16h06.40.967,game,2022.2.5,60.31228494877195,
2,0,2,0,,,,,,,,,,1,22.325278199999957,22.325278199999957,22.325278199999957,23.341115199999876,None,23.341115199999876,23.341115199999876,1,528.0498999991323,space,0.5280498999991323,23.890528599999925,24.390056299999742,594008,001,2023-12-11_16h06.40.967,game,2022.2.5,60.31228494877195,
3,0,3,0,,,,,,,,,,2,24.390056299999742,24.390056299999742,25.405735800000002,26.404513000000406,None,26.404513000000406,26.404513000000406,1,329.1955999993661,space,0.3291955999993661,26.753878700000314,27.253685800000312,594008,001,2023-12-11_16h06.40.967,game,2022.2.5,60.31228494877195,
4,0,4,0,,,,,,,,,,2,27.253685800000312,27.253685800000312,28.25287170000047,29.26856510000016,None,29.26856510000016,29.26856510000016,1,269.6487999992314,space,0.2696487999992314,29.568073399999776,30.068097299999863,594008,001,2023-12-11_16h06.40.967,game,2022.2.5,60.31228494877195,
5,0,5,0,,,,,,,,,,1,30.068097299999863,30.068097299999863,30.068097299999863,31.067189999999755,None,31.067189999999755,31.067189999999755,1,382.26489999942714,space,0.38226489999942714,31.466518299999734,31.966285399999833,594008,001,2023-12-11_16h06.40.967,game,2022.2.5,60.31228494877195,
6,0,6,0,,,,,,,,,,4,31.966285399999833,31.966285399999833,34.98003200000039,35.97920849999991,None,35.97920849999991,35.97920849999991,1,421.4427999995678,space,0.4214427999995678,36.42899159999979,36.92814030000045,594008,001,2023-12-11_16h06.40.967,game,2022.2.5,60.31228494877195,
7,0,7,0,,,,,,,,,,3,36.92814030000045,36.92814030000045,38.942715500000304,39.94189330000063,None,39.94189330000063,39.94189330000063,1,413.25419999975566,space,0.41325419999975566,40.37440969999989,40.8742129000002,594008,001,2023-12-11_16h06.40.967,game,2022.2.5,60.31228494877195,
8,0,8,0,,,,,,,,,,2,40.8742129000002,40.8742129000002,41.873437600000216,42.88968440000008,None,42.88968440000008,42.88968440000008,1,467.0159999996031,space,0.4670159999996031,43.372299900000144,43.87173960000018,594008,001,2023-12-11_16h06.40.967,game,2022.2.5,60.31228494877195,
9,0,9,0,,,,,,,,,,2,43.87173960000018,43.87173960000018,44.87051690000044,45.88641120000011,None,45.88641120000011,45.88641120000011,1,395.41899999949237,space,0.39541899999949237,46.302587799999856,46.802333000000544,594008,001,2023-12-11_16h06.40.967,game,2022.2.5,60.31228494877195,
10,0,10,0,,,,,,,,,,1,46.802333000000544,46.802333000000544,46.802333000000544,47.80153440000049,None,47.80153440000049,47.80153440000049,1,511.2982999999076,space,0.5112982999999076,48.33408150000014,48.83386729999984,594008,001,2023-12-11_16h06.40.967,game,2022.2.5,60.31228494877195,
11,0,11,0,,,,,,,,,,4,48.83386729999984,48.83386729999984,51.84757300000001,,None,,,0,nan,None,,57.5253558000004,58.02508050000051,594008,001,2023-12-11_16h06.40.967,game,2022.2.5,60.31228494877195,
12,0,12,0,,,,,,,,,,1,58.02508050000051,58.02508050000051,58.02508050000051,59.04117790000055,None,59.04117790000055,59.04117790000055,1,1147.0800999995845,space,1.1470800999995845,60.206682699999874,60.70616289999998,594008,001,2023-12-11_16h06.40.967,game,2022.2.5,60.31228494877195,
13,0,13,0,,,,,,,,,,2,60.70616289999998,60.70616289999998,61.70497280000018,62.72060650000003,None,62.72060650000003,62.72060650000003,0,nan,None,,67.73223390000021,68.23231170000054,594008,001,2023-12-11_16h06.40.967,game,2022.2.5,60.31228494877195,
14,0,14,0,,,,,,,,,,3,68.23231170000054,68.23231170000054,70.24711120000029,71.24648030000026,None,71.24648030000026,71.24648030000026,0,nan,None,,76.25817370000004,76.75755800000024,594008,001,2023-12-11_16h06.40.967,game,2022.2.5,60.31228494877195,
15,0,15,0,,,,,,,,,,2,76.75755800000024,76.75755800000024,77.75649780000003,78.77278120000028,None,78.77278120000028,78.77278120000028,0,nan,None,,83.78445890000057,84.28405470000052,594008,001,2023-12-11_16h06.40.967,game,2022.2.5,60.31228494877195,
16,0,16,0,,,,,,,,,,4,84.28405470000052,84.28405470000052,87.29783540000062,88.29698170000029,None,88.29698170000029,88.29698170000029,0,nan,None,,93.30868030000056,93.80823419999979,594008,001,2023-12-11_16h06.40.967,game,2022.2.5,60.31228494877195,
17,0,17,0,,,,,,,,,,1,93.80823419999979,93.80823419999979,93.80823419999979,94.8075942000005,None,94.8075942000005,94.8075942000005,0,nan,None,,99.81941580000057,100.31907930000034,594008,001,2023-12-11_16h06.40.967,game,2022.2.5,60.31228494877195,
18,0,18,0,,,,,,,,,,3,100.31907930000034,100.31907930000034,102.33374360000016,103.3324459000005,None,103.3324459000005,103.3324459000005,0,nan,None,,108.34452500000043,108.8445756000001,594008,001,2023-12-11_16h06.40.967,game,2022.2.5,60.31228494877195,
19,0,19,0,,,,,,,,,,4,108.8445756000001,108.8445756000001,111.85831830000006,112.85721100000046,None,112.85721100000046,112.85721100000046,0,nan,None,,117.86841420000019,118.36889710000014,594008,001,2023-12-11_16h06.40.967,game,2022.2.5,60.31228494877195,
20,0,20,0,,,,,,,,,,1,118.36889710000014,118.36889710000014,118.36889710000014,119.36785390000023,None,119.36785390000023,119.36785390000023,0,nan,None,,124.37978370000019,124.87912630000028,594008,001,2023-12-11_16h06.40.967,game,2022.2.5,60.31228494877195,
21,0,21,0,,,,,,,,,,4,124.87912630000028,124.87912630000028,127.89352140000028,128.89243929999975,None,128.89243929999975,128.89243929999975,0,nan,None,,133.90434379999988,134.40411250000034,594008,001,2023-12-11_16h06.40.967,game,2022.2.5,60.31228494877195,
22,0,22,0,,,,,,,,,,4,134.40411250000034,134.40411250000034,,,None,,,0,nan,None,,140.9646098000003,141.46356840000044,594008,001,2023-12-11_16h06.40.967,game,2022.2.5,60.31228494877195,
,,,,,,,,,,,,,4,141.46356840000044,141.46356840000044,,,,,,,,,,,,,,,,,,
