trials_9.thisRepN,trials_9.thisTrialN,trials_9.thisN,trials_9.thisIndex,text_2.started,key_resp.started,key_resp.keys,key_resp.rt,text_11.started,slider_3.started,slider_3.response,slider_3.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,14.44355640001595,14.44355640001595,space,324.34563240001444,,,,,629842,001,2023-12-11_13h49.03.329,game,2022.2.5,60.26031248770867,
0,0,0,0,,,,,338.8712402000092,338.8712402000092,6.0,93.39154029998463,629842,001,2023-12-11_13h49.03.329,game,2022.2.5,60.26031248770867,
1,0,1,0,,,,,432.2668816000223,432.2668816000223,6.0,0.43152459990233183,629842,001,2023-12-11_13h49.03.329,game,2022.2.5,60.26031248770867,
2,0,2,0,,,,,432.73285720008425,432.73285720008425,6.0,0.15014290006365627,629842,001,2023-12-11_13h49.03.329,game,2022.2.5,60.26031248770867,
3,0,3,0,,,,,432.9168890999863,432.9168890999863,6.0,0.19945269997697324,629842,001,2023-12-11_13h49.03.329,game,2022.2.5,60.26031248770867,
4,0,4,0,,,,,433.1333196000196,433.1333196000196,6.0,0.14713290007784963,629842,001,2023-12-11_13h49.03.329,game,2022.2.5,60.26031248770867,
5,0,5,0,,,,,433.29938740003854,433.29938740003854,6.0,0.16537549998611212,629842,001,2023-12-11_13h49.03.329,game,2022.2.5,60.26031248770867,
6,0,6,0,,,,,433.49922450003214,433.49922450003214,6.0,0.11553549999371171,629842,001,2023-12-11_13h49.03.329,game,2022.2.5,60.26031248770867,
7,0,7,0,,,,,433.6332101000007,433.6332101000007,6.0,0.16553550004027784,629842,001,2023-12-11_13h49.03.329,game,2022.2.5,60.26031248770867,
8,0,8,0,,,,,433.832799200085,433.832799200085,6.0,0.18331970006693155,629842,001,2023-12-11_13h49.03.329,game,2022.2.5,60.26031248770867,
9,0,9,0,,,,,434.0488499000203,434.0488499000203,6.0,0.13405700004659593,629842,001,2023-12-11_13h49.03.329,game,2022.2.5,60.26031248770867,
,,,,,,,,434.21559630008414,434.21559630008414,,,,,,,,,
