trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,text_2.started,key_resp.started,key_resp.keys,key_resp.rt,text_4.started,text_4.stopped,InstructionsText.started,InstrucKey.started,InstrucKey.keys,InstrucKey.rt,ISI,ISI_text.started,dontrespond.started,dontrespond.stopped,ISI_text.stopped,dontrespond.keys,Targetstim.started,Response.started,Accuracy,RTms,Response.keys,Response.rt,Feedback_text.started,Feedback_text.stopped,text_6.started,key_resp_2.started,key_resp_2.keys,key_resp_2.rt,key_resp_4.started,text_7.started,key_resp_4.keys,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,9.577802300002077,9.577802300002077,space,1.7756261000031373,,,,,,,,,,,,,,,,,,,,,,,,,,,,673976,001,2023-12-12_14h42.01.780,game,2022.2.5,59.69714445144006,
,,,,,,,,,,,,,,,,,,,,,,,,11.373088899999857,12.37220189999789,12.37220189999789,12.37220189999789,space,0.4933939999900758,,,,,,,,,,,,,,,,,,,,,,673976,001,2023-12-12_14h42.01.780,game,2022.2.5,59.69714445144006,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,3,12.888397200003965,12.888397200003965,14.903336300005321,15.90190050000092,None,15.90190050000092,15.90190050000092,1,786.7622000048868,space,0.7867622000048868,16.718152200002805,17.21767379999801,,,,,,,,673976,001,2023-12-12_14h42.01.780,game,2022.2.5,59.69714445144006,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,4,17.21767379999801,17.21767379999801,20.231876000005286,21.230605400007335,None,21.230605400007335,21.230605400007335,1,270.6235999939963,space,0.2706235999939963,21.53039539999736,22.02996100000746,,,,,,,,673976,001,2023-12-12_14h42.01.780,game,2022.2.5,59.69714445144006,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,4,22.02996100000746,22.02996100000746,25.0437915000075,26.04314660000091,None,26.04314660000091,26.04314660000091,1,256.31160000921227,space,0.25631160000921227,26.325896499998635,26.825962900009472,,,,,,,,673976,001,2023-12-12_14h42.01.780,game,2022.2.5,59.69714445144006,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.825962900009472,26.825962900009472,space,5.401000499987276,,,,673976,001,2023-12-12_14h42.01.780,game,2022.2.5,59.69714445144006,
,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.253628500009654,32.253628500009654,None,673976,001,2023-12-12_14h42.01.780,game,2022.2.5,59.69714445144006,
,,,,,,,,,,,,,,,,,,,,,,,,,,59.894676099997014,59.894676099997014,space,8.81115619999764,,,,,,,,,,,,,,,,,,,,,,673976,001,2023-12-12_14h42.01.780,game,2022.2.5,59.69714445144006,
,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,1,68.73614619999717,68.73614619999717,68.73614619999717,69.75180550001096,None,69.75180550001096,69.75180550001096,1,578.4984000056284,space,0.5784984000056284,70.35109579999698,70.85099400000763,,,,,,,,673976,001,2023-12-12_14h42.01.780,game,2022.2.5,59.69714445144006,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.85099400000763,70.85099400000763,space,13.630996599997161,,,,673976,001,2023-12-12_14h42.01.780,game,2022.2.5,59.69714445144006,
,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.50452380000206,84.50452380000206,None,673976,001,2023-12-12_14h42.01.780,game,2022.2.5,59.69714445144006,
,,,,,,,,,,,,,,,,,,,,,,,,,,125.64849150000373,125.64849150000373,space,4.3520082000031834,,,,,,,,,,,,,,,,,,,,,,673976,001,2023-12-12_14h42.01.780,game,2022.2.5,59.69714445144006,
,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,4,130.02917930000694,130.02917930000694,133.04242209999938,134.04215180000756,None,134.04215180000756,134.04215180000756,0,nan,None,,139.05358310000156,139.55401690000144,,,,,,,,673976,001,2023-12-12_14h42.01.780,game,2022.2.5,59.69714445144006,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139.55401690000144,139.55401690000144,,,,,,,,,,,,
