trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,text_2.started,key_resp.started,key_resp.keys,key_resp.rt,text_4.started,text_4.stopped,InstructionsText.started,InstrucKey.started,InstrucKey.keys,InstrucKey.rt,ISI,ISI_text.started,dontrespond.started,dontrespond.stopped,ISI_text.stopped,dontrespond.keys,Targetstim.started,Response.started,Accuracy,RTms,Response.keys,Response.rt,Feedback_text.started,Feedback_text.stopped,text_6.started,key_resp_2.started,key_resp_2.keys,key_resp_2.rt,key_resp_4.started,text_7.started,MathsFailCounter,key_resp_4.keys,key_resp_4.rt,text_13.started,key_resp_6.started,key_resp_6.keys,key_resp_6.rt,text_3.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,31.558001800003694,31.558001800003694,space,11.402962700027274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,751977,001,2023-12-13_15h33.40.021,game,2022.2.5,60.35640457063546,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.97733600001084,72.98388840002008,72.98388840002008,72.98388840002008,space,3.927641299989773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,751977,001,2023-12-13_15h33.40.021,game,2022.2.5,60.35640457063546,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,76.92890890000854,76.92890890000854,79.94288030001917,80.94210310000926,None,80.94210310000926,80.94210310000926,1,326.0952999989968,space,0.3260952999989968,81.2917054000136,81.7914878000156,,,,,,,,,,,,,,,751977,001,2023-12-13_15h33.40.021,game,2022.2.5,60.35640457063546,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,81.7914878000156,81.7914878000156,81.7914878000156,82.79026420001173,None,82.79026420001173,82.79026420001173,1,416.76360002020374,space,0.41676360002020374,83.22316120000323,83.72339070000453,,,,,,,,,,,,,,,751977,001,2023-12-13_15h33.40.021,game,2022.2.5,60.35640457063546,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,83.72339070000453,83.72339070000453,86.73912919999566,87.73623790001147,None,87.73623790001147,87.73623790001147,1,359.28030000650324,space,0.35928030000650324,88.1188625000068,88.61806730000535,,,,,,,,,,,,,,,751977,001,2023-12-13_15h33.40.021,game,2022.2.5,60.35640457063546,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,88.61806730000535,88.61806730000535,91.63275230000727,92.6309934000019,None,92.6309934000019,92.6309934000019,1,283.70810000342317,space,0.28370810000342317,92.93063230000553,93.43099910000456,,,,,,,,,,,,,,,751977,001,2023-12-13_15h33.40.021,game,2022.2.5,60.35640457063546,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,93.43099910000456,93.43099910000456,94.446111199999,95.4451476999966,None,95.4451476999966,95.4451476999966,1,299.28870001458563,space,0.29928870001458563,95.76193470001454,96.26089760000468,,,,,,,,,,,,,,,751977,001,2023-12-13_15h33.40.021,game,2022.2.5,60.35640457063546,
5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,96.26089760000468,96.26089760000468,99.27512800000841,100.27372850000393,None,100.27372850000393,100.27372850000393,1,294.0058000094723,space,0.2940058000094723,100.59007289999863,101.08965189999435,,,,,,,,,,,,,,,751977,001,2023-12-13_15h33.40.021,game,2022.2.5,60.35640457063546,
6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,101.08965189999435,101.08965189999435,103.10494020002079,104.10358360002283,None,104.10358360002283,104.10358360002283,1,281.83170000556856,space,0.28183170000556856,104.40318210000987,104.9034440999967,,,,,,,,,,,,,,,751977,001,2023-12-13_15h33.40.021,game,2022.2.5,60.35640457063546,
7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,104.9034440999967,104.9034440999967,106.91839370000525,107.91771350000636,None,107.91771350000636,107.91771350000636,1,288.7732000090182,space,0.2887732000090182,108.23373090001405,108.7327277000004,,,,,,,,,,,,,,,751977,001,2023-12-13_15h33.40.021,game,2022.2.5,60.35640457063546,
8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,108.7327277000004,108.7327277000004,110.74780800001463,111.74641340001835,None,111.74641340001835,111.74641340001835,1,274.53110000351444,space,0.27453110000351444,112.04661260001012,112.54616460000398,,,,,,,,,,,,,,,751977,001,2023-12-13_15h33.40.021,game,2022.2.5,60.35640457063546,
