trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,text_2.started,key_resp.started,key_resp.keys,key_resp.rt,text_4.started,InstructionsText.started,InstrucKey.started,InstrucKey.keys,InstrucKey.rt,ISI,ISI_text.started,dontrespond.started,dontrespond.stopped,ISI_text.stopped,dontrespond.keys,Targetstim.started,Response.started,Accuracy,RTms,Response.keys,Response.rt,Feedback_text.started,Feedback_text.stopped,text_6.started,key_resp_2.started,key_resp_2.keys,key_resp_2.rt,key_resp_4.started,text_7.started,key_resp_4.keys,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,10.705847300007008,10.705847300007008,space,1.9855922999995528,,,,,,,,,,,,,,,,,,,,,,,,,,,997758,001,2023-12-12_14h51.07.233,game,2022.2.5,59.909548561816855,
,,,,,,,,,,,,,,,,12.71666940000432,13.732319100003224,13.732319100003224,space,3.4574390000052517,,,,,,,,,,,,,,,,,,,,,,997758,001,2023-12-12_14h51.07.233,game,2022.2.5,59.909548561816855,
0,0,0,0,,,,,,,,,,,,,,,,,,1,17.21249760000501,17.21249760000501,17.21249760000501,18.22761729999911,None,18.22761729999911,18.22761729999911,1,1052.6436999934958,space,1.0526436999934958,19.293168300006073,19.79261950000364,,,,,,,,997758,001,2023-12-12_14h51.07.233,game,2022.2.5,59.909548561816855,
1,0,1,0,,,,,,,,,,,,,,,,,,4,19.79261950000364,19.79261950000364,22.806248900000355,23.805399400007445,None,23.805399400007445,23.805399400007445,1,456.13049999519717,space,0.45613049999519717,24.28832780000812,24.788122400001157,,,,,,,,997758,001,2023-12-12_14h51.07.233,game,2022.2.5,59.909548561816855,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.788122400001157,24.788122400001157,space,27.331466899995576,,,,997758,001,2023-12-12_14h51.07.233,game,2022.2.5,59.909548561816855,
,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.1461655000021,52.1461655000021,None,997758,001,2023-12-12_14h51.07.233,game,2022.2.5,59.909548561816855,
,,,,,,,,,,,,,,,,,79.12099910000688,79.12099910000688,space,2.3456368000042858,,,,,,,,,,,,,,,,,,,,,,997758,001,2023-12-12_14h51.07.233,game,2022.2.5,59.909548561816855,
,,,,,,,,0,0,0,0,,,,,,,,,,4,81.48489130000235,81.48489130000235,84.49892749999708,85.49825859999692,None,85.49825859999692,85.49825859999692,1,278.5976000013761,space,0.2785976000013761,85.79774120000366,86.29744350000692,,,,,,,,997758,001,2023-12-12_14h51.07.233,game,2022.2.5,59.909548561816855,
,,,,,,,,1,0,1,0,,,,,,,,,,4,86.29744350000692,86.29744350000692,89.31114010000601,90.31021870000404,None,90.31021870000404,90.31021870000404,1,248.17709998751525,space,0.24817709998751525,90.57710219999717,91.07643349999853,,,,,,,,997758,001,2023-12-12_14h51.07.233,game,2022.2.5,59.909548561816855,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.07643349999853,91.07643349999853,,,,,,,,,,,,
