trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,text_2.started,key_resp.started,key_resp.keys,key_resp.rt,text_4.started,text_4.stopped,InstructionsText.started,InstrucKey.started,InstrucKey.keys,InstrucKey.rt,ISI,ISI_text.started,dontrespond.started,dontrespond.stopped,ISI_text.stopped,dontrespond.keys,Targetstim.started,Response.started,Accuracy,RTms,Response.keys,Response.rt,Feedback_text.started,Feedback_text.stopped,text_6.started,key_resp_2.started,key_resp_2.keys,key_resp_2.rt,key_resp_4.started,text_7.started,key_resp_4.keys,key_resp_4.rt,text_13.started,key_resp_6.started,key_resp_6.keys,key_resp_6.rt,text_3.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,20.58766850000029,20.58766850000029,space,6.008644699999422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vojta,001,2023-12-15_11h41.36.213,game,2022.2.5,60.8736463981828,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.6244254000012,56.63813300000038,56.63813300000038,56.63813300000038,space,5.623029399997904,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vojta,001,2023-12-15_11h41.36.213,game,2022.2.5,60.8736463981828,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,62.30140839999876,62.30140839999876,64.30144300000029,65.31826310000179,None,65.31826310000179,65.31826310000179,1,334.34269999997923,space,0.33434269999997923,65.68358190000072,66.18660810000074,,,,,,,,,,,,,,Vojta,001,2023-12-15_11h41.36.213,game,2022.2.5,60.8736463981828,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,66.18660810000074,66.18660810000074,68.18917940000028,69.20035999999891,None,69.20035999999891,69.20035999999891,1,356.59640000085346,space,0.35659640000085346,69.58378939999966,70.12299440000061,,,,,,,,,,,,,,Vojta,001,2023-12-15_11h41.36.213,game,2022.2.5,60.8736463981828,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,70.12299440000061,70.12299440000061,71.1384767999989,72.13559009999881,None,72.13559009999881,72.13559009999881,1,285.6509000012011,space,0.2856509000012011,72.4692294000015,72.96760690000156,,,,,,,,,,,,,,Vojta,001,2023-12-15_11h41.36.213,game,2022.2.5,60.8736463981828,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,72.96760690000156,72.96760690000156,74.98810840000078,75.98574029999872,None,75.98574029999872,75.98574029999872,1,299.21200000171666,space,0.29921200000171666,76.3907704000012,76.91853040000206,,,,,,,,,,,,,,Vojta,001,2023-12-15_11h41.36.213,game,2022.2.5,60.8736463981828,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,76.91853040000206,76.91853040000206,78.92050310000195,79.91769510000086,None,79.91769510000086,79.91769510000086,1,311.36610000248766,space,0.31136610000248766,80.26660400000037,80.78535499999998,,,,,,,,,,,,,,Vojta,001,2023-12-15_11h41.36.213,game,2022.2.5,60.8736463981828,
5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,80.78535499999998,80.78535499999998,83.78503199999977,,None,,,0,nan,None,,89.0685364000019,89.56837110000197,,,,,,,,,,,,,,Vojta,001,2023-12-15_11h41.36.213,game,2022.2.5,60.8736463981828,
6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,89.56837110000197,89.56837110000197,,,None,,,0,nan,None,,94.56904090000171,95.08213539999997,,,,,,,,,,,,,,Vojta,001,2023-12-15_11h41.36.213,game,2022.2.5,60.8736463981828,
7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,95.08213539999997,95.08213539999997,96.08802189999915,97.10099919999993,None,97.10099919999993,97.10099919999993,1,513.2575000025099,space,0.5132575000025099,97.64944969999851,98.20457090000127,,,,,,,,,,,,,,Vojta,001,2023-12-15_11h41.36.213,game,2022.2.5,60.8736463981828,
