trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,text_2.started,key_resp.started,key_resp.keys,key_resp.rt,text_4.started,text_4.stopped,InstructionsText.started,InstrucKey.started,InstrucKey.keys,InstrucKey.rt,ISI,ISI_text.started,dontrespond.started,dontrespond.stopped,ISI_text.stopped,dontrespond.keys,Targetstim.started,Response.started,Accuracy,RTms,Response.keys,Response.rt,Feedback_text.started,Feedback_text.stopped,text_6.started,key_resp_2.started,key_resp_2.keys,key_resp_2.rt,key_resp_4.started,text_7.started,key_resp_4.keys,key_resp_4.rt,text_14.started,key_resp_7.started,key_resp_7.keys,key_resp_7.rt,text_13.started,key_resp_6.started,key_resp_6.keys,key_resp_6.rt,text_3.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,40.26776269997936,40.26776269997936,space,1726.061440200021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,athos,001,2023-12-18_16h31.44.206,game,2022.2.5,59.99289683581633,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1766.3577847999986,1796.3728282999946,1796.3728282999946,1796.3728282999946,space,7.153692999971099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,athos,001,2023-12-18_16h31.44.206,game,2022.2.5,59.99289683581633,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1803.5564298999961,1803.5564298999961,1804.5589833999984,1805.5561458999873,None,1805.5561458999873,1805.5561458999873,1,442.46049999492243,space,0.44246049999492243,1806.0224001999595,1806.5220679999911,,,,,,,,,,,,,,,,,,athos,001,2023-12-18_16h31.44.206,game,2022.2.5,59.99289683581633,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1806.5220679999911,1806.5220679999911,1807.5224168999703,1808.5223533000099,None,1808.5223533000099,1808.5223533000099,1,348.3255000319332,space,0.3483255000319332,1808.9037553999806,1809.4059604000067,,,,,,,,,,,,,,,,,,athos,001,2023-12-18_16h31.44.206,game,2022.2.5,59.99289683581633,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1809.4059604000067,1809.4059604000067,1811.4053470999934,1812.4051678999676,None,1812.4051678999676,1812.4051678999676,1,321.7284000129439,space,0.3217284000129439,1812.7696385000017,1813.2722537000082,,,,,,,,,,,,,,,,,,athos,001,2023-12-18_16h31.44.206,game,2022.2.5,59.99289683581633,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1813.2722537000082,1813.2722537000082,1814.2717461999855,1815.271825600008,None,1815.271825600008,1815.271825600008,1,318.8646000344306,space,0.3188646000344306,1815.6046640999848,1816.104758100002,,,,,,,,,,,,,,,,,,athos,001,2023-12-18_16h31.44.206,game,2022.2.5,59.99289683581633,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1816.104758100002,1816.104758100002,1819.1047006999725,1820.1049226999748,None,1820.1049226999748,1820.1049226999748,1,318.2177999988198,space,0.31821779999881983,1820.4378905000049,1820.9383345000097,,,,,,,,,,,,,,,,,,athos,001,2023-12-18_16h31.44.206,game,2022.2.5,59.99289683581633,
5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1820.9383345000097,1820.9383345000097,1823.9383082999848,1824.9377742999932,None,1824.9377742999932,1824.9377742999932,1,324.5215999777429,space,0.3245215999777429,1825.302266499959,1825.8047021999955,,,,,,,,,,,,,,,,,,athos,001,2023-12-18_16h31.44.206,game,2022.2.5,59.99289683581633,
6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1825.8047021999955,1825.8047021999955,1828.8040974999894,,None,,,0,nan,None,,1834.570852499979,1835.0704216000158,,,,,,,,,,,,,,,,,,athos,001,2023-12-18_16h31.44.206,game,2022.2.5,59.99289683581633,
7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1835.0704216000158,1835.0704216000158,1835.0704216000158,1836.070693799993,None,1836.070693799993,1836.070693799993,1,423.9833999890834,space,0.4239833999890834,1836.5209651999758,1837.0208874999662,,,,,,,,,,,,,,,,,,athos,001,2023-12-18_16h31.44.206,game,2022.2.5,59.99289683581633,
