trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,text_2.started,key_resp.started,key_resp.keys,key_resp.rt,text_4.started,text_4.stopped,InstructionsText.started,InstrucKey.started,InstrucKey.keys,InstrucKey.rt,ISI,ISI_text.started,dontrespond.started,dontrespond.stopped,ISI_text.stopped,dontrespond.keys,Targetstim.started,Response.started,Accuracy,RTms,Response.keys,Response.rt,Feedback_text.started,Feedback_text.stopped,text_6.started,key_resp_2.started,key_resp_2.keys,key_resp_2.rt,key_resp_4.started,text_7.started,key_resp_4.keys,key_resp_4.rt,text_14.started,key_resp_7.started,key_resp_7.keys,key_resp_7.rt,text_13.started,key_resp_6.started,key_resp_6.keys,key_resp_6.rt,text_3.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,22.116774299996905,22.116774299996905,space,1205.5609015999944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cihan,001,2023-12-18_13h04.09.969,game,2022.2.5,59.96224776056681,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1227.7165832999744,1257.7180372999865,1257.7180372999865,1257.7180372999865,space,12.072702699981164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cihan,001,2023-12-18_13h04.09.969,game,2022.2.5,59.96224776056681,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1269.8173135999823,1269.8173135999823,1271.8174331999617,1272.8177160999621,None,1272.8177160999621,1272.8177160999621,1,1037.3116999980994,space,1.0373116999980994,1273.8986857999698,1274.4003351999563,,,,,,,,,,,,,,,,,,cihan,001,2023-12-18_13h04.09.969,game,2022.2.5,59.96224776056681,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1274.4003351999563,1274.4003351999563,1274.4003351999563,1275.4011361000012,None,1275.4011361000012,1275.4011361000012,1,396.33600000524893,space,0.39633600000524893,1275.8183954000124,1276.3193500000052,,,,,,,,,,,,,,,,,,cihan,001,2023-12-18_13h04.09.969,game,2022.2.5,59.96224776056681,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1276.3193500000052,1276.3193500000052,1277.3330462999875,1278.3328600999666,None,1278.3328600999666,1278.3328600999666,1,353.66999998223037,space,0.35366999998223037,1278.7145592999877,1279.2311959000072,,,,,,,,,,,,,,,,,,cihan,001,2023-12-18_13h04.09.969,game,2022.2.5,59.96224776056681,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1279.2311959000072,1279.2311959000072,1279.2311959000072,1280.2333711999818,None,1280.2333711999818,1280.2333711999818,1,403.7452999618836,space,0.4037452999618836,1280.6641770999995,1281.1660174999852,,,,,,,,,,,,,,,,,,cihan,001,2023-12-18_13h04.09.969,game,2022.2.5,59.96224776056681,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1281.1660174999852,1281.1660174999852,1282.166234400007,1283.1664297999814,None,1283.1664297999814,1283.1664297999814,1,375.8496000082232,space,0.3758496000082232,1283.5811999999569,1284.0968645999674,,,,,,,,,,,,,,,,,,cihan,001,2023-12-18_13h04.09.969,game,2022.2.5,59.96224776056681,
5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1284.0968645999674,1284.0968645999674,1287.0993190999725,1288.1022047000006,None,1288.1022047000006,1288.1022047000006,1,454.8272000392899,space,0.4548272000392899,1288.5978082999936,1289.0988878000062,,,,,,,,,,,,,,,,,,cihan,001,2023-12-18_13h04.09.969,game,2022.2.5,59.96224776056681,
6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1289.0988878000062,1289.0988878000062,1292.0989521999727,1293.0986787999864,None,1293.0986787999864,1293.0986787999864,1,386.8693999829702,space,0.3868693999829702,1293.5140971000073,1294.0170139999827,,,,,,,,,,,,,,,,,,cihan,001,2023-12-18_13h04.09.969,game,2022.2.5,59.96224776056681,
7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1294.0170139999827,1294.0170139999827,1295.0169538999908,1296.0322188999853,None,1296.0322188999853,1296.0322188999853,1,380.83879998885095,space,0.38083879998885095,1296.4466121000005,1296.9484658999718,,,,,,,,,,,,,,,,,,cihan,001,2023-12-18_13h04.09.969,game,2022.2.5,59.96224776056681,
8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1296.9484658999718,1296.9484658999718,1296.9484658999718,1297.9486449999968,None,1297.9486449999968,1297.9486449999968,1,425.2812000340782,space,0.4252812000340782,1298.4133791999775,1298.9159787999815,,,,,,,,,,,,,,,,,,cihan,001,2023-12-18_13h04.09.969,game,2022.2.5,59.96224776056681,
9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1298.9159787999815,1298.9159787999815,1299.916410500009,1300.9148207000108,None,1300.9148207000108,1300.9148207000108,1,410.3118000202812,space,0.4103118000202812,1301.3632125000004,1301.8652887999779,,,,,,,,,,,,,,,,,,cihan,001,2023-12-18_13h04.09.969,game,2022.2.5,59.96224776056681,
10,0,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1301.8652887999779,1301.8652887999779,1303.8691554999677,1304.864688600006,None,1304.864688600006,1304.864688600006,1,357.7134999795817,space,0.3577134999795817,1305.2631562000024,1305.7649863999686,,,,,,,,,,,,,,,,,,cihan,001,2023-12-18_13h04.09.969,game,2022.2.5,59.96224776056681,
