trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,text_2.started,key_resp.started,key_resp.keys,key_resp.rt,text_4.started,text_4.stopped,InstructionsText.started,InstrucKey.started,InstrucKey.keys,InstrucKey.rt,ISI,ISI_text.started,dontrespond.started,dontrespond.stopped,ISI_text.stopped,dontrespond.keys,Targetstim.started,Response.started,Accuracy,RTms,Response.keys,Response.rt,Feedback_text.started,Feedback_text.stopped,text_6.started,key_resp_2.started,key_resp_2.keys,key_resp_2.rt,key_resp_4.started,text_7.started,MathsFailCounter,key_resp_4.keys,key_resp_4.rt,text_13.started,key_resp_6.started,key_resp_6.keys,key_resp_6.rt,text_3.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,21.453589199925773,21.453589199925773,space,640.9650596999563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,elpida_131223,001,2023-12-13_14h46.19.659,game,2022.2.5,59.90642618902213,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,662.4373563999543,692.6124421999557,692.6124421999557,692.6124421999557,space,1.3107696999795735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,elpida_131223,001,2023-12-13_14h46.19.659,game,2022.2.5,59.90642618902213,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,693.9446077999892,693.9446077999892,694.9459153999342,695.9458767999895,None,695.9458767999895,695.9458767999895,1,391.6226999135688,space,0.3916226999135688,696.4006683999905,696.9152358999709,,,,,,,,,,,,,,,elpida_131223,001,2023-12-13_14h46.19.659,game,2022.2.5,59.90642618902213,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,696.9152358999709,696.9152358999709,696.9152358999709,697.9321704999311,None,697.9321704999311,697.9321704999311,1,399.3508000858128,space,0.3993508000858128,698.3476551999338,698.8484877999872,,,,,,,,,,,,,,,elpida_131223,001,2023-12-13_14h46.19.659,game,2022.2.5,59.90642618902213,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,698.8484877999872,698.8484877999872,700.8511161999777,701.85071899998,None,701.85071899998,701.85071899998,1,401.27859998028725,space,0.40127859998028725,702.268030499923,702.7683894999791,,,,,,,,,,,,,,,elpida_131223,001,2023-12-13_14h46.19.659,game,2022.2.5,59.90642618902213,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,702.7683894999791,702.7683894999791,703.7693702999968,704.7711320000235,None,704.7711320000235,704.7711320000235,1,402.4082999676466,space,0.4024082999676466,705.187162999995,705.6869491999969,,,,,,,,,,,,,,,elpida_131223,001,2023-12-13_14h46.19.659,game,2022.2.5,59.90642618902213,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,705.6869491999969,705.6869491999969,706.6908498000121,707.6883257000009,None,707.6883257000009,707.6883257000009,1,353.8086999906227,space,0.3538086999906227,708.0553196999244,708.5572804999538,,,,,,,,,,,,,,,elpida_131223,001,2023-12-13_14h46.19.659,game,2022.2.5,59.90642618902213,
5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,708.5572804999538,708.5572804999538,711.5589300999418,712.5612308999989,None,712.5612308999989,712.5612308999989,1,352.4258000543341,space,0.3524258000543341,712.9429224999622,713.4435494999634,,,,,,,,,,,,,,,elpida_131223,001,2023-12-13_14h46.19.659,game,2022.2.5,59.90642618902213,
6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,713.4435494999634,713.4435494999634,715.4465828000102,716.4463285999373,None,716.4463285999373,716.4463285999373,1,393.1768999900669,space,0.3931768999900669,716.8806073999731,717.3817584000062,,,,,,,,,,,,,,,elpida_131223,001,2023-12-13_14h46.19.659,game,2022.2.5,59.90642618902213,
7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,717.3817584000062,717.3817584000062,718.3816449999576,719.3824135999894,None,719.3824135999894,719.3824135999894,1,412.4100999906659,space,0.4124100999906659,719.8328268999467,720.38795689994,,,,,,,,,,,,,,,elpida_131223,001,2023-12-13_14h46.19.659,game,2022.2.5,59.90642618902213,
8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,720.38795689994,720.38795689994,720.38795689994,721.400775999995,None,721.400775999995,721.400775999995,1,412.15789993293583,space,0.41215789993293583,721.835433100001,722.3735722999554,,,,,,,,,,,,,,,elpida_131223,001,2023-12-13_14h46.19.659,game,2022.2.5,59.90642618902213,
9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,722.3735722999554,722.3735722999554,723.3855958000058,724.3859022000106,None,724.3859022000106,724.3859022000106,1,340.69240000098944,space,0.34069240000098944,724.7527579999296,725.2538539000088,,,,,,,,,,,,,,,elpida_131223,001,2023-12-13_14h46.19.659,game,2022.2.5,59.90642618902213,
10,0,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,725.2538539000088,725.2538539000088,725.2538539000088,726.2538969999878,None,726.2538969999878,726.2538969999878,1,353.1857000198215,space,0.3531857000198215,726.6379554999294,727.1383673999226,,,,,,,,,,,,,,,elpida_131223,001,2023-12-13_14h46.19.659,game,2022.2.5,59.90642618902213,
11,0,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,727.1383673999226,727.1383673999226,728.14281999995,729.1405845999252,None,729.1405845999252,729.1405845999252,1,340.89289989788085,space,0.34089289989788085,729.507104499964,730.0071659999667,,,,,,,,,,,,,,,elpida_131223,001,2023-12-13_14h46.19.659,game,2022.2.5,59.90642618902213,
12,0,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,730.0071659999667,730.0071659999667,731.0086417999119,732.0106131000211,None,732.0106131000211,732.0106131000211,1,362.5541999936104,space,0.3625541999936104,732.4098834999604,732.9096979999449,,,,,,,,,,,,,,,elpida_131223,001,2023-12-13_14h46.19.659,game,2022.2.5,59.90642618902213,
13,0,13,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,732.9096979999449,732.9096979999449,735.9137322999304,736.9147904999554,None,736.9147904999554,736.9147904999554,1,364.84440008644015,space,0.36484440008644015,737.3131265999982,737.8162333000218,,,,,,,,,,,,,,,elpida_131223,001,2023-12-13_14h46.19.659,game,2022.2.5,59.90642618902213,
14,0,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,737.8162333000218,737.8162333000218,740.817563300021,741.817344799987,None,741.817344799987,741.817344799987,1,381.620500003919,space,0.381620500003919,742.218292000005,742.7187078999123,,,,,,,,,,,,,,,elpida_131223,001,2023-12-13_14h46.19.659,game,2022.2.5,59.90642618902213,
15,0,15,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,742.7187078999123,742.7187078999123,742.7187078999123,743.7202578999568,None,743.7202578999568,743.7202578999568,1,448.84780002757907,space,0.44884780002757907,744.1862799000228,744.6863800999708,,,,,,,,,,,,,,,elpida_131223,001,2023-12-13_14h46.19.659,game,2022.2.5,59.90642618902213,
16,0,16,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,744.6863800999708,744.6863800999708,744.6863800999708,745.6870088999858,None,745.6870088999858,745.6870088999858,1,337.98030007164925,space,0.33798030007164925,746.0540799999144,746.5540917000035,,,,,,,,,,,,,,,elpida_131223,001,2023-12-13_14h46.19.659,game,2022.2.5,59.90642618902213,
17,0,17,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,746.5540917000035,746.5540917000035,746.5540917000035,747.5551035000244,None,747.5551035000244,747.5551035000244,1,331.38560003135353,space,0.33138560003135353,747.907437399961,748.423415999976,,,,,,,,,,,,,,,elpida_131223,001,2023-12-13_14h46.19.659,game,2022.2.5,59.90642618902213,
18,0,18,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,748.423415999976,748.423415999976,748.423415999976,749.4240282999817,None,749.4240282999817,749.4240282999817,1,379.45220002438873,space,0.37945220002438873,749.8236753999954,750.3247450999916,,,,,,,,,,,,,,,elpida_131223,001,2023-12-13_14h46.19.659,game,2022.2.5,59.90642618902213,
19,0,19,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,750.3247450999916,750.3247450999916,753.3281585000223,754.3275009000208,None,754.3275009000208,754.3275009000208,1,369.13230002392083,space,0.36913230002392083,754.7117259999504,755.2127529999707,,,,,,,,,,,,,,,elpida_131223,001,2023-12-13_14h46.19.659,game,2022.2.5,59.90642618902213,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,755.2127529999707,755.2127529999707,space,3.1592860999517143,,,,,,,,,,,elpida_131223,001,2023-12-13_14h46.19.659,game,2022.2.5,59.90642618902213,
,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,758.3980422000168,758.3980422000168,0,9,6.420150400022976,,,,,,elpida_131223,001,2023-12-13_14h46.19.659,game,2022.2.5,59.90642618902213,
,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,765.3033783999272,765.3033783999272,0,0,5.778696900000796,,,,,,elpida_131223,001,2023-12-13_14h46.19.659,game,2022.2.5,59.90642618902213,
,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,771.5597462999867,771.5597462999867,2,4,22.90710890002083,,,,,,elpida_131223,001,2023-12-13_14h46.19.659,game,2022.2.5,59.90642618902213,
,,,,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,794.894360599923,794.894360599923,0,6,6.282915999996476,,,,,,elpida_131223,001,2023-12-13_14h46.19.659,game,2022.2.5,59.90642618902213,
,,,,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,801.5832504999125,801.5832504999125,1,9,9.778106200043112,,,,,,elpida_131223,001,2023-12-13_14h46.19.659,game,2022.2.5,59.90642618902213,
,,,,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,811.7428189999191,811.7428189999191,0,9,5.477406100020744,,,,,,elpida_131223,001,2023-12-13_14h46.19.659,game,2022.2.5,59.90642618902213,
,,,,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,817.6130216999445,817.6130216999445,0,0,3.4060191999888048,,,,,,elpida_131223,001,2023-12-13_14h46.19.659,game,2022.2.5,59.90642618902213,
,,,,7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,821.4680537999375,821.4680537999375,0,4,9.670951100066304,,,,,,elpida_131223,001,2023-12-13_14h46.19.659,game,2022.2.5,59.90642618902213,
,,,,8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,831.6082713999785,831.6082713999785,0,7,1.9911968000233173,,,,,,elpida_131223,001,2023-12-13_14h46.19.659,game,2022.2.5,59.90642618902213,
,,,,9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,834.0101982000051,834.0101982000051,0,4,3.763551300042309,,,,,,elpida_131223,001,2023-12-13_14h46.19.659,game,2022.2.5,59.90642618902213,
,,,,10,0,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,838.2308664999437,838.2308664999437,0,0,3.854607000015676,,,,,,elpida_131223,001,2023-12-13_14h46.19.659,game,2022.2.5,59.90642618902213,
,,,,11,0,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,842.5011605999898,842.5011605999898,1,9,11.56853150005918,,,,,,elpida_131223,001,2023-12-13_14h46.19.659,game,2022.2.5,59.90642618902213,
,,,,12,0,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,854.4609055999899,854.4609055999899,0,0,7.801903899991885,,,,,,elpida_131223,001,2023-12-13_14h46.19.659,game,2022.2.5,59.90642618902213,
,,,,13,0,13,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,862.717195999925,862.717195999925,,2,6.2641612000297755,,,,,,elpida_131223,001,2023-12-13_14h46.19.659,game,2022.2.5,59.90642618902213,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1878.5154330999358,1878.5154330999358,space,104.91519560001325,,elpida_131223,001,2023-12-13_14h46.19.659,game,2022.2.5,59.90642618902213,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1983.4471098999493,1983.4471098999493,space,187.05541600007564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,elpida_131223,001,2023-12-13_14h46.19.659,game,2022.2.5,59.90642618902213,
,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,4,2170.521165699931,2170.521165699931,2173.5218226999277,2174.524263600004,None,2174.524263600004,2174.524263600004,1,355.79699999652803,space,0.35579699999652803,2174.9619991999352,2175.4734982999507,,,,,,,,,,,,,,,elpida_131223,001,2023-12-13_14h46.19.659,game,2022.2.5,59.90642618902213,
,,,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,1,2175.4734982999507,2175.4734982999507,2175.4734982999507,2176.4747449000133,None,2176.4747449000133,2176.4747449000133,1,336.43439994193614,space,0.33643439994193614,2176.8416128000244,2177.3416559000034,,,,,,,,,,,,,,,elpida_131223,001,2023-12-13_14h46.19.659,game,2022.2.5,59.90642618902213,
,,,,,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,2,2177.3416559000034,2177.3416559000034,2178.3439738999587,2179.343484299956,None,2179.343484299956,2179.343484299956,1,369.21789997722954,space,0.36921789997722954,2179.726891599945,2180.2277790999506,,,,,,,,,,,,,,,elpida_131223,001,2023-12-13_14h46.19.659,game,2022.2.5,59.90642618902213,
,,,,,,,,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,4,2180.2277790999506,2180.2277790999506,2183.230595799978,2184.2665501999436,None,2184.2665501999436,2184.2665501999436,1,350.22789996583015,space,0.35022789996583015,2184.6478732000105,2185.1487944999244,,,,,,,,,,,,,,,elpida_131223,001,2023-12-13_14h46.19.659,game,2022.2.5,59.90642618902213,
