trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,text_2.started,key_resp.started,key_resp.keys,key_resp.rt,text_4.started,text_4.stopped,InstructionsText.started,InstrucKey.started,InstrucKey.keys,InstrucKey.rt,ISI,ISI_text.started,dontrespond.started,dontrespond.stopped,ISI_text.stopped,dontrespond.keys,Targetstim.started,Response.started,Accuracy,RTms,Response.keys,Response.rt,Feedback_text.started,Feedback_text.stopped,text_6.started,key_resp_2.started,key_resp_2.keys,key_resp_2.rt,key_resp_4.started,text_7.started,key_resp_4.keys,key_resp_4.rt,text_14.started,key_resp_7.started,key_resp_7.keys,key_resp_7.rt,text_13.started,key_resp_6.started,key_resp_6.keys,key_resp_6.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,25.700728499970865,25.700728499970865,space,33.261370500025805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,inaki_18_12_23,001,2023-12-18_15h08.51.078,game,2022.2.5,60.13695590309493,
,,,,,,,,,,,,,,,,,,,,58.98290409997571,88.99795930000255,88.99795930000255,88.99795930000255,space,14.520019499992486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,inaki_18_12_23,001,2023-12-18_15h08.51.078,game,2022.2.5,60.13695590309493,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,2,103.56245139997918,103.56245139997918,104.5659443999757,105.56635959999403,None,105.56635959999403,105.56635959999403,1,319.55150002613664,space,0.31955150002613664,105.92918639996788,106.44571649999125,,,,,,,,,,,,,,,,,inaki_18_12_23,001,2023-12-18_15h08.51.078,game,2022.2.5,60.13695590309493,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,4,106.44571649999125,106.44571649999125,,,None,,,0,nan,None,,111.43104589998256,111.95010059996275,,,,,,,,,,,,,,,,,inaki_18_12_23,001,2023-12-18_15h08.51.078,game,2022.2.5,60.13695590309493,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,3,111.95010059996275,111.95010059996275,,,None,,,0,nan,None,,116.94628279999597,117.44574279995868,,,,,,,,,,,,,,,,,inaki_18_12_23,001,2023-12-18_15h08.51.078,game,2022.2.5,60.13695590309493,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,4,117.44574279995868,117.44574279995868,,,None,,,0,nan,None,,122.4455195000046,122.94565169996349,,,,,,,,,,,,,,,,,inaki_18_12_23,001,2023-12-18_15h08.51.078,game,2022.2.5,60.13695590309493,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,3,122.94565169996349,122.94565169996349,124.94750099995872,125.94674489996396,None,125.94674489996396,125.94674489996396,1,371.7014999710955,space,0.3717014999710955,126.34538169996813,126.8461735000019,,,,,,,,,,,,,,,,,inaki_18_12_23,001,2023-12-18_15h08.51.078,game,2022.2.5,60.13695590309493,
5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,3,126.8461735000019,126.8461735000019,128.84531770000467,129.8456012000097,None,129.8456012000097,129.8456012000097,1,344.2672999808565,space,0.3442672999808565,130.22705300000962,130.72917659999803,,,,,,,,,,,,,,,,,inaki_18_12_23,001,2023-12-18_15h08.51.078,game,2022.2.5,60.13695590309493,
6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,3,130.72917659999803,130.72917659999803,132.72877579997294,133.7296900000074,None,133.7296900000074,133.7296900000074,1,316.66229997063056,space,0.31666229997063056,134.07855390000623,134.58280350000132,,,,,,,,,,,,,,,,,inaki_18_12_23,001,2023-12-18_15h08.51.078,game,2022.2.5,60.13695590309493,
7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,1,134.58280350000132,134.58280350000132,134.58280350000132,135.59628199995495,None,135.59628199995495,135.59628199995495,1,305.7584999478422,space,0.3057584999478422,135.92803089995869,136.42981899995357,,,,,,,,,,,,,,,,,inaki_18_12_23,001,2023-12-18_15h08.51.078,game,2022.2.5,60.13695590309493,
8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,3,136.42981899995357,136.42981899995357,138.43122389999917,139.45935859996825,None,139.45935859996825,139.45935859996825,1,322.6017000270076,space,0.3226017000270076,139.8115150000085,140.31198890000815,,,,,,,,,,,,,,,,,inaki_18_12_23,001,2023-12-18_15h08.51.078,game,2022.2.5,60.13695590309493,
9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,2,140.31198890000815,140.31198890000815,141.31333380000433,142.31118959997548,None,142.31118959997548,142.31118959997548,1,288.13479997916147,space,0.28813479997916147,142.62860699999146,143.12839129997883,,,,,,,,,,,,,,,,,inaki_18_12_23,001,2023-12-18_15h08.51.078,game,2022.2.5,60.13695590309493,
10,0,10,0,,,,,,,,,,,,,,,,,,,,,,,1,143.12839129997883,143.12839129997883,143.12839129997883,144.13069359998917,None,144.13069359998917,144.13069359998917,1,283.86750002391636,space,0.28386750002391636,144.44357879995368,144.98194799997145,,,,,,,,,,,,,,,,,inaki_18_12_23,001,2023-12-18_15h08.51.078,game,2022.2.5,60.13695590309493,
11,0,11,0,,,,,,,,,,,,,,,,,,,,,,,3,144.98194799997145,144.98194799997145,146.9944942999864,147.99434979999205,None,147.99434979999205,147.99434979999205,1,292.3931999830529,space,0.2923931999830529,148.32703250000486,148.82827649998944,,,,,,,,,,,,,,,,,inaki_18_12_23,001,2023-12-18_15h08.51.078,game,2022.2.5,60.13695590309493,
12,0,12,0,,,,,,,,,,,,,,,,,,,,,,,1,148.82827649998944,148.82827649998944,148.82827649998944,149.82761410000967,None,149.82761410000967,149.82761410000967,1,306.75250000786036,space,0.30675250000786036,150.16278579999926,150.6639064999763,,,,,,,,,,,,,,,,,inaki_18_12_23,001,2023-12-18_15h08.51.078,game,2022.2.5,60.13695590309493,
13,0,13,0,,,,,,,,,,,,,,,,,,,,,,,2,150.6639064999763,150.6639064999763,151.66746209998382,152.67817669996293,None,152.67817669996293,152.67817669996293,1,280.561099993065,space,0.280561099993065,152.99177899997449,153.49609939998481,,,,,,,,,,,,,,,,,inaki_18_12_23,001,2023-12-18_15h08.51.078,game,2022.2.5,60.13695590309493,
14,0,14,0,,,,,,,,,,,,,,,,,,,,,,,3,153.49609939998481,153.49609939998481,155.51393879996613,156.49507079995237,None,156.49507079995237,156.49507079995237,1,263.81939998827875,space,0.26381939998827875,156.79295370000182,157.30917129997397,,,,,,,,,,,,,,,,,inaki_18_12_23,001,2023-12-18_15h08.51.078,game,2022.2.5,60.13695590309493,
15,0,15,0,,,,,,,,,,,,,,,,,,,,,,,3,157.30917129997397,157.30917129997397,159.3164349999861,160.31028859998332,None,160.31028859998332,160.31028859998332,1,272.11879997048527,space,0.27211879997048527,160.60813680000138,161.12569229997462,,,,,,,,,,,,,,,,,inaki_18_12_23,001,2023-12-18_15h08.51.078,game,2022.2.5,60.13695590309493,
16,0,16,0,,,,,,,,,,,,,,,,,,,,,,,1,161.12569229997462,161.12569229997462,161.12569229997462,162.14149599999655,None,162.14149599999655,162.14149599999655,1,296.7792000272311,space,0.2967792000272311,162.4608614000026,162.96304750000127,,,,,,,,,,,,,,,,,inaki_18_12_23,001,2023-12-18_15h08.51.078,game,2022.2.5,60.13695590309493,
17,0,17,0,,,,,,,,,,,,,,,,,,,,,,,3,162.96304750000127,162.96304750000127,164.97668889997294,165.97682879999047,None,165.97682879999047,165.97682879999047,1,285.44990002410486,space,0.28544990002410486,166.29097559995716,166.79512759996578,,,,,,,,,,,,,,,,,inaki_18_12_23,001,2023-12-18_15h08.51.078,game,2022.2.5,60.13695590309493,
18,0,18,0,,,,,,,,,,,,,,,,,,,,,,,3,166.79512759996578,166.79512759996578,168.80973459995585,169.80954240000574,None,169.80954240000574,169.80954240000574,1,270.75550000881776,space,0.27075550000881776,170.10813429998234,170.60959770000773,,,,,,,,,,,,,,,,,inaki_18_12_23,001,2023-12-18_15h08.51.078,game,2022.2.5,60.13695590309493,
19,0,19,0,,,,,,,,,,,,,,,,,,,,,,,1,170.60959770000773,170.60959770000773,170.60959770000773,171.61103129998082,None,171.61103129998082,171.61103129998082,1,419.826400000602,space,0.419826400000602,172.0752768999664,172.57615959999384,,,,,,,,,,,,,,,,,inaki_18_12_23,001,2023-12-18_15h08.51.078,game,2022.2.5,60.13695590309493,
20,0,20,0,,,,,,,,,,,,,,,,,,,,,,,1,172.57615959999384,172.57615959999384,172.57615959999384,173.57645900000352,None,173.57645900000352,173.57645900000352,1,270.74350003385916,space,0.27074350003385916,173.8756470999797,174.37740939995274,,,,,,,,,,,,,,,,,inaki_18_12_23,001,2023-12-18_15h08.51.078,game,2022.2.5,60.13695590309493,
21,0,21,0,,,,,,,,,,,,,,,,,,,,,,,2,174.37740939995274,174.37740939995274,175.37776249996386,176.37594169995282,None,176.37594169995282,176.37594169995282,1,286.0573999932967,space,0.2860573999932967,176.69043389998842,177.1969892999623,,,,,,,,,,,,,,,,,inaki_18_12_23,001,2023-12-18_15h08.51.078,game,2022.2.5,60.13695590309493,
22,0,22,0,,,,,,,,,,,,,,,,,,,,,,,2,177.1969892999623,177.1969892999623,178.21233139996184,179.20993229997111,None,179.20993229997111,179.20993229997111,1,340.256399998907,space,0.340256399998907,179.5763410999789,180.07881609996548,,,,,,,,,,,,,,,,,inaki_18_12_23,001,2023-12-18_15h08.51.078,game,2022.2.5,60.13695590309493,
