trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text_2.started,key_resp.started,key_resp.keys,key_resp.rt,text_13.started,key_resp_6.started,key_resp_6.keys,key_resp_6.rt,InstructionsText.started,InstrucKey.started,InstrucKey.keys,InstrucKey.rt,ISI,ISI_text.started,dontrespond.started,dontrespond.keys,Accuracy,RTms,Response.keys,Feedback_text.started,Feedback_text.stopped,dontrespond.stopped,ISI_text.stopped,Targetstim.started,Response.started,Targetstim.stopped,Response.stopped,text_6.started,key_resp_2.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,19.455981000035536,19.455981000035536,space,29.79279040003894,,,,,,,,,,,,,,,,,,,,,,,,,,inaki_2,001,2023-12-18_16h05.51.227,game,2022.2.5,59.97641726771416,
,,,,,,,,49.27154540002812,49.27154540002812,space,21.783132799959276,,,,,,,,,,,,,,,,,,,,,,inaki_2,001,2023-12-18_16h05.51.227,game,2022.2.5,59.97641726771416,
,,,,,,,,,,,,71.10912080004346,71.10912080004346,space,1.3054439999978058,,,,,,,,,,,,,,,,,,inaki_2,001,2023-12-18_16h05.51.227,game,2022.2.5,59.97641726771416,
0,0,0,0,,,,,,,,,,,,,3,72.4558199000312,72.4558199000312,None,0,nan,None,79.0857476000092,79.5858697000076,,,,,,,,,inaki_2,001,2023-12-18_16h05.51.227,game,2022.2.5,59.97641726771416,
1,0,1,0,,,,,,,,,,,,,2,79.5858697000076,79.5858697000076,None,0,nan,None,84.58850160002476,85.08828850003192,,,,,,,,,inaki_2,001,2023-12-18_16h05.51.227,game,2022.2.5,59.97641726771416,
2,0,2,0,,,,,,,,,,,,,1,85.08828850003192,85.08828850003192,None,1,4999.192500021309,None,91.10374809999485,91.61872490000678,85.08828850003192,86.10285890003433,86.10285890003433,86.10285890003433,91.10374809999485,91.10374809999485,,,inaki_2,001,2023-12-18_16h05.51.227,game,2022.2.5,59.97641726771416,
3,0,3,0,,,,,,,,,,,,,4,91.61872490000678,91.61872490000678,None,,,None,100.63393350003753,101.13471040001605,94.64417220000178,95.62068500003079,95.62068500003079,95.62068500003079,,,,,inaki_2,001,2023-12-18_16h05.51.227,game,2022.2.5,59.97641726771416,
4,0,4,0,,,,,,,,,,,,,2,101.13471040001605,101.13471040001605,None,1,4994.51869999757,None,108.1370789000066,108.63451040000655,102.13466250000056,103.14982809999492,103.14982809999492,103.14982809999492,,,,,inaki_2,001,2023-12-18_16h05.51.227,game,2022.2.5,59.97641726771416,
5,0,5,0,,,,,,,,,,,,,1,108.63451040000655,108.63451040000655,None,1,4997.538499999791,None,114.64958480000496,115.15072920004604,108.63451040000655,109.63737609999953,109.63737609999953,109.63737609999953,,,,,inaki_2,001,2023-12-18_16h05.51.227,game,2022.2.5,59.97641726771416,
6,0,6,0,,,,,,,,,,,,,2,115.15072920004604,115.15072920004604,None,1,4996.5260999742895,None,122.154788200045,122.6720235000248,116.15696920000482,117.15084690001095,117.15084690001095,117.15084690001095,122.154788200045,122.154788200045,,,inaki_2,001,2023-12-18_16h05.51.227,game,2022.2.5,59.97641726771416,
7,0,7,0,,,,,,,,,,,,,1,122.6720235000248,122.6720235000248,None,1,4993.660699983593,None,128.66744970000582,129.16724050004268,122.6720235000248,123.68366680003237,123.68366680003237,123.68366680003237,,,,,inaki_2,001,2023-12-18_16h05.51.227,game,2022.2.5,59.97641726771416,
8,0,8,0,,,,,,,,,,,,,4,129.16724050004268,129.16724050004268,None,1,4998.724400007632,None,138.18351579998853,138.71968490001746,132.18891100003384,133.16743299999507,133.16743299999507,133.16743299999507,138.18351579998853,138.18351579998853,,,inaki_2,001,2023-12-18_16h05.51.227,game,2022.2.5,59.97641726771416,
9,0,9,0,,,,,,,,,,,,,4,138.71968490001746,138.71968490001746,None,,,None,147.7483059000224,148.25100240000756,141.73305690003326,142.7322990000248,142.7322990000248,142.7322990000248,,,,,inaki_2,001,2023-12-18_16h05.51.227,game,2022.2.5,59.97641726771416,
10,0,10,0,,,,,,,,,,,,,4,148.25100240000756,148.25100240000756,None,1,4998.618500016164,None,157.2642742000171,157.76661009999225,151.2511940000113,152.26543810003204,152.26543810003204,152.26543810003204,157.2642742000171,157.2642742000171,,,inaki_2,001,2023-12-18_16h05.51.227,game,2022.2.5,59.97641726771416,
11,0,11,0,,,,,,,,,,,,,2,157.76661009999225,157.76661009999225,None,1,4997.646000003442,None,164.76518909999868,165.26422950002598,158.80158830003347,159.76652210002067,159.76652210002067,159.76652210002067,164.76518909999868,164.76518909999868,,,inaki_2,001,2023-12-18_16h05.51.227,game,2022.2.5,59.97641726771416,
12,0,12,0,,,,,,,,,,,,,4,165.26422950002598,165.26422950002598,None,1,4999.372999998741,None,174.26367820001906,174.76392040000064,168.2653443000163,169.26499410002725,169.26499410002725,169.26499410002725,174.26367820001906,174.26367820001906,,,inaki_2,001,2023-12-18_16h05.51.227,game,2022.2.5,59.97641726771416,
13,0,13,0,,,,,,,,,,,,,3,174.76392040000064,174.76392040000064,None,1,4997.39309999859,None,182.76470580004388,183.2672518999898,176.78646780003328,177.76404139999067,177.76404139999067,177.76404139999067,182.76470580004388,182.76470580004388,,,inaki_2,001,2023-12-18_16h05.51.227,game,2022.2.5,59.97641726771416,
14,0,14,0,,,,,,,,,,,,,2,183.2672518999898,183.2672518999898,None,1,4999.0373000036925,None,190.2835167000303,190.79877709998982,184.28095990000293,185.2795679999981,185.2795679999981,185.2795679999981,190.2835167000303,190.2835167000303,,,inaki_2,001,2023-12-18_16h05.51.227,game,2022.2.5,59.97641726771416,
15,0,15,0,,,,,,,,,,,,,4,190.79877709998982,190.79877709998982,None,1,4997.1121000126,None,199.82877240004018,200.3297159000067,193.81415660004131,194.85135589999845,194.85135589999845,194.85135589999845,,,,,inaki_2,001,2023-12-18_16h05.51.227,game,2022.2.5,59.97641726771416,
16,0,16,0,,,,,,,,,,,,,1,200.3297159000067,200.3297159000067,None,1,4994.417499983683,None,206.3311601000023,206.84689320001053,200.3297159000067,201.34673680004198,201.34673680004198,201.34673680004198,,,,,inaki_2,001,2023-12-18_16h05.51.227,game,2022.2.5,59.97641726771416,
17,0,17,0,,,,,,,,,,,,,3,206.84689320001053,206.84689320001053,None,,,None,214.89476580003975,215.39474260003772,208.8470518999966,209.87756470002932,209.87756470002932,209.87756470002932,,,,,inaki_2,001,2023-12-18_16h05.51.227,game,2022.2.5,59.97641726771416,
18,0,18,0,,,,,,,,,,,,,2,215.39474260003772,215.39474260003772,None,1,4998.01620002836,None,222.41252469999017,222.91515290003736,216.39793580002151,217.39524270000402,217.39524270000402,217.39524270000402,222.41252469999017,222.41252469999017,,,inaki_2,001,2023-12-18_16h05.51.227,game,2022.2.5,59.97641726771416,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,222.91515290003736,222.91515290003736,,,,,,,
