trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,text_2.started,key_resp.started,key_resp.keys,key_resp.rt,text_4.started,text_4.stopped,InstructionsText.started,InstrucKey.started,InstrucKey.keys,InstrucKey.rt,ISI,ISI_text.started,dontrespond.started,dontrespond.stopped,ISI_text.stopped,dontrespond.keys,Targetstim.started,Response.started,Accuracy,RTms,Response.keys,Response.rt,Feedback_text.started,Feedback_text.stopped,text_6.started,key_resp_2.started,key_resp_2.keys,key_resp_2.rt,key_resp_4.started,text_7.started,key_resp_4.keys,key_resp_4.rt,text_14.started,key_resp_7.started,key_resp_7.keys,key_resp_7.rt,text_13.started,key_resp_6.started,key_resp_6.keys,key_resp_6.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,29.63301049999427,29.63301049999427,space,1071.303906599991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leonard,001,2023-12-20_14h58.01.875,game,2022.2.5,60.23943972490437,
,,,,,,,,,,,,,,,,,,,,1100.970112299954,1130.9853784999577,1130.9853784999577,1130.9853784999577,space,24.112326100002974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leonard,001,2023-12-20_14h58.01.875,game,2022.2.5,60.23943972490437,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,2,1155.1162358999718,1155.1162358999718,1156.1185230999836,1157.1162588999723,None,1157.1162588999723,1157.1162588999723,1,380.5818000109866,space,0.3805818000109866,1157.5322391999653,1158.048784499988,,,,,,,,,,,,,,,,,leonard,001,2023-12-20_14h58.01.875,game,2022.2.5,60.23943972490437,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,1,1158.048784499988,1158.048784499988,1158.048784499988,,None,,,0,nan,None,,1163.0339561,1163.5494253999786,,,,,,,,,,,,,,,,,leonard,001,2023-12-20_14h58.01.875,game,2022.2.5,60.23943972490437,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,4,1163.5494253999786,1163.5494253999786,,,None,,,0,nan,None,,1168.5491622999543,1169.0491555999615,,,,,,,,,,,,,,,,,leonard,001,2023-12-20_14h58.01.875,game,2022.2.5,60.23943972490437,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,4,1169.0491555999615,1169.0491555999615,1172.0491633999627,1173.048597899964,None,1173.048597899964,1173.048597899964,1,497.11090000346303,space,0.49711090000346303,1173.5659795999527,1174.0680703999824,,,,,,,,,,,,,,,,,leonard,001,2023-12-20_14h58.01.875,game,2022.2.5,60.23943972490437,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,2,1174.0680703999824,1174.0680703999824,1175.0688858999638,1176.0821185999666,None,1176.0821185999666,1176.0821185999666,1,494.63440000545233,space,0.49463440000545233,1176.614768999978,1177.1175879999646,,,,,,,,,,,,,,,,,leonard,001,2023-12-20_14h58.01.875,game,2022.2.5,60.23943972490437,
5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,3,1177.1175879999646,1177.1175879999646,1179.132422900002,1180.132489199983,None,1180.132489199983,1180.132489199983,1,508.4369999822229,space,0.5084369999822229,1180.6977130000014,1181.1983597999788,,,,,,,,,,,,,,,,,leonard,001,2023-12-20_14h58.01.875,game,2022.2.5,60.23943972490437,
6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,1,1181.1983597999788,1181.1983597999788,1181.1983597999788,1182.1985128999804,None,1182.1985128999804,1182.1985128999804,1,466.38629998778924,space,0.46638629998778924,1182.698028099956,1183.2163421000005,,,,,,,,,,,,,,,,,leonard,001,2023-12-20_14h58.01.875,game,2022.2.5,60.23943972490437,
7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,4,1183.2163421000005,1183.2163421000005,1186.2316067999927,1187.231731399952,None,1187.231731399952,1187.231731399952,1,433.11500002164394,space,0.43311500002164394,1187.6817086999654,1188.1847285999684,,,,,,,,,,,,,,,,,leonard,001,2023-12-20_14h58.01.875,game,2022.2.5,60.23943972490437,
