trial,file,corrAns,tone,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instructions.started,key_resp_1.started,key_resp_1.keys,key_resp_1.rt,fixation.started,response.started,sound_1.started,response.stopped,response.keys,response.corr,feedback_text.started,sound_1.stopped,instructions_2.started,key_resp_2.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,10.804119099999753,10.804119099999753,space,1.7102679000004173,,,,,,,,,,,,001,2023-10-18_13h05.51.120,Oddball_task,2022.2.5,59.359968942918,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,250,0,0,0,1,,,,,12.550897300000088,13.519195800000034,13.519412600000123,16.018344099999922,None,1,16.051475499999924,,,,,001,2023-10-18_13h05.51.120,Oddball_task,2022.2.5,59.359968942918,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,250,0,1,1,0,,,,,17.05157589999999,18.03523580000001,18.035475300000144,20.534793199999967,None,1,20.551803199999995,,,,,001,2023-10-18_13h05.51.120,Oddball_task,2022.2.5,59.359968942918,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,1200,0,2,2,4,,,,,21.55183880000004,22.535581699999966,22.535125099999732,25.035487600000124,None,0,25.051682100000107,,,,,001,2023-10-18_13h05.51.120,Oddball_task,2022.2.5,59.359968942918,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,250,0,3,3,3,,,,,26.0518404999998,27.03481959999999,27.035040599999775,29.534976899999947,None,1,29.551664199999777,,,,,001,2023-10-18_13h05.51.120,Oddball_task,2022.2.5,59.359968942918,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,251,0,4,4,2,,,,,30.551720299999943,31.534804599999916,31.534791499999756,34.034797400000116,None,1,34.05182590000004,,,,,001,2023-10-18_13h05.51.120,Oddball_task,2022.2.5,59.359968942918,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,251,1,0,5,2,,,,,35.052106000000094,36.03501400000005,36.035118799999964,38.53502769999977,None,1,38.55195259999982,,,,,001,2023-10-18_13h05.51.120,Oddball_task,2022.2.5,59.359968942918,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,250,1,1,6,3,,,,,39.55201399999987,40.53493159999971,40.53497460000017,43.034803199999715,None,1,43.0521318000001,,,,,001,2023-10-18_13h05.51.120,Oddball_task,2022.2.5,59.359968942918,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,250,1,2,7,0,,,,,44.05204109999977,45.03490729999976,45.034967199999755,47.53492169999981,None,1,47.551834999999755,,,,,001,2023-10-18_13h05.51.120,Oddball_task,2022.2.5,59.359968942918,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,1200,1,3,8,4,,,,,48.5527019000001,49.53493070000013,49.53517719999991,52.03502769999977,None,0,52.051994999999806,50.53509559999975,,,,001,2023-10-18_13h05.51.120,Oddball_task,2022.2.5,59.359968942918,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,250,1,4,9,1,,,,,53.0540447999997,54.01899569999978,54.02033729999994,56.51975709999988,None,1,56.557408600000144,,,,,001,2023-10-18_13h05.51.120,Oddball_task,2022.2.5,59.359968942918,
,,,,,,,,,,,,,,,,,,,,57.53570929999978,57.53570929999978,,,,,,,
