trial,file,corrAns,tone,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,instructions.started,key_resp_1.started,key_resp_1.keys,key_resp_1.rt,fixation.started,response.started,sound_1.started,fixation.stopped,response.stopped,FixDur,response.keys,response.corr,sound_1.stopped,response.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,12.572427500010235,12.572427500010235,space,7.121268099988811,,,,,,,,,,,,001,2023-10-25_15h47.30.264,Oddball_task,2022.2.5,59.90337584776224,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,0,0,0,1,,,,,19.73772530001588,20.721857500000624,20.721867189995827,22.139835600013612,22.72182000000612,2.397913304842855,None,1,,,,001,2023-10-25_15h47.30.264,Oddball_task,2022.2.5,59.90337584776224,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,2000,0,1,1,3,,,,,22.72182000000612,23.721987400000216,23.721892890016896,25.28853370001889,25.722252600011416,2.555982045320852,None,0,,,,001,2023-10-25_15h47.30.264,Oddball_task,2022.2.5,59.90337584776224,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,0,2,2,0,,,,,25.722252600011416,26.722410200018203,26.722108690001185,28.105707600014284,28.72250500001246,2.372409644643218,t,0,27.721767600014573,1.3559293999860529,,001,2023-10-25_15h47.30.264,Oddball_task,2022.2.5,59.90337584776224,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,0,3,3,2,,,,,28.72250500001246,29.722313500009477,29.721688490002997,30.838651400001254,31.722027200012235,2.1125556708470237,None,1,,,,001,2023-10-25_15h47.30.264,Oddball_task,2022.2.5,59.90337584776224,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,1,0,4,2,,,,,31.722027200012235,32.72213200002443,32.72167979002406,34.02215020000585,34.72208070001216,2.28521069290979,None,1,,,,001,2023-10-25_15h47.30.264,Oddball_task,2022.2.5,59.90337584776224,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,1,1,5,1,,,,,34.72208070001216,35.72251079999842,35.72209569001861,37.45538980001584,37.72243910000543,2.7180435108305483,None,1,,,,001,2023-10-25_15h47.30.264,Oddball_task,2022.2.5,59.90337584776224,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,1,2,6,0,,,,,37.72243910000543,38.723033000016585,38.722222490023704,41.42195390001871,40.722202800010564,3.6839752003573927,None,1,,,,001,2023-10-25_15h47.30.264,Oddball_task,2022.2.5,59.90337584776224,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,2000,1,3,7,3,,,,,41.42195390001871,42.42288900000858,42.42178979000018,44.0554822999984,44.42230780000682,2.63251211776178,t,1,,1.0554365999996662,,001,2023-10-25_15h47.30.264,Oddball_task,2022.2.5,59.90337584776224,
,,,,,,,,,,,,44.42230780000682,45.42250710001099,45.42216659001715,,,,,,,,,,,,,,
