trial,file,corrAns,tone,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,instructions.started,key_resp_1.started,key_resp_1.keys,key_resp_1.rt,fixation.started,response.started,sound_1.started,fixation.stopped,response.stopped,FixDur,response.keys,response.corr,sound_1.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,17.387673199991696,17.387673199991696,space,2.970071999996435,,,,,,,,,,,001,2023-10-31_11h15.00.659,Oddball_task,2022.2.5,59.974690683309234,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,2000,0,0,0,3,,,,,20.436575800005812,21.386789300013334,21.3873234500119,22.67119389999425,23.386219499981962,2.23179772227172,None,0,,,001,2023-10-31_11h15.00.659,Oddball_task,2022.2.5,59.974690683309234,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,0,1,1,0,,,,,23.386219499981962,24.38639649999095,24.385761649993945,26.86966470000334,26.386349899985362,3.472683514352207,None,1,,,001,2023-10-31_11h15.00.659,Oddball_task,2022.2.5,59.974690683309234,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,0,2,2,2,,,,,26.86966470000334,27.85517009999603,27.85387544998084,29.77061369997682,29.87064179999288,2.9005426760645787,None,1,,,001,2023-10-31_11h15.00.659,Oddball_task,2022.2.5,59.974690683309234,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,0,3,3,1,,,,,29.87064179999288,30.87096670002211,30.870241349976276,33.619995400018524,32.88632350001717,3.7411765248050255,None,1,,,001,2023-10-31_11h15.00.659,Oddball_task,2022.2.5,59.974690683309234,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,1,0,4,0,,,,,33.619995400018524,34.61972539999988,34.619646649988134,37.27094620000571,36.62003910000203,3.6373865287088067,None,1,,,001,2023-10-31_11h15.00.659,Oddball_task,2022.2.5,59.974690683309234,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,1,1,5,1,,,,,37.27094620000571,38.270392999984324,38.269093049986985,39.93740200001048,40.27087170002051,2.6646641567996436,None,1,,,001,2023-10-31_11h15.00.659,Oddball_task,2022.2.5,59.974690683309234,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,2000,1,2,6,3,,,,,40.27087170002051,41.269557400024496,41.269777650019385,44.00541310000699,43.27119569998467,3.7261414000679425,None,0,,,001,2023-10-31_11h15.00.659,Oddball_task,2022.2.5,59.974690683309234,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,1,3,7,2,,,,,44.00541310000699,45.0048475000076,45.00521774998051,46.521960799989756,47.020240999991074,2.512268654273625,None,1,,,001,2023-10-31_11h15.00.659,Oddball_task,2022.2.5,59.974690683309234,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,2,0,8,0,,,,,47.020240999991074,48.020781499973964,48.01959405001835,49.25282029999653,50.03677740000421,2.2268153278268437,None,1,,,001,2023-10-31_11h15.00.659,Oddball_task,2022.2.5,59.974690683309234,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,2,1,9,2,,,,,50.03677740000421,51.0363305999781,51.03662134998594,53.33671649999451,53.03654459997779,3.2853034513375814,None,1,,,001,2023-10-31_11h15.00.659,Oddball_task,2022.2.5,59.974690683309234,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,2000,2,2,10,3,,,,,53.33671649999451,54.33650049997959,54.33644375001895,56.28663879999658,56.33723100001225,2.946021241906363,None,0,,,001,2023-10-31_11h15.00.659,Oddball_task,2022.2.5,59.974690683309234,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,2,3,11,1,,,,,56.33723100001225,57.33663869998418,57.3366627499985,59.787785699998494,59.33632810000563,3.4407827125612878,None,1,,,001,2023-10-31_11h15.00.659,Oddball_task,2022.2.5,59.974690683309234,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,2000,3,0,12,3,,,,,59.787785699998494,60.78857259999495,60.78617094999063,63.78686759999255,62.802895899978466,3.9957517191258685,None,0,,,001,2023-10-31_11h15.00.659,Oddball_task,2022.2.5,59.974690683309234,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,3,1,13,2,,,,,63.78686759999255,64.78694780002115,64.78743685002556,66.31967130000703,66.7866579000256,2.5313746206762415,None,1,,,001,2023-10-31_11h15.00.659,Oddball_task,2022.2.5,59.974690683309234,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,3,2,14,1,,,,,66.7866579000256,67.78664609999396,67.786607249995,69.35328149999259,69.78716080001323,2.5519770765831304,None,1,,,001,2023-10-31_11h15.00.659,Oddball_task,2022.2.5,59.974690683309234,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,3,3,15,0,,,,,69.78716080001323,70.78663420001976,70.78632745001815,72.95341700001154,72.78700279997429,3.159912641782153,None,1,,,001,2023-10-31_11h15.00.659,Oddball_task,2022.2.5,59.974690683309234,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,4,0,16,0,,,,,72.95341700001154,73.95291120000184,73.95291145000957,75.18674279999686,75.95337429997744,2.2214430872734883,None,1,,,001,2023-10-31_11h15.00.659,Oddball_task,2022.2.5,59.974690683309234,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,4,1,17,1,,,,,75.95337429997744,76.95304400002351,76.95324765000842,78.23695230000885,78.95297149999533,2.2696371997423803,None,1,,,001,2023-10-31_11h15.00.659,Oddball_task,2022.2.5,59.974690683309234,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,4,2,18,2,,,,,78.95297149999533,79.95310450001853,79.95363745000796,82.5535041000112,81.95456440001726,3.587688865867626,None,1,,,001,2023-10-31_11h15.00.659,Oddball_task,2022.2.5,59.974690683309234,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,2000,4,3,19,3,,,,,82.5535041000112,83.55333869997412,83.55263425002923,85.75544610002544,85.55329170002369,3.198100512840342,None,0,,,001,2023-10-31_11h15.00.659,Oddball_task,2022.2.5,59.974690683309234,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,5,0,20,1,,,,,85.75544610002544,86.75354080001125,86.75371254998609,87.86983280000277,88.75404049997451,2.098960984452135,None,1,,,001,2023-10-31_11h15.00.659,Oddball_task,2022.2.5,59.974690683309234,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,5,1,21,0,,,,,88.75404049997451,89.75359269999899,89.7571362499788,90.83679899998242,91.75377140002092,2.0694431106555733,None,1,,,001,2023-10-31_11h15.00.659,Oddball_task,2022.2.5,59.974690683309234,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,5,2,22,2,,,,,91.75377140002092,92.75410939997528,92.75376614998677,95.60312129999511,94.75336969998898,3.8474796018707433,None,1,93.7537091000122,,001,2023-10-31_11h15.00.659,Oddball_task,2022.2.5,59.974690683309234,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,2000,5,3,23,3,,,,,95.60312129999511,96.60453479998978,96.60433815001161,99.32082189997891,98.60410039999988,3.7036698942207122,None,0,,,001,2023-10-31_11h15.00.659,Oddball_task,2022.2.5,59.974690683309234,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,6,0,24,0,,,,,99.32082189997891,100.3218113000039,100.31952095003217,102.78686529997503,102.33708989998559,3.45330834837667,None,1,,,001,2023-10-31_11h15.00.659,Oddball_task,2022.2.5,59.974690683309234,
,,,,,,,,,,,,102.78686529997503,,,,,,,,,,,,,,,
