trial,file,corrAns,tone,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,instructions.started,key_resp_1.started,key_resp_1.keys,key_resp_1.rt,fixation.started,response.started,sound_1.started,sound_1.stopped,response.stopped,fixation.stopped,FixDur,response.keys,response.corr,response.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,14.87728379998589,14.87728379998589,space,6.279639100015629,,,,,,,,,,,,001,2023-10-31_11h33.24.079,Oddball_task,2022.2.5,60.18353570676566,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,0,0,0,2,,,,,21.189340299984906,22.174773399950936,22.17330299995374,23.17474799999036,24.175714099954348,26.140270599978976,4.947692590843481,None,1,,,001,2023-10-31_11h33.24.079,Oddball_task,2022.2.5,60.18353570676566,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,0,1,1,1,,,,,26.140270599978976,27.141796999960206,27.141028399951757,,29.157267300004605,32.08993499999633,5.935244431043784,None,1,,,001,2023-10-31_11h33.24.079,Oddball_task,2022.2.5,60.18353570676566,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,0,2,2,0,,,,,32.08993499999633,33.090545399987604,33.09039859999903,,35.09072829998331,35.591346799978055,3.488515285668569,None,1,,,001,2023-10-31_11h33.24.079,Oddball_task,2022.2.5,60.18353570676566,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,2000,0,3,3,3,,,,,35.591346799978055,36.59082979999948,36.59039469996933,,38.590091999969445,38.92426299996441,3.318425131261063,t,1,0.6792630999698304,,001,2023-10-31_11h33.24.079,Oddball_task,2022.2.5,60.18353570676566,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,2000,1,0,4,3,,,,,38.92426299996441,39.92353849997744,39.92430099998601,,41.92434179998236,41.823572399967816,2.885874298379431,t,1,0.9618136999779381,,001,2023-10-31_11h33.24.079,Oddball_task,2022.2.5,60.18353570676566,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,1,1,5,0,,,,,41.92434179998236,42.924341599980835,42.92364819996292,,44.92461339995498,44.840904899989255,2.910983878978818,None,1,,,001,2023-10-31_11h33.24.079,Oddball_task,2022.2.5,60.18353570676566,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,1,2,6,1,,,,,44.92461339995498,45.92463579995092,45.9236083999509,,47.924230100004934,47.34331219998421,2.4071475171599404,None,1,,,001,2023-10-31_11h33.24.079,Oddball_task,2022.2.5,60.18353570676566,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,1,3,7,2,,,,,47.924230100004934,48.90817369997967,48.9094935999834,,50.90725759998895,50.45794689998729,2.5313021851571254,None,1,,,001,2023-10-31_11h33.24.079,Oddball_task,2022.2.5,60.18353570676566,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,2,0,8,1,,,,,50.90725759998895,51.90708759997506,51.908353999978864,,53.90914449997945,53.52503609994892,2.606738561793573,None,1,,,001,2023-10-31_11h33.24.079,Oddball_task,2022.2.5,60.18353570676566,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,2000,2,1,9,3,,,,,53.90914449997945,54.90802390000317,54.90824089999078,,56.90976819995558,59.689999700000044,5.7801284032515206,t,1,0.6811988000408746,,001,2023-10-31_11h33.24.079,Oddball_task,2022.2.5,60.18353570676566,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,2,2,10,0,,,,,59.689999700000044,60.690402399981394,60.69118329995545,,62.69048499997007,61.84124869998777,2.138700624610206,None,1,,,001,2023-10-31_11h33.24.079,Oddball_task,2022.2.5,60.18353570676566,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,2,3,11,2,,,,,62.69048499997007,63.69058929994935,63.69128890000284,,65.69065839995164,67.92387409997173,5.2340278006316305,None,1,,,001,2023-10-31_11h33.24.079,Oddball_task,2022.2.5,60.18353570676566,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,3,0,12,0,,,,,67.92387409997173,68.92432859999826,68.92493949995841,,70.92402099998435,70.49117489997298,2.5525366086592007,None,1,,,001,2023-10-31_11h33.24.079,Oddball_task,2022.2.5,60.18353570676566,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,3,1,13,1,,,,,70.92402099998435,71.92390569997951,71.92474399998318,,73.9239768999978,75.4909918999765,4.558217559742067,None,1,,,001,2023-10-31_11h33.24.079,Oddball_task,2022.2.5,60.18353570676566,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,3,2,14,2,,,,,75.4909918999765,76.49048029998085,76.49130819996353,,78.49205989995971,80.24149059999036,4.735301864817616,None,1,,,001,2023-10-31_11h33.24.079,Oddball_task,2022.2.5,60.18353570676566,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,2000,3,3,15,3,,,,,80.24149059999036,81.24123579997104,81.24002120000077,,83.24187599995639,83.77458219998516,3.5199590168574537,t,1,0.6035018999828026,,001,2023-10-31_11h33.24.079,Oddball_task,2022.2.5,60.18353570676566,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,2000,4,0,16,3,,,,,83.77458219998516,84.77510519995121,84.77476889997487,,86.77439029997913,86.89148160000332,3.102464269903081,t,1,0.6462177999783307,,001,2023-10-31_11h33.24.079,Oddball_task,2022.2.5,60.18353570676566,
