trial,file,corrAns,tone,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,instructions.started,key_resp_1.started,key_resp_1.keys,key_resp_1.rt,fixation.started,response.started,sound_1.started,fixation.stopped,response.stopped,FixDur,response.keys,response.corr,response.rt,sound_1.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,11.860043200023938,11.860043200023938,space,4.421647400013171,,,,,,,,,,,,001,2023-10-31_11h36.22.448,Oddball_task,2022.2.5,59.92800247981312,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,0,0,0,2,,,,,16.341398200020194,17.307714299997315,17.308665949990974,18.508155599993188,19.30841260001762,2.160931315474812,None,1,,,,001,2023-10-31_11h36.22.448,Oddball_task,2022.2.5,59.92800247981312,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,2000,0,1,1,3,,,,,19.30841260001762,20.309579099994153,20.308403150027154,21.658728600014,22.325728200026788,2.3402453205390774,t,1,1.1320405000005849,,,001,2023-10-31_11h36.22.448,Oddball_task,2022.2.5,59.92800247981312,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,0,2,2,0,,,,,22.325728200026788,23.32471340004122,23.324866250006018,25.14148859999841,25.325378900044598,2.8069833708714103,None,1,,,,001,2023-10-31_11h36.22.448,Oddball_task,2022.2.5,59.92800247981312,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,0,3,3,1,,,,,25.325378900044598,26.324722599994857,26.32467735002283,29.991863700037356,28.325362500036135,4.6616267520689,None,1,,27.32506140001351,,001,2023-10-31_11h36.22.448,Oddball_task,2022.2.5,59.92800247981312,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,2000,1,0,4,3,,,,,29.991863700037356,30.99156660004519,30.992220050038306,32.741718400036916,32.992518300015945,2.7493045454533056,t,1,0.7384970000130124,,,001,2023-10-31_11h36.22.448,Oddball_task,2022.2.5,59.92800247981312,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,1,1,5,0,,,,,32.992518300015945,33.99188710004091,33.99109275001101,35.67417270003352,35.991145400039386,2.671225083844847,None,1,,,,001,2023-10-31_11h36.22.448,Oddball_task,2022.2.5,59.92800247981312,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,1,2,6,2,,,,,35.991145400039386,36.99167870002566,36.99188494998962,40.80832070001634,38.99132390000159,4.803493923986576,None,1,,,,001,2023-10-31_11h36.22.448,Oddball_task,2022.2.5,59.92800247981312,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,1,3,7,1,,,,,40.80832070001634,41.80831220000982,41.80865265000612,43.97517930000322,43.81022079999093,3.1570926171945564,None,1,,,,001,2023-10-31_11h36.22.448,Oddball_task,2022.2.5,59.92800247981312,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,2000,2,0,8,3,,,,,43.97517930000322,44.97502750001149,44.97449375004508,47.85857830004534,46.97567140002502,3.8754880232278652,t,1,0.6507161000045016,,,001,2023-10-31_11h36.22.448,Oddball_task,2022.2.5,59.92800247981312,
