trial,file,corrAns,tone,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,instructions.started,key_resp_1.started,key_resp_1.keys,key_resp_1.rt,fixation.started,response.started,sound_1.started,response.stopped,fixation.stopped,FixDur,response.keys,response.corr,sound_1.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,12.011025399999198,12.011025399999198,space,41.46946630000093,,,,,,,,,,,001,2023-11-01_18h01.12.863,Oddball_task,2022.2.5,60.13782386448447,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,0,0,0,2,,,,,53.529037000000244,54.514058699998714,54.51494489999859,56.51527619999979,59.41796509999767,5.879594141445526,None,1,,,001,2023-11-01_18h01.12.863,Oddball_task,2022.2.5,60.13782386448447,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,0,1,1,1,,,,,59.41796509999767,60.4190720000006,60.418221600001196,62.42139329999918,63.18747009999788,3.7546883963578823,None,1,,,001,2023-11-01_18h01.12.863,Oddball_task,2022.2.5,60.13782386448447,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,0,2,2,0,,,,,63.18747009999788,64.18924979999792,64.18803639999933,66.18969519999882,66.50769859999855,3.3118866014071435,None,1,,,001,2023-11-01_18h01.12.863,Oddball_task,2022.2.5,60.13782386448447,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,2000,0,3,3,3,,,,,66.50769859999855,67.50808450000113,67.5076892000001,69.51038400000107,69.61002050000025,3.098777472851563,None,0,,,001,2023-11-01_18h01.12.863,Oddball_task,2022.2.5,60.13782386448447,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,1,0,4,2,,,,,69.61002050000025,70.61049970000022,70.61070589999909,72.61248609999893,75.28048959999796,5.6566419372186285,None,1,,,001,2023-11-01_18h01.12.863,Oddball_task,2022.2.5,60.13782386448447,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,2000,1,1,5,3,,,,,75.28048959999796,76.26471020000099,76.2647312000012,78.26741530000072,79.4170993000007,4.1302521750762775,None,0,,,001,2023-11-01_18h01.12.863,Oddball_task,2022.2.5,60.13782386448447,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,1,2,6,1,,,,,79.4170993000007,80.40126729999974,80.40167329999932,82.40369279999868,81.61981829999786,2.200976141976216,None,1,81.40267780000067,,001,2023-11-01_18h01.12.863,Oddball_task,2022.2.5,60.13782386448447,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,1,3,7,0,,,,,82.40369279999868,83.38771289999931,83.38701110000002,85.38973609999812,84.48859319999974,2.0759018700707106,None,1,84.38813160000063,,001,2023-11-01_18h01.12.863,Oddball_task,2022.2.5,60.13782386448447,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,2,0,8,2,,,,,85.38973609999812,86.37301369999841,86.37327190000033,88.3749585000005,87.60868760000085,2.217418418215227,None,1,,,001,2023-11-01_18h01.12.863,Oddball_task,2022.2.5,60.13782386448447,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,2000,2,1,9,3,,,,,88.3749585000005,89.3592456999977,89.36024130000115,91.36084269999992,92.57843119999961,4.189632823889862,None,0,,,001,2023-11-01_18h01.12.863,Oddball_task,2022.2.5,60.13782386448447,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,2,2,10,1,,,,,92.57843119999961,93.56228719999854,93.56238680000061,95.56429320000098,96.7829133999985,4.193615745053004,None,1,,,001,2023-11-01_18h01.12.863,Oddball_task,2022.2.5,60.13782386448447,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,2,3,11,0,,,,,96.7829133999985,97.78405099999873,97.7834638999997,99.78513839999869,102.37107059999835,5.575003597841052,None,1,,,001,2023-11-01_18h01.12.863,Oddball_task,2022.2.5,60.13782386448447,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,3,0,12,2,,,,,102.37107059999835,103.37122509999972,103.37116899999856,105.37276550000024,107.30793149999954,4.929935057846168,None,1,,,001,2023-11-01_18h01.12.863,Oddball_task,2022.2.5,60.13782386448447,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,3,1,13,1,,,,,107.30793149999954,108.31065149999995,108.31014049999831,110.31101669999771,109.72626400000081,2.4192748642000046,None,1,,,001,2023-11-01_18h01.12.863,Oddball_task,2022.2.5,60.13782386448447,
