trial,file,corrAns,tone,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,instructions.started,key_resp_1.started,key_resp_1.keys,key_resp_1.rt,fixation.started,response.started,sound_1.started,fixation.stopped,response.stopped,FixDur,response.keys,response.corr,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,20.344762399996398,20.344762399996398,space,179.23687859998608,,,,,,,,,,001,2023-11-02_11h17.29.285,Oddball_task,2022.2.5,59.77668625305183,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,40,0,0,0,2,,,,,199.63037199999962,200.61451610000222,200.61500679999298,202.06418580000172,202.61456950000138,2.424985551612924,None,1,,001,2023-11-02_11h17.29.285,Oddball_task,2022.2.5,59.77668625305183,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,40,0,1,1,1,,,,,202.61456950000138,203.614113299991,203.61484720000007,205.19780919999175,205.61382699999376,2.5842954046316007,None,1,,001,2023-11-02_11h17.29.285,Oddball_task,2022.2.5,59.77668625305183,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,60,0,2,2,3,,,,,205.61382699999376,206.61421030000201,206.61396430000022,209.6477559999912,208.6138920999947,4.033602524537313,None,0,,001,2023-11-02_11h17.29.285,Oddball_task,2022.2.5,59.77668625305183,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,40,0,3,3,0,,,,,209.6477559999912,210.6477484999923,210.64735629999777,214.85066460000235,212.64762879999762,5.200916740510515,None,1,,001,2023-11-02_11h17.29.285,Oddball_task,2022.2.5,59.77668625305183,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,40,1,0,4,2,,,,,214.85066460000235,215.83266000000003,215.8390918000019,218.96416849999514,217.84747520000383,4.099584280796773,None,1,,001,2023-11-02_11h17.29.285,Oddball_task,2022.2.5,59.77668625305183,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,40,1,1,5,0,,,,,218.96416849999514,219.96445159999712,219.9649224999972,223.39781209999637,221.96403999999166,4.419159186032919,None,1,,001,2023-11-02_11h17.29.285,Oddball_task,2022.2.5,59.77668625305183,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,40,1,2,6,1,,,,,223.39781209999637,224.3979427000013,224.39781309999816,227.98329200000444,226.39820949999557,4.573939502685022,None,1,,001,2023-11-02_11h17.29.285,Oddball_task,2022.2.5,59.77668625305183,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,60,1,3,7,3,,,,,227.98329200000444,228.9814303000021,228.981303999995,233.14805479999632,230.9818019999948,5.152920714487024,None,0,,001,2023-11-02_11h17.29.285,Oddball_task,2022.2.5,59.77668625305183,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,60,2,0,8,3,,,,,233.14805479999632,234.13478490000125,234.13518520000216,236.29766779999773,236.14841189999424,3.1369226326771753,None,0,,001,2023-11-02_11h17.29.285,Oddball_task,2022.2.5,59.77668625305183,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,40,2,1,9,0,,,,,236.29766779999773,237.29761310000322,237.29805249999626,238.53214630000002,239.29858960000274,2.2181916685312926,None,1,,001,2023-11-02_11h17.29.285,Oddball_task,2022.2.5,59.77668625305183,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,40,2,2,10,1,,,,,239.29858960000274,240.29830900000525,240.29806300000345,245.0144108999957,242.29831549999653,5.704272088386514,None,1,,001,2023-11-02_11h17.29.285,Oddball_task,2022.2.5,59.77668625305183,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,40,2,3,11,2,,,,,245.0144108999957,246.0146170999942,246.0144595999969,250.84827249999216,248.01561010000296,5.831150636987139,None,1,,001,2023-11-02_11h17.29.285,Oddball_task,2022.2.5,59.77668625305183,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,40,3,0,12,1,,,,,250.84827249999216,251.84790069999872,251.84759630000335,256.76463279999734,253.8481094000017,5.90997717439916,None,1,,001,2023-11-02_11h17.29.285,Oddball_task,2022.2.5,59.77668625305183,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,60,3,1,13,3,,,,,256.76463279999734,257.76468049999676,257.7649112000014,261.8984305999911,259.7646725999948,5.127465157638488,None,0,,001,2023-11-02_11h17.29.285,Oddball_task,2022.2.5,59.77668625305183,
