trial,file,corrAns,tone,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,instructions.started,key_resp_1.started,key_resp_1.keys,key_resp_1.rt,fixation_cross.started,response.started,sound_1.started,fixation_cross.stopped,response.stopped,FixDur,response.keys,response.corr,response.rt,sound_1.stopped,thank_you.started,thank_you.stopped,exit_exp.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,13.555362800005241,13.555362800005241,space,39.97919910000928,,,,,,,,,,,,,,,001,2023-11-08_14h00.16.129,Oddball_task,2022.2.5,59.9136404766703,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,0,0,0,0,,,,,53.569653800004744,54.55283159999817,54.5529475400006,55.63686559999769,56.553954799994244,2.06365910521829,None,1,,,,,,,001,2023-11-08_14h00.16.129,Oddball_task,2022.2.5,59.9136404766703,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,0,1,1,1,,,,,56.553954799994244,57.55381159999524,57.553832840004176,61.21939840000414,59.552854099994875,4.663140455986188,None,1,,,,,,,001,2023-11-08_14h00.16.129,Oddball_task,2022.2.5,59.9136404766703,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,2000,0,2,2,3,,,,,61.21939840000414,62.21956559999671,62.22007574000308,63.93655480000598,64.21907540000393,2.7099133389095584,t,1,0.5071683999995003,,,,,,001,2023-11-08_14h00.16.129,Oddball_task,2022.2.5,59.9136404766703,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,0,3,3,2,,,,,64.21907540000393,65.20461810000415,65.20504073999909,66.83699440000055,67.21947609999916,2.6154507063400767,None,1,,,,,,,001,2023-11-08_14h00.16.129,Oddball_task,2022.2.5,59.9136404766703,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,1,0,4,1,,,,,67.21947609999916,68.21980809999513,68.21919294000399,71.3706336000032,70.21942660000059,4.148400392360008,None,1,,,,,,,001,2023-11-08_14h00.16.129,Oddball_task,2022.2.5,59.9136404766703,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,1,1,5,0,,,,,71.3706336000032,72.37040499999421,72.3697531400001,75.67069680000714,74.36958579999919,4.291115355966813,None,1,,,,,,,001,2023-11-08_14h00.16.129,Oddball_task,2022.2.5,59.9136404766703,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,2000,1,2,6,3,,,,,75.67069680000714,76.66958289999457,76.66975443999836,80.30311639999854,78.67065739999816,4.625283780331837,t,1,0.664095999993151,,,,,,001,2023-11-08_14h00.16.129,Oddball_task,2022.2.5,59.9136404766703,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,1,3,7,2,,,,,80.30311639999854,81.30326109999442,81.30380654000764,83.50295920000644,83.3035746999958,3.1961528440493296,None,1,,,,,,,001,2023-11-08_14h00.16.129,Oddball_task,2022.2.5,59.9136404766703,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,2000,2,0,8,3,,,,,83.50295920000644,84.5029835000023,84.50282764000148,87.71964049999951,86.50296130000788,4.216092246862148,t,1,0.695079800003441,,,,,,001,2023-11-08_14h00.16.129,Oddball_task,2022.2.5,59.9136404766703,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,2,1,9,2,,,,,87.71964049999951,88.72081949999847,88.72054143999848,91.0033803999977,90.73617570000351,3.27520461113496,None,1,,,,,,,001,2023-11-08_14h00.16.129,Oddball_task,2022.2.5,59.9136404766703,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,2,2,10,1,,,,,91.0033803999977,92.00300579999748,92.00328223999968,93.95333550000214,94.00271450000582,2.9393522704014488,None,1,,,,,,,001,2023-11-08_14h00.16.129,Oddball_task,2022.2.5,59.9136404766703,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,2,3,11,0,,,,,94.00271450000582,95.00314010000147,95.00297864000167,96.28718850000587,97.00213890000305,2.27273343694941,None,1,,,,,,,001,2023-11-08_14h00.16.129,Oddball_task,2022.2.5,59.9136404766703,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,2000,3,0,12,3,,,,,97.00213890000305,98.00271620000422,98.0020255400057,101.68694909999613,100.00248239999928,4.6821989102021195,t,1,0.5866972000076203,,,,,,001,2023-11-08_14h00.16.129,Oddball_task,2022.2.5,59.9136404766703,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,3,1,13,1,,,,,101.68694909999613,102.68633850000333,102.68684224000462,104.31916490000731,104.6859875999944,2.6177924163503974,None,1,,,,,,,001,2023-11-08_14h00.16.129,Oddball_task,2022.2.5,59.9136404766703,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,3,2,14,0,,,,,104.6859875999944,105.68593000000692,105.68613304000318,106.97012929999619,107.68604460000643,2.2736615103941915,None,1,,,,,,,001,2023-11-08_14h00.16.129,Oddball_task,2022.2.5,59.9136404766703,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,3,3,15,2,,,,,107.68604460000643,108.68602100000135,108.68611354000022,110.63593420000689,110.68622689999756,2.9505568904812387,None,1,,109.68691950000357,,,,,001,2023-11-08_14h00.16.129,Oddball_task,2022.2.5,59.9136404766703,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,4,0,16,0,,,,,110.68622689999756,111.68587889999617,111.6859790399947,114.10253370000282,113.68717279999692,3.4118300917166042,None,1,,,,,,,001,2023-11-08_14h00.16.129,Oddball_task,2022.2.5,59.9136404766703,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,4,1,17,2,,,,,114.10253370000282,115.08756460000586,115.08688373999466,117.78741330000048,117.08695880000596,3.67719066509388,None,1,,116.08623939999961,,,,,001,2023-11-08_14h00.16.129,Oddball_task,2022.2.5,59.9136404766703,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,2000,4,2,18,3,,,,,117.78741330000048,118.78589949999878,118.7857127399955,120.13618250000582,120.7871090999979,2.333777957793343,t,1,0.964637600001879,,,,,,001,2023-11-08_14h00.16.129,Oddball_task,2022.2.5,59.9136404766703,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,4,3,19,1,,,,,120.7871090999979,121.78635379999469,121.78570804000337,125.78687640000135,123.78623990000051,4.986448292346008,None,1,,,,,,,001,2023-11-08_14h00.16.129,Oddball_task,2022.2.5,59.9136404766703,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,5,0,20,2,,,,,125.78687640000135,126.78638499999943,126.78590514000534,128.8365999999951,128.78610379999736,3.04513017069966,None,1,,,,,,,001,2023-11-08_14h00.16.129,Oddball_task,2022.2.5,59.9136404766703,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,2000,5,1,21,3,,,,,128.8365999999951,129.82036840000364,129.81997673999723,131.0198742000066,131.82045389999985,2.1734498101043447,t,1,0.49723909999011084,130.8202561000071,,,,,001,2023-11-08_14h00.16.129,Oddball_task,2022.2.5,59.9136404766703,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,5,2,22,0,,,,,131.82045389999985,132.8041521999985,132.80391403999676,135.13597930000105,134.8193472999992,3.31640871066236,None,1,,133.80293700000038,,,,,001,2023-11-08_14h00.16.129,Oddball_task,2022.2.5,59.9136404766703,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,5,3,23,1,,,,,135.13597930000105,136.12023470000713,136.12053944000655,139.35329680000723,138.1193540999957,4.204437385008411,None,1,,,,,,,001,2023-11-08_14h00.16.129,Oddball_task,2022.2.5,59.9136404766703,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,2000,6,0,24,3,,,,,139.35329680000723,140.35283600000548,140.35287114000386,142.52059200000076,142.35278470000776,3.161156926515811,t,1,0.460498499989626,,,,,,001,2023-11-08_14h00.16.129,Oddball_task,2022.2.5,59.9136404766703,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,6,1,25,0,,,,,142.52059200000076,143.51961329999904,143.51960984000908,146.3202706000011,145.51942589999817,3.7881310085681665,None,1,,144.51979469999787,,,,,001,2023-11-08_14h00.16.129,Oddball_task,2022.2.5,59.9136404766703,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,6,2,26,1,,,,,146.3202706000011,147.31930380000267,147.3196645400065,149.08728940000583,149.31942450000497,2.7527917989464674,None,1,,,,,,,001,2023-11-08_14h00.16.129,Oddball_task,2022.2.5,59.9136404766703,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,6,3,27,2,,,,,149.31942450000497,150.3198010000051,150.31969244000067,153.37119900000107,152.31961570000567,4.040180750891979,None,1,,,,,,,001,2023-11-08_14h00.16.129,Oddball_task,2022.2.5,59.9136404766703,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,7,0,28,1,,,,,153.37119900000107,154.36980739999854,154.36946104000236,155.48659139999654,156.36897959999624,2.1034143499505875,None,1,,,,,,,001,2023-11-08_14h00.16.129,Oddball_task,2022.2.5,59.9136404766703,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,7,1,29,2,,,,,156.36897959999624,157.35347770000226,157.35401364000137,158.78602440000395,159.35236889999942,2.4154719641982743,None,1,,,,,,,001,2023-11-08_14h00.16.129,Oddball_task,2022.2.5,59.9136404766703,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,2000,7,2,30,3,,,,,159.35236889999942,160.33818180000526,160.3372488399953,163.38621130000683,162.3583748999954,4.028931467034817,t,1,0.5633539999980712,161.336066200005,,,,,001,2023-11-08_14h00.16.129,Oddball_task,2022.2.5,59.9136404766703,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,7,3,31,0,,,,,163.38621130000683,164.38703909999458,164.38717304000312,165.73615229999996,166.40289219999977,2.336555176621146,None,1,,,,,,,001,2023-11-08_14h00.16.129,Oddball_task,2022.2.5,59.9136404766703,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,8,0,32,2,,,,,166.40289219999977,167.4029187999986,167.4028349400076,169.02066340000601,169.40356380000594,2.614635204648048,None,1,,,,,,,001,2023-11-08_14h00.16.129,Oddball_task,2022.2.5,59.9136404766703,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,8,1,33,1,,,,,169.40356380000594,170.40222489999724,170.40249133999606,172.5360978999961,172.40261920000194,3.1177198310801546,None,1,,,,,,,001,2023-11-08_14h00.16.129,Oddball_task,2022.2.5,59.9136404766703,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,2000,8,2,34,3,,,,,172.5360978999961,173.53606610000134,173.53598653999944,176.538129499997,175.5362516000023,3.990051072064677,t,1,0.7174830000003567,,,,,,001,2023-11-08_14h00.16.129,Oddball_task,2022.2.5,59.9136404766703,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,8,3,35,0,,,,,176.538129499997,177.5356832999969,177.536396240005,178.78645319999487,179.5363345000078,2.2331670547612434,None,1,,,,,,,001,2023-11-08_14h00.16.129,Oddball_task,2022.2.5,59.9136404766703,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,9,0,36,0,,,,,179.5363345000078,180.5206435,180.51987684000488,183.42068090000248,182.53630479999993,3.8770694093098443,None,1,,,,,,,001,2023-11-08_14h00.16.129,Oddball_task,2022.2.5,59.9136404766703,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,9,1,37,2,,,,,183.42068090000248,184.41902539999865,184.41962544000563,187.30314220000582,186.42039800000202,3.8763628144058337,None,1,,,,,,,001,2023-11-08_14h00.16.129,Oddball_task,2022.2.5,59.9136404766703,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,9,2,38,1,,,,,187.30314220000582,188.30274509999435,188.30446594000824,191.60432080000464,190.3028661999997,4.299571342379419,None,1,,,,,,,001,2023-11-08_14h00.16.129,Oddball_task,2022.2.5,59.9136404766703,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,2000,9,3,39,3,,,,,191.60432080000464,192.60298009999678,192.60319293999493,195.70224400000006,194.60266679999768,4.0971976917266675,t,1,0.5310921000054805,,,,,,001,2023-11-08_14h00.16.129,Oddball_task,2022.2.5,59.9136404766703,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,10,0,40,2,,,,,195.70224400000006,196.7035762000014,196.70252444000363,199.12025670000003,198.703577399996,3.4049001834434978,None,1,,,,,,,001,2023-11-08_14h00.16.129,Oddball_task,2022.2.5,59.9136404766703,
