trial,file,corrAns,tone,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,instructions.started,key_resp_1.started,key_resp_1.keys,key_resp_1.rt,fixation_cross.started,response.started,sound_1.started,response.stopped,fixation_cross.stopped,FixDur,response.keys,response.corr,response.rt,sound_1.stopped,thank_you.started,exit_exp.started,thank_you.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,16.625997200026177,16.625997200026177,space,40.45061409997288,,,,,,,,,,,,,,,001,2023-11-08_16h37.04.537,Oddball_task,2022.2.5,None,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,0,0,0,1,,,,,57.11151890002657,58.077846799977124,58.07923950001132,60.077498300001025,61.641640899993945,4.522776975276199,None,1,,,,,,,001,2023-11-08_16h37.04.537,Oddball_task,2022.2.5,None,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,2000,0,1,1,3,,,,,61.641640899993945,62.641989000025205,62.63956579999067,64.65476990002207,64.30593969998881,2.655327713899197,t,1,1.4363577999756671,,,,,,001,2023-11-08_16h37.04.537,Oddball_task,2022.2.5,None,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,0,2,2,2,,,,,64.65476990002207,65.65384450001875,65.65569190002279,67.6525346999988,67.48625600000378,2.826677661624393,None,1,,,,,,,001,2023-11-08_16h37.04.537,Oddball_task,2022.2.5,None,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,0,3,3,0,,,,,67.6525346999988,68.65082749997964,68.65269209999823,70.64942199998768,70.21766889997525,2.556995536321969,None,1,,,,,,,001,2023-11-08_16h37.04.537,Oddball_task,2022.2.5,None,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,1,0,4,2,,,,,70.64942199998768,71.63191509997705,71.63637400001753,73.64594529999886,74.54602770000929,3.890354036325415,None,1,,,,,,,001,2023-11-08_16h37.04.537,Oddball_task,2022.2.5,None,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,2000,1,1,5,3,,,,,74.54602770000929,75.54532969999127,75.54681509997462,77.54371870000614,79.27542740001809,4.717570966700418,t,1,1.3932331000105478,,,,,,001,2023-11-08_16h37.04.537,Oddball_task,2022.2.5,None,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,1,2,6,1,,,,,79.27542740001809,80.27335560001666,80.27823949997546,82.27233170002,83.47313549998216,4.190343231417323,None,1,,,,,,,001,2023-11-08_16h37.04.537,Oddball_task,2022.2.5,None,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,1,3,7,0,,,,,83.47313549998216,84.4525320000248,84.45614649998024,86.45074130001012,86.66849110001931,3.181631484997458,None,1,,,,,,,001,2023-11-08_16h37.04.537,Oddball_task,2022.2.5,None,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,2,0,8,0,,,,,86.66849110001931,87.66745910001919,87.6663633000222,89.68077889998676,89.21876999997767,2.5393022571187327,None,1,,,,,,,001,2023-11-08_16h37.04.537,Oddball_task,2022.2.5,None,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,2,1,9,2,,,,,89.68077889998676,90.68003310001222,90.68119870000518,92.68095529999118,93.8638066999847,4.176047749735732,None,1,,,,,,,001,2023-11-08_16h37.04.537,Oddball_task,2022.2.5,None,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,2,2,10,1,,,,,93.8638066999847,94.86082449997775,94.85949020002735,96.87475209997501,96.72643039998366,2.852018986133711,None,1,,,,,,,001,2023-11-08_16h37.04.537,Oddball_task,2022.2.5,None,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,2000,2,3,11,3,,,,,96.87475209997501,97.87444929999765,97.87569929999299,99.88964230002603,100.58959310001228,3.7065620730518702,t,1,1.3177733999909833,,,,,,001,2023-11-08_16h37.04.537,Oddball_task,2022.2.5,None,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,2000,3,0,12,3,,,,,100.58959310001228,101.57209600001806,101.57234360000584,103.58815849997336,104.80307419999735,4.209032738419743,t,1,0.8101301999995485,,,,,,001,2023-11-08_16h37.04.537,Oddball_task,2022.2.5,None,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,3,1,13,2,,,,,104.80307419999735,105.78458610002417,105.7847205000231,107.7832008000114,107.76742920000106,2.948347211622867,None,1,,,,,,,001,2023-11-08_16h37.04.537,Oddball_task,2022.2.5,None,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,3,2,14,1,,,,,107.7832008000114,108.78098819998559,108.7803162000142,110.7837118000025,110.87798729998758,3.0801241734494855,None,1,,,,,,,001,2023-11-08_16h37.04.537,Oddball_task,2022.2.5,None,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,3,3,15,0,,,,,110.87798729998758,111.8789179000305,111.87861979999579,113.89280680002412,113.26391450001393,2.373762197538306,None,1,,,,,,,001,2023-11-08_16h37.04.537,Oddball_task,2022.2.5,None,
