trial,file,corrAns,tone,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,instructions.started,key_resp_1.started,key_resp_1.keys,key_resp_1.rt,fixation_cross.started,response.started,sound_1.started,response.stopped,fixation_cross.stopped,FixDur,response.keys,response.corr,sound_1.stopped,response.rt,thank_you.started,exit_exp.started,thank_you.stopped,exit_exp.keys,exit_exp.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,9.560236199991778,9.560236199991778,space,7.787556600058451,,,,,,,,,,,,,,,,,001,2023-12-08_15h20.42.467,Oddball_task,2022.2.5,59.74907776822297,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,2000,0,0,0,3,,,,,17.382878700038418,18.365846100030467,18.36578931999393,20.3807924001012,22.295212500030175,4.897529450266649,None,0,,,,,,,,,001,2023-12-08_15h20.42.467,Oddball_task,2022.2.5,59.74907776822297,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,0,1,1,1,,,,,22.295212500030175,23.294321299996227,23.294529820000754,25.309407100081444,25.808817100012675,3.511041720504912,None,1,,,,,,,,,001,2023-12-08_15h20.42.467,Oddball_task,2022.2.5,59.74907776822297,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,0,2,2,0,,,,,25.808817100012675,26.808021900011227,26.8076567200711,28.822907200083137,28.92283470008988,3.100594796981942,None,1,,,,,,,,,001,2023-12-08_15h20.42.467,Oddball_task,2022.2.5,59.74907776822297,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,0,3,3,2,,,,,28.92283470008988,29.904830000014044,29.906934620020913,32.01954700006172,31.30349960003514,2.37117944287151,None,1,,,,,,,,,001,2023-12-08_15h20.42.467,Oddball_task,2022.2.5,59.74907776822297,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,1,0,4,2,,,,,32.01954700006172,33.018886400037445,33.01881912003737,35.03346679999959,35.44962580001447,3.417658422916624,None,1,34.01749330002349,,,,,,,,001,2023-12-08_15h20.42.467,Oddball_task,2022.2.5,59.74907776822297,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,1,1,5,0,,,,,35.44962580001447,36.44943320006132,36.44885002009105,38.463464300031774,39.878678600071,4.421018410162984,None,1,,,,,,,,,001,2023-12-08_15h20.42.467,Oddball_task,2022.2.5,59.74907776822297,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,1,2,6,1,,,,,39.878678600071,40.877816700027324,40.87766811999027,42.89255680004135,43.8923519999953,4.008320962202669,None,1,,,,,,,,,001,2023-12-08_15h20.42.467,Oddball_task,2022.2.5,59.74907776822297,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,2000,1,3,7,3,,,,,43.8923519999953,44.891283200006,44.89095391998999,46.90581110003404,46.20578389998991,2.305131571462913,t,1,,0.5055466000922024,,,,,,,001,2023-12-08_15h20.42.467,Oddball_task,2022.2.5,59.74907776822297,
,,,,,,,,,,,,,,,,,,,,,,46.90581110003404,49.90290139999706,49.91949540004134,e,16.894672500086017,,001,2023-12-08_15h20.42.467,Oddball_task,2022.2.5,59.74907776822297,
