trial,file,corrAns,tone,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,instructions.started,key_resp_1.started,key_resp_1.keys,key_resp_1.rt,fixation.started,response.started,sound_1.started,response.keys,response.corr,feedback_text.started,response.stopped,response.rt,instructions_2.started,key_resp_2.started,key_resp_2.keys,key_resp_2.rt,sound_1.stopped,fixation.stopped,thank_you.started,exit_exp.started,thank_you.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,63.42883649999567,63.42883649999567,space,121.11736519999977,,,,,,,,,,,,,,,,,,elpida_19_10_23,gn_hugin4,2023-10-19_11h16.53.773,Oddball_task,2022.2.5,60.3120666932661,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,250,0,0,0,0,,,,,,,,,184.61168240000552,185.57935490000818,185.57799536999664,None,1,188.09539299999597,,,,,,,,,,,,elpida_19_10_23,gn_hugin4,2023-10-19_11h16.53.773,Oddball_task,2022.2.5,60.3120666932661,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,250,0,1,1,3,,,,,,,,,189.09520599999814,190.07818830000178,190.07809466999606,None,1,192.5947417999996,192.57814480000525,,,,,,,,,,,elpida_19_10_23,gn_hugin4,2023-10-19_11h16.53.773,Oddball_task,2022.2.5,60.3120666932661,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,1200,0,2,2,4,,,,,,,,,193.59447530000762,194.57856779999565,194.57780877000187,t,1,197.0951761000033,197.078434199997,0.9285595999972429,,,,,,,,,,elpida_19_10_23,gn_hugin4,2023-10-19_11h16.53.773,Oddball_task,2022.2.5,60.3120666932661,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,250,0,3,3,1,,,,,,,,,198.09466360000079,199.07791469999938,199.07769736999762,None,1,201.59476659999928,201.57866070000455,,,,,,,,,,,elpida_19_10_23,gn_hugin4,2023-10-19_11h16.53.773,Oddball_task,2022.2.5,60.3120666932661,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,251,0,4,4,2,,,,,,,,,202.5950950999977,203.57825839999714,203.57841927000845,None,1,206.0946804999985,206.07836739999766,,,,,,,,,,,elpida_19_10_23,gn_hugin4,2023-10-19_11h16.53.773,Oddball_task,2022.2.5,60.3120666932661,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,250,1,0,5,0,,,,,,,,,207.09479109999666,208.07893360000162,208.07862246999866,None,1,210.59586400000262,210.57914830000664,,,,,,,,,,,elpida_19_10_23,gn_hugin4,2023-10-19_11h16.53.773,Oddball_task,2022.2.5,60.3120666932661,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,1200,1,1,6,4,,,,,,,,,211.59544129999995,212.56199539999943,212.5625643700041,t,1,215.09532079999917,215.06224549999752,1.097194700007094,,,,,,,,,,elpida_19_10_23,gn_hugin4,2023-10-19_11h16.53.773,Oddball_task,2022.2.5,60.3120666932661,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,251,1,2,7,2,,,,,,,,,216.09498550000717,217.0784086000058,217.07769607000228,None,1,219.59472300000198,219.5784846000024,,,,,,,,,,,elpida_19_10_23,gn_hugin4,2023-10-19_11h16.53.773,Oddball_task,2022.2.5,60.3120666932661,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,250,1,3,8,3,,,,,,,,,220.59505630000785,221.57889140000043,221.5777587699995,None,1,224.09525569999823,224.07879400000093,,,,,,,,,,,elpida_19_10_23,gn_hugin4,2023-10-19_11h16.53.773,Oddball_task,2022.2.5,60.3120666932661,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,250,1,4,9,1,,,,,,,,,225.0955646000075,226.06191129999934,226.06241017000866,None,1,228.59469120000722,228.56231589999516,,,,,,,,,,,elpida_19_10_23,gn_hugin4,2023-10-19_11h16.53.773,Oddball_task,2022.2.5,60.3120666932661,
,,,,,,,,,,,,,,,,,,,,,,,,229.5953496000002,229.5953496000002,space,2.5837699999974575,,,,,,elpida_19_10_23,gn_hugin4,2023-10-19_11h16.53.773,Oddball_task,2022.2.5,60.3120666932661,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,250,,,,,0,0,0,0,,,,,232.22746599999664,233.21141469999566,233.21147567000298,None,1,,235.71204739999666,,,,,,,,,,,elpida_19_10_23,gn_hugin4,2023-10-19_11h16.53.773,Oddball_task,2022.2.5,60.3120666932661,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,1200,,,,,0,1,1,4,,,,,235.72834090000833,236.71133720000216,236.7111864699982,t,1,,239.21181599999545,0.8278000999998767,,,,,,,,,,elpida_19_10_23,gn_hugin4,2023-10-19_11h16.53.773,Oddball_task,2022.2.5,60.3120666932661,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,251,,,,,0,2,2,2,,,,,239.2283330000064,240.21123040000384,240.2113823700056,None,1,,242.71140200000082,,,,,,,,,,,elpida_19_10_23,gn_hugin4,2023-10-19_11h16.53.773,Oddball_task,2022.2.5,60.3120666932661,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,250,,,,,0,3,3,1,,,,,242.72915800000192,243.71157010000024,243.71162087000266,None,1,,246.21168360000593,,,,,,,,,,,elpida_19_10_23,gn_hugin4,2023-10-19_11h16.53.773,Oddball_task,2022.2.5,60.3120666932661,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,250,,,,,0,4,4,3,,,,,246.22810550000577,247.21137479999743,247.21132447000127,None,1,,249.7115741000016,,,,,,,,,,,elpida_19_10_23,gn_hugin4,2023-10-19_11h16.53.773,Oddball_task,2022.2.5,60.3120666932661,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,250,,,,,1,0,5,1,,,,,249.7281057000073,250.69476199999917,250.69582526999875,None,1,,253.19509200000903,,,,,,,,,,,elpida_19_10_23,gn_hugin4,2023-10-19_11h16.53.773,Oddball_task,2022.2.5,60.3120666932661,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,1200,,,,,1,1,6,4,,,,,253.2284645000036,254.21161110000685,254.21187947000726,t,1,,256.7115005000087,1.0156243000092218,,,,,,,,,,elpida_19_10_23,gn_hugin4,2023-10-19_11h16.53.773,Oddball_task,2022.2.5,60.3120666932661,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,251,,,,,1,2,7,2,,,,,256.728878599999,257.711893700005,257.7113943699951,None,1,,260.2117148999969,,,,,,,,,,,elpida_19_10_23,gn_hugin4,2023-10-19_11h16.53.773,Oddball_task,2022.2.5,60.3120666932661,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,250,,,,,1,3,8,3,,,,,260.22871280000254,261.2116698000027,261.21204017000855,None,1,,263.711355300009,,,,,,,,,,,elpida_19_10_23,gn_hugin4,2023-10-19_11h16.53.773,Oddball_task,2022.2.5,60.3120666932661,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,250,,,,,1,4,9,0,,,,,263.728780999998,264.7123595000012,264.71176097000716,None,1,,267.21133530000225,,,,,,,,,,,elpida_19_10_23,gn_hugin4,2023-10-19_11h16.53.773,Oddball_task,2022.2.5,60.3120666932661,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,250,,,,,2,0,10,3,,,,,267.22825430000375,268.21161389999907,268.21152957000595,None,1,,270.7122115999955,,,,,,,,,,,elpida_19_10_23,gn_hugin4,2023-10-19_11h16.53.773,Oddball_task,2022.2.5,60.3120666932661,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,250,,,,,2,1,11,1,,,,,270.7287914000044,271.7121976000053,271.712429170002,None,1,,274.2121400000033,,,,,,,,,,,elpida_19_10_23,gn_hugin4,2023-10-19_11h16.53.773,Oddball_task,2022.2.5,60.3120666932661,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,1200,,,,,2,2,12,4,,,,,274.2290254999971,275.21164589999535,275.21171556999616,t,1,,277.7115422000061,0.863452799996594,,,,,,,,,,elpida_19_10_23,gn_hugin4,2023-10-19_11h16.53.773,Oddball_task,2022.2.5,60.3120666932661,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,250,,,,,2,3,13,0,,,,,277.7282603000058,278.71222359999956,278.7118776700081,None,1,,281.21247949999815,,,,,,,,,,,elpida_19_10_23,gn_hugin4,2023-10-19_11h16.53.773,Oddball_task,2022.2.5,60.3120666932661,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,251,,,,,2,4,14,2,,,,,281.2292187999992,282.1959358000022,282.1958981700009,None,1,,284.6961575000023,,,,,,283.1961006000056,,,,,elpida_19_10_23,gn_hugin4,2023-10-19_11h16.53.773,Oddball_task,2022.2.5,60.3120666932661,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,250,,,,,3,0,15,0,,,,,284.72950860000856,285.69601280000643,285.69618626999727,None,1,,288.1961793000082,,,,,,,,,,,elpida_19_10_23,gn_hugin4,2023-10-19_11h16.53.773,Oddball_task,2022.2.5,60.3120666932661,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,251,,,,,3,1,16,2,,,,,288.22919739999634,289.19583320000675,289.19582866999554,None,1,,291.69571749999886,,,,,,,,,,,elpida_19_10_23,gn_hugin4,2023-10-19_11h16.53.773,Oddball_task,2022.2.5,60.3120666932661,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,250,,,,,3,2,17,1,,,,,291.72952720000467,292.6956344000064,292.69625177000125,None,1,,295.1953031000012,,,,,,,,,,,elpida_19_10_23,gn_hugin4,2023-10-19_11h16.53.773,Oddball_task,2022.2.5,60.3120666932661,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,1200,,,,,3,3,18,4,,,,,295.22884270000213,296.211653499995,296.21216787000594,t,1,,298.71162139999797,0.7920829999929992,,,,,,,,,,elpida_19_10_23,gn_hugin4,2023-10-19_11h16.53.773,Oddball_task,2022.2.5,60.3120666932661,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,250,,,,,3,4,19,3,,,,,298.7281848999992,299.71157640000456,299.71163706999505,None,1,,302.21238179999636,,,,,,,,,,,elpida_19_10_23,gn_hugin4,2023-10-19_11h16.53.773,Oddball_task,2022.2.5,60.3120666932661,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,250,,,,,4,0,20,3,,,,,302.22836589999497,303.21234240000194,303.2121575700003,None,1,,305.71233320000465,,,,,,,,,,,elpida_19_10_23,gn_hugin4,2023-10-19_11h16.53.773,Oddball_task,2022.2.5,60.3120666932661,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,1200,,,,,4,1,21,4,,,,,305.73006370000076,306.71169359999476,306.7115405700024,t,1,,309.2123331000039,0.7640332000009948,,,,,,,,,,elpida_19_10_23,gn_hugin4,2023-10-19_11h16.53.773,Oddball_task,2022.2.5,60.3120666932661,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,250,,,,,4,2,22,0,,,,,309.2284681000019,310.2122165000037,310.21193417000177,None,1,,312.71233070000017,,,,,,311.2125253999984,,,,,elpida_19_10_23,gn_hugin4,2023-10-19_11h16.53.773,Oddball_task,2022.2.5,60.3120666932661,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,250,,,,,4,3,23,1,,,,,312.72894860000815,313.71221610000066,313.71206627000356,None,1,,316.2131053000048,,,,,,,,,,,elpida_19_10_23,gn_hugin4,2023-10-19_11h16.53.773,Oddball_task,2022.2.5,60.3120666932661,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,251,,,,,4,4,24,2,,,,,316.22938040000736,317.1960154999979,317.19684006999887,None,1,,319.6958122000069,,,,,,,,,,,elpida_19_10_23,gn_hugin4,2023-10-19_11h16.53.773,Oddball_task,2022.2.5,60.3120666932661,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,250,,,,,5,0,25,1,,,,,319.72944340000686,320.7120717000071,320.71164336999936,None,1,,323.21277980000013,,,,,,,,,,,elpida_19_10_23,gn_hugin4,2023-10-19_11h16.53.773,Oddball_task,2022.2.5,60.3120666932661,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,1200,,,,,5,1,26,4,,,,,323.2297198000015,324.197510900005,324.1960823700065,t,1,,326.7123309000017,0.7334104999899864,,,,,325.1957581000024,,,,,elpida_19_10_23,gn_hugin4,2023-10-19_11h16.53.773,Oddball_task,2022.2.5,60.3120666932661,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,250,,,,,5,2,27,3,,,,,326.7297611999966,327.7125229999947,327.7116883700073,None,1,,330.2129789000028,,,,,,,,,,,elpida_19_10_23,gn_hugin4,2023-10-19_11h16.53.773,Oddball_task,2022.2.5,60.3120666932661,
