trial,file,corrAns,tone,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,instructions.started,key_resp_1.started,key_resp_1.keys,key_resp_1.rt,fixation.started,response.started,sound_1.started,response.stopped,response.keys,response.corr,feedback_text.started,response.rt,sound_1.stopped,instructions_2.started,key_resp_2.started,key_resp_2.keys,key_resp_2.rt,fixation.stopped,thank_you.started,exit_exp.started,thank_you.stopped,exit_exp.keys,exit_exp.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,63.31449469999643,63.31449469999643,space,69.97675529998378,,,,,,,,,,,,,,,,,,,,elpida_20_10_23,home_hugin04,2023-10-20_13h06.03.521,Oddball_task,2022.2.5,59.92739197015648,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,1000,0,0,0,1,,,,,,,,,133.32708429999184,134.29448969999794,134.2955127599853,136.79620989999967,None,1,136.81216619999032,,,,,,,,,,,,,elpida_20_10_23,home_hugin04,2023-10-20_13h06.03.521,Oddball_task,2022.2.5,59.92739197015648,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,2000,0,1,1,4,,,,,,,,,137.81294539998635,138.7968625999929,138.7966542600043,141.29768930000137,t,1,141.31449029999203,0.9921929000120144,,,,,,,,,,,,elpida_20_10_23,home_hugin04,2023-10-20_13h06.03.521,Oddball_task,2022.2.5,59.92739197015648,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,1000,0,2,2,3,,,,,,,,,142.31466279999586,143.29829400000744,143.29819225998654,145.79956819998915,None,1,145.81626359999063,,144.30082259999472,,,,,,,,,,,elpida_20_10_23,home_hugin04,2023-10-20_13h06.03.521,Oddball_task,2022.2.5,59.92739197015648,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,1000,0,3,3,2,,,,,,,,,146.8178183999844,147.80049289998715,147.80106025999703,150.3015289999894,None,1,150.31833770000958,,,,,,,,,,,,,elpida_20_10_23,home_hugin04,2023-10-20_13h06.03.521,Oddball_task,2022.2.5,59.92739197015648,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,1000,0,4,4,0,,,,,,,,,151.3191000999941,152.30221160000656,152.30230046001088,154.8037578999938,None,1,154.82024090000778,,,,,,,,,,,,,elpida_20_10_23,home_hugin04,2023-10-20_13h06.03.521,Oddball_task,2022.2.5,59.92739197015648,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,1000,1,0,5,1,,,,,,,,,155.82045749999816,156.80414019999444,156.80425336000917,159.3053637999983,None,1,159.3217192000011,,,,,,,,,,,,,elpida_20_10_23,home_hugin04,2023-10-20_13h06.03.521,Oddball_task,2022.2.5,59.92739197015648,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,1000,1,1,6,2,,,,,,,,,160.32275709998794,161.305766400008,161.305992160007,163.80720789998304,None,1,163.823502299987,,,,,,,,,,,,,elpida_20_10_23,home_hugin04,2023-10-20_13h06.03.521,Oddball_task,2022.2.5,59.92739197015648,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,2000,1,2,7,4,,,,,,,,,164.8246586000023,165.8081569999922,165.8085690599837,168.3087520999834,t,1,168.32606950000627,0.7963658000226133,,,,,,,,,,,,elpida_20_10_23,home_hugin04,2023-10-20_13h06.03.521,Oddball_task,2022.2.5,59.92739197015648,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,1000,1,3,8,0,,,,,,,,,169.32594969999627,170.3100562999898,170.31008015999396,172.811266100005,None,1,172.82818119999138,,,,,,,,,,,,,elpida_20_10_23,home_hugin04,2023-10-20_13h06.03.521,Oddball_task,2022.2.5,59.92739197015648,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,1000,1,4,9,3,,,,,,,,,173.8277769999986,174.79544690001057,174.79571675999614,177.29615010000998,None,1,177.31319479999365,,,,,,,,,,,,,elpida_20_10_23,home_hugin04,2023-10-20_13h06.03.521,Oddball_task,2022.2.5,59.92739197015648,
,,,,,,,,,,,,,,,,,,,,,,,,,178.3134749000019,178.3134749000019,space,2.0122065999894403,,,,,,,elpida_20_10_23,home_hugin04,2023-10-20_13h06.03.521,Oddball_task,2022.2.5,59.92739197015648,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,1000,,,,,0,0,0,2,,,,,180.36384119998547,181.348173699982,181.34865365999576,,None,1,,,182.34841129998676,,,,,,,,,,,elpida_20_10_23,home_hugin04,2023-10-20_13h06.03.521,Oddball_task,2022.2.5,59.92739197015648,
