trial,file,corrAns,tone,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,instructions.started,key_resp_1.started,key_resp_1.keys,key_resp_1.rt,fixation.started,response.started,sound_1.started,sound_1.stopped,response.keys,response.corr,feedback_text.started,response.stopped,feedback_text.stopped,instructions_2.started,key_resp_2.started,key_resp_2.keys,key_resp_2.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,34.604043600000296,34.604043600000296,space,18.04623150000043,,,,,,,,,,,,,,elpida_22_10_23,office_hugin04,2023-10-22_17h49.11.638,Oddball_task,2022.2.5,59.9816696014124,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,1000,0,0,0,3,,,,,,,,,52.68463570000131,53.66937870000038,53.669418460001545,54.67026910000095,None,1,56.17212230000041,,,,,,,elpida_22_10_23,office_hugin04,2023-10-22_17h49.11.638,Oddball_task,2022.2.5,59.9816696014124,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,1000,0,1,1,0,,,,,,,,,57.172346299999845,58.1571941000002,58.15678786000135,,None,1,60.67590480000035,60.65954150000107,,,,,,elpida_22_10_23,office_hugin04,2023-10-22_17h49.11.638,Oddball_task,2022.2.5,59.9816696014124,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,1000,0,2,2,2,,,,,,,,,61.67739430000074,62.660343500001545,62.66098716000088,,None,1,65.17958929999986,65.16300260000025,,,,,,elpida_22_10_23,office_hugin04,2023-10-22_17h49.11.638,Oddball_task,2022.2.5,59.9816696014124,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,1000,0,3,3,1,,,,,,,,,66.17984690000048,67.16615260000071,67.16581626000115,,None,1,69.68301020000035,69.66613450000114,,,,,,elpida_22_10_23,office_hugin04,2023-10-22_17h49.11.638,Oddball_task,2022.2.5,59.9816696014124,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,2000,0,4,4,4,,,,,,,,,70.6837800000012,71.66789450000033,71.66804616000044,,None,0,74.17049829999996,,75.17123450000145,,,,,elpida_22_10_23,office_hugin04,2023-10-22_17h49.11.638,Oddball_task,2022.2.5,59.9816696014124,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,1000,1,0,5,1,,,,,,,,,75.17123450000145,76.15505100000155,76.15505206000088,,None,1,78.67367850000119,78.65707980000116,,,,,,elpida_22_10_23,office_hugin04,2023-10-22_17h49.11.638,Oddball_task,2022.2.5,59.9816696014124,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,2000,1,1,6,4,,,,,,,,,79.67656180000085,80.65878220000013,80.65937736000123,,None,0,83.17894030000025,83.16106720000062,,,,,,elpida_22_10_23,office_hugin04,2023-10-22_17h49.11.638,Oddball_task,2022.2.5,59.9816696014124,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,1000,1,2,7,2,,,,,,,,,84.17897390000144,85.16306470000018,85.16347906000155,,None,1,87.73479520000001,87.68676320000122,,,,,,elpida_22_10_23,office_hugin04,2023-10-22_17h49.11.638,Oddball_task,2022.2.5,59.9816696014124,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,1000,1,3,8,0,,,,,,,,,88.68194480000057,89.6676492000006,89.66807836000007,90.6670238000006,None,1,92.18612770000072,92.17076530000122,,,,,,elpida_22_10_23,office_hugin04,2023-10-22_17h49.11.638,Oddball_task,2022.2.5,59.9816696014124,
