trial,file,corrAns,tone,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,instructions.started,key_resp_1.started,key_resp_1.keys,key_resp_1.rt,fixation.started,response.started,sound_1.started,response.stopped,response.keys,response.corr,feedback_text.started,sound_1.stopped,instructions_2.started,key_resp_2.started,key_resp_2.keys,key_resp_2.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,33.152015499999834,33.152015499999834,space,15.211724700000559,,,,,,,,,,,,,elpida_22_10_23,office_hugin04,2023-10-22_17h52.40.670,Oddball_task,2022.2.5,59.96688628500389,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,1000,0,0,0,2,,,,,,,,,48.41083620000063,49.37913280000066,49.37945760000002,51.882038400000965,None,1,51.9140167000005,,,,,,elpida_22_10_23,office_hugin04,2023-10-22_17h52.40.670,Oddball_task,2022.2.5,59.96688628500389,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,2000,0,1,1,4,,,,,,,,,52.897942900001,53.882557000000816,53.88284139999996,56.38458200000059,None,0,56.402234000001044,,,,,,elpida_22_10_23,office_hugin04,2023-10-22_17h52.40.670,Oddball_task,2022.2.5,59.96688628500389,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,1000,0,2,2,0,,,,,,,,,57.40181130000019,58.38619760000074,58.386339300001055,60.88835950000066,None,1,60.905895699999746,,,,,,elpida_22_10_23,office_hugin04,2023-10-22_17h52.40.670,Oddball_task,2022.2.5,59.96688628500389,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,1000,0,3,3,1,,,,,,,,,61.90610209999977,62.892991300001086,62.89024860000063,65.39225670000087,None,1,65.40876360000038,63.89133589999983,,,,,elpida_22_10_23,office_hugin04,2023-10-22_17h52.40.670,Oddball_task,2022.2.5,59.96688628500389,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,1000,0,4,4,3,,,,,,,,,66.40920820000065,67.37828810000065,67.37830990000111,69.87957460000143,None,1,69.89585390000138,,,,,,elpida_22_10_23,office_hugin04,2023-10-22_17h52.40.670,Oddball_task,2022.2.5,59.96688628500389,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,1000,1,0,5,0,,,,,,,,,70.89765009999974,71.88069390000055,71.88038299999971,74.3833040999998,None,1,74.39914680000038,,,,,,elpida_22_10_23,office_hugin04,2023-10-22_17h52.40.670,Oddball_task,2022.2.5,59.96688628500389,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,1000,1,1,6,3,,,,,,,,,75.40033109999968,76.38449949999995,76.38403290000133,78.88684210000065,None,1,78.90381450000132,,,,,,elpida_22_10_23,office_hugin04,2023-10-22_17h52.40.670,Oddball_task,2022.2.5,59.96688628500389,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,1000,1,2,7,1,,,,,,,,,79.9049726000012,80.88933410000027,80.88890210000136,83.39096710000013,None,1,83.40806359999988,,,,,,elpida_22_10_23,office_hugin04,2023-10-22_17h52.40.670,Oddball_task,2022.2.5,59.96688628500389,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,2000,1,3,8,4,,,,,,,,,84.40816770000129,85.39722799999981,85.38003420000132,,None,0,87.91107290000036,,,,,,elpida_22_10_23,office_hugin04,2023-10-22_17h52.40.670,Oddball_task,2022.2.5,59.96688628500389,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,1000,1,4,9,2,,,,,,,,,88.91203200000018,89.8800867000009,89.87978269999985,92.38210700000127,None,1,92.39869340000041,,,,,,elpida_22_10_23,office_hugin04,2023-10-22_17h52.40.670,Oddball_task,2022.2.5,59.96688628500389,
,,,,,,,,,,,,,,,,,,,,,,,,93.3997973000005,93.3997973000005,space,1.7159525999995822,elpida_22_10_23,office_hugin04,2023-10-22_17h52.40.670,Oddball_task,2022.2.5,59.96688628500389,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,1000,,,,,0,0,0,1,,,,,95.15006240000002,96.1185244999997,96.1186443000006,98.62008480000077,None,1,,,,,,,elpida_22_10_23,office_hugin04,2023-10-22_17h52.40.670,Oddball_task,2022.2.5,59.96688628500389,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,1000,,,,,0,1,1,3,,,,,98.63655420000032,99.6220914000005,99.62074460000076,,None,1,,100.62110519999987,,,,,elpida_22_10_23,office_hugin04,2023-10-22_17h52.40.670,Oddball_task,2022.2.5,59.96688628500389,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,2000,,,,,0,2,2,4,,,,,102.15986210000119,103.12376260000019,103.12349150000045,105.62575149999975,None,0,,,,,,,elpida_22_10_23,office_hugin04,2023-10-22_17h52.40.670,Oddball_task,2022.2.5,59.96688628500389,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,1000,,,,,0,3,3,0,,,,,105.643006100001,106.62693039999976,106.62763989999985,109.13031589999991,None,1,,,,,,,elpida_22_10_23,office_hugin04,2023-10-22_17h52.40.670,Oddball_task,2022.2.5,59.96688628500389,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,1000,,,,,0,4,4,2,,,,,109.14619630000016,110.12965650000115,110.1304082000006,112.63167430000067,None,1,,,,,,,elpida_22_10_23,office_hugin04,2023-10-22_17h52.40.670,Oddball_task,2022.2.5,59.96688628500389,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,1000,,,,,1,0,5,0,,,,,112.64843740000106,113.65449230000013,113.6364236999998,,None,1,,,,,,,elpida_22_10_23,office_hugin04,2023-10-22_17h52.40.670,Oddball_task,2022.2.5,59.96688628500389,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,1000,,,,,1,1,6,3,,,,,116.13635890000114,117.11861920000047,117.12016060000133,119.62579750000077,None,1,,,,,,,elpida_22_10_23,office_hugin04,2023-10-22_17h52.40.670,Oddball_task,2022.2.5,59.96688628500389,
