trial,file,corrAns,tone,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,instructions.started,key_resp_1.started,key_resp_1.keys,key_resp_1.rt,fixation.started,response.started,sound_1.started,response.keys,response.corr,feedback_text.started,response.stopped,response.rt,sound_1.stopped,instructions_2.started,key_resp_2.started,key_resp_2.keys,key_resp_2.rt,thank_you.started,exit_exp.started,thank_you.stopped,exit_exp.keys,exit_exp.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,37.69592629998806,37.69592629998806,space,24.088135600002715,,,,,,,,,,,,,,,,,,,elpida_250-1200,12_10_23,2023-10-12_12h03.45.049,Oddball_task,2022.2.5,59.81916665760363,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,1000,0,0,0,1,,,,,,,,,61.828780099982396,62.81308589997934,62.81344598998548,None,1,65.31516199998441,,,,,,,,,,,,,elpida_250-1200,12_10_23,2023-10-12_12h03.45.049,Oddball_task,2022.2.5,59.81916665760363,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,1200,0,1,1,3,,,,,,,,,66.31584689998999,67.30014079998364,67.30011208999785,t,1,69.82007969997358,69.80318059999263,1.5416174000129104,,,,,,,,,,,elpida_250-1200,12_10_23,2023-10-12_12h03.45.049,Oddball_task,2022.2.5,59.81916665760363,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,1000,0,2,2,2,,,,,,,,,70.82087209998281,71.80509089998668,71.80514218999888,None,1,74.32406689997879,74.30698179997853,,72.80633839999791,,,,,,,,,,elpida_250-1200,12_10_23,2023-10-12_12h03.45.049,Oddball_task,2022.2.5,59.81916665760363,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,1000,0,3,3,0,,,,,,,,,75.32485099998303,76.30879279997316,76.30879488998907,None,1,78.8268468999886,78.81018279999262,,,,,,,,,,,,elpida_250-1200,12_10_23,2023-10-12_12h03.45.049,Oddball_task,2022.2.5,59.81916665760363,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,1000,1,0,4,2,,,,,,,,,79.82771029998548,80.81218079998507,80.81186348998453,None,1,83.33030629999121,83.31345089999377,,,,,,,,,,,,elpida_250-1200,12_10_23,2023-10-12_12h03.45.049,Oddball_task,2022.2.5,59.81916665760363,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,1200,1,1,5,3,,,,,,,,,84.33109889997286,85.29833269998198,85.2984216899902,t,1,87.81731809998746,87.80101949998061,0.891161400009878,,,,,,,,,,,elpida_250-1200,12_10_23,2023-10-12_12h03.45.049,Oddball_task,2022.2.5,59.81916665760363,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,1000,1,2,6,1,,,,,,,,,88.81820229999721,89.80243849998806,89.8023403899977,None,1,92.32115649999469,92.30451709998306,,,,,,,,,,,,elpida_250-1200,12_10_23,2023-10-12_12h03.45.049,Oddball_task,2022.2.5,59.81916665760363,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,1000,1,3,7,0,,,,,,,,,93.32183049997548,94.30605549999746,94.30636559000122,None,1,96.82505709998077,96.80813369998941,,,,,,,,,,,,elpida_250-1200,12_10_23,2023-10-12_12h03.45.049,Oddball_task,2022.2.5,59.81916665760363,
,,,,,,,,,,,,,,,,,,,,,,,,,97.8263213999744,97.8263213999744,space,1.0731203999894205,,,,,,elpida_250-1200,12_10_23,2023-10-12_12h03.45.049,Oddball_task,2022.2.5,59.81916665760363,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,1000,,,,,0,0,0,1,,,,,98.95983079998405,99.92767439997988,99.92770968998666,None,1,,102.43027599999914,,,,,,,,,,,,elpida_250-1200,12_10_23,2023-10-12_12h03.45.049,Oddball_task,2022.2.5,59.81916665760363,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,1200,,,,,0,1,1,3,,,,,102.44634319999022,103.41365549998591,103.41377178999828,t,1,,105.91578260000097,0.942590199992992,,,,,,,,,,,elpida_250-1200,12_10_23,2023-10-12_12h03.45.049,Oddball_task,2022.2.5,59.81916665760363,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,1200,,,,,0,2,2,3,,,,,105.93253369999002,106.91680219999398,106.91656528999447,t,1,,109.41883379998035,1.5565309000085108,,,,,,,,,,,elpida_250-1200,12_10_23,2023-10-12_12h03.45.049,Oddball_task,2022.2.5,59.81916665760363,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,1000,,,,,0,3,3,2,,,,,109.43547929998022,110.41951899998821,110.4197177899885,None,1,,112.92204829998082,,,,,,,,,,,,elpida_250-1200,12_10_23,2023-10-12_12h03.45.049,Oddball_task,2022.2.5,59.81916665760363,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,1000,,,,,1,0,4,2,,,,,112.93848249997245,113.92245369998273,113.92259308999637,None,1,,116.42484739999054,,,,,,,,,,,,elpida_250-1200,12_10_23,2023-10-12_12h03.45.049,Oddball_task,2022.2.5,59.81916665760363,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,1000,,,,,1,1,5,0,,,,,116.44147599997814,117.42556509998394,117.425852689991,None,1,,119.92816899999161,,,,,,,,,,,,elpida_250-1200,12_10_23,2023-10-12_12h03.45.049,Oddball_task,2022.2.5,59.81916665760363,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,1000,,,,,1,2,6,0,,,,,119.94471959999646,120.9286988999811,120.92861958998837,None,1,,,,,,,,,,,,,,elpida_250-1200,12_10_23,2023-10-12_12h03.45.049,Oddball_task,2022.2.5,59.81916665760363,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,1000,,,,,1,3,7,0,,,,,123.43094909997308,124.4149418999732,124.41457748999237,None,1,,126.91696319999755,,,,,,,,,,,,elpida_250-1200,12_10_23,2023-10-12_12h03.45.049,Oddball_task,2022.2.5,59.81916665760363,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,1000,,,,,2,0,8,0,,,,,126.93329329998232,127.91753169998992,127.91734698998043,None,1,,130.42089989999658,,,,,,,,,,,,elpida_250-1200,12_10_23,2023-10-12_12h03.45.049,Oddball_task,2022.2.5,59.81916665760363,
standard,soundFiles/250Hz_44100Hz_16bit_05sec.wav',None,1000,,,,,2,1,9,1,,,,,130.4375863999885,131.4216974999872,131.42169488999644,None,1,,133.92383569999947,,,,,,,,,,,,elpida_250-1200,12_10_23,2023-10-12_12h03.45.049,Oddball_task,2022.2.5,59.81916665760363,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,1200,,,,,2,2,10,3,,,,,133.94065209999098,134.92543879998266,134.92545448998573,t,1,,137.42720509998617,0.6895940999966115,,,,,,,,,,,elpida_250-1200,12_10_23,2023-10-12_12h03.45.049,Oddball_task,2022.2.5,59.81916665760363,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,1200,,,,,2,3,11,3,,,,,137.4435634999827,138.42819139998755,138.42799208998332,t,1,,140.92839529999765,1.646327199996449,,,,,,,,,,,elpida_250-1200,12_10_23,2023-10-12_12h03.45.049,Oddball_task,2022.2.5,59.81916665760363,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,1200,,,,,3,0,12,3,,,,,140.9449781999865,141.92947399997502,141.92931108998602,t,1,,,1.1776322000077926,,,,,,,,,,,elpida_250-1200,12_10_23,2023-10-12_12h03.45.049,Oddball_task,2022.2.5,59.81916665760363,
