trial,file,corrAns,tone,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,instructions.started,key_resp_1.started,key_resp_1.keys,key_resp_1.rt,fixation.started,response.started,sound_1.started,fixation.stopped,response.stopped,FixDur,response.keys,response.corr,response.rt,sound_1.stopped,thank_you.started,thank_you.stopped,exit_exp.started,exit_exp.keys,exit_exp.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,60.613009699998656,60.613009699998656,space,21.122097799991025,,,,,,,,,,,,,,,,elpida_25_10_23,001,2023-10-25_16h39.30.564,Oddball_task,2022.2.5,60.11501204200864,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,0,0,0,2,,,,,81.77805249998346,82.74524799999199,82.7452152799815,84.0125388999877,84.74538959999336,2.228518873611187,None,1,,,,,,,,elpida_25_10_23,001,2023-10-25_16h39.30.564,Oddball_task,2022.2.5,60.11501204200864,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,2000,0,1,1,3,,,,,84.74538959999336,85.74548660000437,85.74521257999004,87.46158730000025,87.7455631000048,2.715014538637519,t,1,1.1017423000012059,,,,,,,elpida_25_10_23,001,2023-10-25_16h39.30.564,Oddball_task,2022.2.5,60.11501204200864,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,0,2,2,0,,,,,87.7455631000048,88.74561829998856,88.74601477998658,90.71198699998786,90.74535459998879,2.954104239824556,None,1,,,,,,,,elpida_25_10_23,001,2023-10-25_16h39.30.564,Oddball_task,2022.2.5,60.11501204200864,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,0,3,3,1,,,,,90.74535459998879,91.74510479997844,91.7456346800027,94.4611912999826,93.74540739998338,3.7154622135776556,None,1,,,,,,,,elpida_25_10_23,001,2023-10-25_16h39.30.564,Oddball_task,2022.2.5,60.11501204200864,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,1,0,4,1,,,,,94.4611912999826,95.4625195999979,95.46182167998631,97.19552459998522,97.46287359998678,2.721093178972561,None,1,,,,,,,,elpida_25_10_23,001,2023-10-25_16h39.30.564,Oddball_task,2022.2.5,60.11501204200864,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,1,1,5,0,,,,,97.46287359998678,98.46184999999241,98.46198327999446,101.01187849999405,100.48260469999514,3.546784324308052,None,1,,99.46218499998213,,,,,,elpida_25_10_23,001,2023-10-25_16h39.30.564,Oddball_task,2022.2.5,60.11501204200864,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,2000,1,2,6,3,,,,,101.01187849999405,102.01182329998119,102.0119809799944,104.0961157999991,104.01204859997961,3.073990808358942,t,1,0.8671780000149738,,,,,,,elpida_25_10_23,001,2023-10-25_16h39.30.564,Oddball_task,2022.2.5,60.11501204200864,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,1,3,7,2,,,,,104.0961157999991,105.09571649998543,105.09560748000513,106.14516909999656,107.09558619998279,2.04760870267974,None,1,,,,,,,,elpida_25_10_23,001,2023-10-25_16h39.30.564,Oddball_task,2022.2.5,60.11501204200864,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,2,0,8,0,,,,,107.09558619998279,108.0960021999781,108.09535148000577,109.77868220000528,110.09536569999182,2.671041245572256,None,1,,,,,,,,elpida_25_10_23,001,2023-10-25_16h39.30.564,Oddball_task,2022.2.5,60.11501204200864,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,2000,2,1,9,3,,,,,110.09536569999182,111.09521279999171,111.09506247998797,112.97907519998262,113.09583949999069,2.878983211346474,t,1,0.9196416999911889,,,,,,,elpida_25_10_23,001,2023-10-25_16h39.30.564,Oddball_task,2022.2.5,60.11501204200864,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,2,2,10,1,,,,,113.09583949999069,114.09563219998381,114.09518678000313,116.44641529998626,116.095345299982,3.3452742777757383,None,1,,115.09588439998333,,,,,,elpida_25_10_23,001,2023-10-25_16h39.30.564,Oddball_task,2022.2.5,60.11501204200864,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,2,3,11,2,,,,,116.44641529998626,117.44570409998414,117.44545277999714,119.89524769998388,119.44544129999122,3.440656858428931,None,1,,,,,,,,elpida_25_10_23,001,2023-10-25_16h39.30.564,Oddball_task,2022.2.5,60.11501204200864,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,3,0,12,2,,,,,119.89524769998388,120.89708880000398,120.89668777998304,122.39547230000608,122.9123077999975,2.4951898673772814,None,1,,,,,,,,elpida_25_10_23,001,2023-10-25_16h39.30.564,Oddball_task,2022.2.5,60.11501204200864,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,3,1,13,1,,,,,122.9123077999975,123.91357229999267,123.91238167998381,125.84553969997796,125.92871399997966,2.9187903419271186,None,1,,,,,,,,elpida_25_10_23,001,2023-10-25_16h39.30.564,Oddball_task,2022.2.5,60.11501204200864,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,3,2,14,0,,,,,125.92871399997966,126.92930570000317,126.92948547998094,128.31238970000413,128.92864939998253,2.379504125271305,None,1,,,,,,,,elpida_25_10_23,001,2023-10-25_16h39.30.564,Oddball_task,2022.2.5,60.11501204200864,
target,soundFiles/1200Hz_-3dBFS_3s_44.1kHz.wav',t,2000,3,3,15,3,,,,,128.92864939998253,129.92984359999537,129.93006477999734,131.3620232999965,131.92856109997956,2.43130463406105,t,1,0.8935568000015337,,,,,,,elpida_25_10_23,001,2023-10-25_16h39.30.564,Oddball_task,2022.2.5,60.11501204200864,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,4,0,16,0,,,,,131.92856109997956,132.92976259998977,132.92956017999677,134.41211340000154,134.929421799985,2.4804426690276498,None,1,,,,,,,,elpida_25_10_23,001,2023-10-25_16h39.30.564,Oddball_task,2022.2.5,60.11501204200864,
standard,soundFiles/1000Hz_-3dBFS_3s_44.1kHz.wav',None,1000,4,1,17,1,,,,,134.929421799985,135.92874249999295,135.92928857999505,137.37909879998188,137.9285600000003,2.44348068743908,None,1,,,,,,,,elpida_25_10_23,001,2023-10-25_16h39.30.564,Oddball_task,2022.2.5,60.11501204200864,
